Iteration	Replicate_ID	Posterior	Likelihood	Prior	age_ursinae	alpha_cytb	branch_rates[1]	branch_rates[2]	branch_rates[3]	branch_rates[4]	branch_rates[5]	branch_rates[6]	branch_rates[7]	branch_rates[8]	branch_rates[9]	branch_rates[10]	branch_rates[11]	branch_rates[12]	branch_rates[13]	branch_rates[14]	branch_rates[15]	branch_rates[16]	branch_rates[17]	branch_rates[18]	branch_rates_mean	diversification	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	extant_mrca	extinction_rate	rates_cytb[1]	rates_cytb[2]	rates_cytb[3]	rates_cytb[4]	sf[1]	sf[2]	sf[3]	sf[4]	speciation_rate	turnover
12	0	-3.247311	0	-3.247311	4.014327	2.84872	0.00247248	0.208704	0.0355924	0.00969367	0.0519234	0.0792024	0.0128623	0.125701	0.183173	0.152197	0.168866	0.124408	0.0161534	0.00714435	0.0288337	0.00490877	0.0262938	0.00274281	0.05074238	0.05488843	0.0881432	0.088722	0.15113	0.00415128	0.55306	0.114794	7.709269	0.05331656	0.377209	0.722792	1.08166	1.81834	0.0180733	0.140727	0.293368	0.547832	0.108205	0.4927366
13	1	-23.81489	0	-23.81489	13.8617	2.784975	0.0743843	0.0431789	0.0586848	0.071777	0.530776	0.0901208	0.0101732	0.0128308	0.135205	0.149111	0.0275002	0.0878748	0.221133	0.194605	0.151799	0.126467	0.00310791	0.161602	0.1595385	-0.09030007	0.262064	0.0799807	0.0226186	0.278286	0.348283	0.00876788	33.69267	0.1399088	0.371911	0.718882	1.08123	1.82798	0.0573276	0.026268	0.580711	0.335694	0.04960875	2.820245
14	0	0.1472928	0	0.1472928	4.74295	1.635881	0.00214219	0.105328	0.0897783	0.00248984	0.138428	0.0741615	0.0161442	0.0387465	0.0752512	0.1829	0.0298299	0.035114	0.00719363	0.0101439	0.113096	0.00140279	0.167959	0.124553	0.0852091	-0.007771698	0.319681	0.0671743	0.112237	0.00611802	0.337962	0.156828	5.021646	0.04595434	0.245571	0.609715	1.0575	2.08722	0.0123707	0.0845339	0.254358	0.648737	0.03818265	1.20354
15	1	-19.9758	0	-19.9758	14.10432	1.405905	0.156431	0.0883139	0.10518	0.0629956	0.527461	0.121393	0.115727	0.0690706	0.156031	0.0788983	0.00667953	0.0679772	0.124805	0.0725876	0.125019	0.0130944	0.0348496	0.0324673	0.1420084	0.09598648	0.187032	0.096992	0.0265558	0.0786704	0.60112	0.00962909	41.52663	0.122706	0.210414	0.572106	1.04438	2.1731	0.0614149	0.145117	0.391999	0.401469	0.2186924	0.5610892
16	0	-1.945189	0	-1.945189	5.934519	2.618014	0.00381883	0.0168652	0.142758	0.00450922	0.165752	0.110756	0.0205488	0.104423	0.027711	0.0914065	0.0879776	0.0301315	0.0144533	0.0463233	0.04492	0.0315832	0.0457104	0.141306	0.07399451	-0.02851094	0.299461	0.13972	0.0741678	0.00857306	0.384114	0.093964	8.952987	0.03669274	0.357367	0.707915	1.07985	1.85487	0.0238322	0.0873927	0.353993	0.534782	0.008181799	4.484679
17	1	-22.15411	0	-22.15411	10.75384	1.090306	0.250252	0.0598628	0.453202	0.0875297	0.174546	0.0926778	0.25741	0.0803771	0.109154	0.17233	0.00817002	0.0865901	0.0884935	0.0579041	0.0345763	0.121466	0.21469	0.0941954	0.1874477	0.057178	0.309861	0.192895	0.0194284	0.0568417	0.410797	0.0101778	27.42279	0.2270588	0.154612	0.502309	1.01349	2.32959	0.105136	0.146542	0.272531	0.475791	0.2842368	0.7988368
18	0	-23.45339	0	-23.45339	2.476487	1.519618	0.0104794	0.379695	0.639107	0.0445884	0.31521	0.704189	0.0237699	0.35561	0.199806	0.195473	0.0360666	0.0938801	0.537061	0.00807504	0.164553	0.109489	0.565297	0.202378	0.1895601	-0.04762824	0.349945	0.136133	0.100549	0.0100183	0.255	0.148354	3.979379	0.05910733	0.228337	0.59179	1.05155	2.12832	0.0522706	0.0802796	0.564167	0.303283	0.01147909	5.149131
19	1	-17.44676	0	-17.44676	26.31391	1.580845	0.177602	0.315142	0.0655584	0.00868033	0.0505543	0.140981	0.250355	0.0159696	0.043655	0.0653448	0.00674263	0.128386	0.0441878	0.0536046	0.0335284	0.0317299	0.164489	0.162068	0.08411818	-0.1156118	0.275111	0.313976	0.0139984	0.0284068	0.357137	0.0113708	38.54218	0.2074511	0.237545	0.601482	1.05484	2.10614	0.104683	0.202582	0.309034	0.3837	0.09183925	2.25885
20	0	-15.95407	0	-15.95407	3.274473	4.48887	0.0261908	0.16421	0.102254	0.0126042	0.29204	0.110313	0.00945066	0.0602094	0.0256612	0.0695835	0.0503639	0.399624	0.259325	0.0538963	0.0660904	0.430445	0.307367	0.0232657	0.2263327	-0.04921632	0.194382	0.0617763	0.0366144	0.00540045	0.5004	0.201427	5.707971	0.0527724	0.479356	0.790582	1.08406	1.646	0.025772	0.0277732	0.451293	0.495162	0.003556073	14.84008
21	1	-1.881809	0	-1.881809	3.534286	4.824569	0.0698285	0.0493855	0.229236	0.0261256	0.0663979	0.0100009	0.116521	0.0158911	0.0425649	0.0440939	0.0281206	0.0216953	0.0171441	0.0659235	0.00462594	0.0115591	0.0441656	0.054482	0.07774644	-0.02164075	0.43245	0.207023	0.0235034	0.0436246	0.262968	0.0304313	16.78465	0.1203067	0.494624	0.799632	1.08359	1.62215	0.124367	0.229293	0.374862	0.271478	0.09866596	1.219334
22	0	-10.45741	0	-10.45741	4.448695	12.2355	0.0349758	0.235398	0.0678608	0.0542706	0.144446	0.0168671	0.0494696	0.189823	0.067027	0.143761	0.0194297	0.174788	0.309369	0.277059	0.078696	0.101541	0.0782459	0.0224819	0.1081987	-0.07140065	0.253096	0.103123	0.0567523	0.00430285	0.399604	0.183123	5.835648	0.07795831	0.663573	0.885389	1.06815	1.38289	0.0790566	0.017925	0.225734	0.677284	0.006557664	11.88812
23	1	-17.12621	0	-17.12621	9.224779	3.206934	0.0660552	0.033445	0.161059	0.0787534	0.126141	0.00430216	0.133915	0.0184794	0.0320055	0.204952	0.0833679	0.0178814	0.0104968	0.377451	0.0041319	0.171628	0.0271243	0.00404938	0.1353803	-0.08650273	0.327616	0.308004	0.0189804	0.0938145	0.186791	0.0647937	21.2936	0.2232597	0.404663	0.742378	1.08336	1.7696	0.392292	0.203293	0.172372	0.232043	0.136757	1.632529
24	0	-17.6247	0	-17.6247	5.636322	15.6979	0.0394409	0.387319	0.166928	0.151581	0.0706656	0.0308091	0.0564918	0.247189	0.0581882	0.112516	0.0605393	0.0326748	0.423872	0.138094	0.273619	0.473492	0.0677825	0.018682	0.1618058	-0.0560821	0.203054	0.089992	0.0907127	0.00907465	0.383433	0.223733	6.814208	0.06114342	0.699879	0.900915	1.06283	1.33638	0.17845	0.0377367	0.578613	0.2052	0.005061324	12.08052
25	1	-12.89759	0	-12.89759	23.74991	7.278582	0.0175047	0.0594342	0.208515	0.0879372	0.111881	0.00439714	0.0581229	0.00163959	0.0233299	0.0911427	0.0848489	0.0050925	0.140679	0.0546205	0.0103366	0.0677067	0.0602362	0.00769117	0.06694369	-0.03125044	0.236905	0.259922	0.0318239	0.0754355	0.300725	0.0951886	35.6946	0.1536846	0.575851	0.843896	1.0783	1.50195	0.254906	0.521141	0.060003	0.163949	0.1224342	1.255243
26	0	-15.28483	0	-15.28483	5.913297	17.2238	0.0633832	0.657134	0.102803	0.0906026	0.0514545	0.0678335	0.0692479	0.244098	0.0988313	0.129783	0.0136206	0.0943639	0.00962739	0.119429	0.063517	0.591882	0.072177	0.0410396	0.1057447	-0.01566824	0.12185	0.109289	0.0543832	0.0183199	0.370224	0.325934	6.276333	0.02439193	0.712487	0.9061	1.06084	1.32057	0.217569	0.206224	0.489436	0.0867715	0.008723693	2.796056
27	1	-7.265518	0	-7.265518	16.68951	8.255997	0.0300278	0.0621716	0.066838	0.0308678	0.0619336	0.00928486	0.0681233	0.00279131	0.0181111	0.0738279	0.035263	0.025392	0.0184566	0.0178064	0.0894859	0.0656016	0.0317935	0.00622444	0.04335896	-0.05754626	0.288289	0.0471272	0.0605326	0.223484	0.287903	0.0926637	27.39941	0.1823854	0.598666	0.855268	1.07606	1.47	0.223494	0.544499	0.0698536	0.162153	0.1248392	1.460963
