Iteration	Replicate_ID	Posterior	Likelihood	Prior	age_ursinae	alpha_cytb	branch_rates[1]	branch_rates[2]	branch_rates[3]	branch_rates[4]	branch_rates[5]	branch_rates[6]	branch_rates[7]	branch_rates[8]	branch_rates[9]	branch_rates[10]	branch_rates[11]	branch_rates[12]	branch_rates[13]	branch_rates[14]	branch_rates[15]	branch_rates[16]	branch_rates[17]	branch_rates[18]	branch_rates_mean	diversification	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	extinction_rate	ln_branch_rates_mean	rates_cytb[1]	rates_cytb[2]	rates_cytb[3]	rates_cytb[4]	sf[1]	sf[2]	sf[3]	sf[4]	speciation_rate	turnover
12	0	-3717.046	-3723.71	6.66388	0.6812936	0.1780567	0.0497369	0.0478466	0.274494	0.0928824	0.15516	0.165639	0.0327202	0.375508	0.0972896	0.146053	0.136918	0.308339	0.131676	0.0579412	0.0445501	0.115458	0.0839778	0.113692	0.1019235	0.0471084	0.0100109	0.437858	0.018975	0.00335859	0.522076	0.00772141	0.08425666	-2.283533	0.000226773	0.0221521	0.324023	3.6536	0.311726	0.26254	0.144357	0.281377	0.1313651	0.6413932
13	1	-3750.219	-3751.056	0.8370069	0.5580903	0.2045185	0.199267	0.146361	0.229431	0.114489	0.1609	0.175997	0.162357	0.394597	0.281224	0.0671346	0.0619412	0.661537	0.171009	0.258024	0.20363	0.0747932	0.232493	0.179004	0.1910192	0.1142022	0.0126088	0.72347	0.00698512	0.0570169	0.198071	0.00184889	0.01044841	-1.655381	0.000618732	0.0364222	0.395347	3.56761	0.287328	0.304909	0.0986427	0.30912	0.1246507	0.08382153
14	0	-3718.125	-3717.129	-0.9963642	0.804994	0.1765329	0.114706	0.135767	0.139847	0.074334	0.0761593	0.145038	0.0589211	0.482524	0.378921	0.150596	0.145385	0.38593	0.0611008	0.0311019	0.301105	0.199863	0.164811	0.308684	0.1669826	0.03029579	0.0128948	0.435435	0.0179969	0.00872192	0.510786	0.0141656	0.05315708	-1.789866	0.000212079	0.0214278	0.319713	3.65865	0.299508	0.295586	0.137295	0.267611	0.08345287	0.6369713
15	1	-3726.651	-3732.248	5.59709	0.5149002	0.2459228	0.103157	0.0912327	0.216106	0.0984206	0.176322	0.137155	0.148936	0.319957	0.116045	0.0676858	0.195438	0.37567	0.172211	0.128811	0.207314	0.0625338	0.247754	0.368486	0.14207	0.03822864	0.008925	0.517467	0.0121446	0.0653991	0.393735	0.00232953	0.01099381	-1.951436	0.00192715	0.0637617	0.492808	3.4415	0.290684	0.286002	0.122328	0.300986	0.04922245	0.2233496
16	0	-3710.167	-3712.642	2.47542	0.9422679	0.1876849	0.088728	0.113721	0.173113	0.0658738	0.0803296	0.10808	0.053928	0.439907	0.252927	0.203781	0.224206	0.299078	0.110358	0.0311813	0.0908724	0.0896879	0.059805	0.423107	0.11078	0.007438395	0.00714896	0.501688	0.0114993	0.00948817	0.452777	0.0173985	0.0747142	-2.200209	0.000337648	0.0269867	0.350761	3.62192	0.312006	0.307921	0.124913	0.25516	0.08215259	0.9094564
17	1	-3720.746	-3720.883	0.1375122	0.7680235	0.1714359	0.108102	0.17852	0.326225	0.113289	0.234237	0.102886	0.252539	0.386995	0.115545	0.0481874	0.0832599	0.672523	0.086922	0.0957991	0.147314	0.0353906	0.115516	0.260231	0.1516806	0.1146419	0.0122142	0.507653	0.0144249	0.044891	0.418692	0.00212525	0.01484399	-1.885978	0.000168042	0.0190894	0.305154	3.67559	0.306586	0.284413	0.126141	0.28286	0.1294858	0.1146379
18	0	-3720.954	-3718.346	-2.607817	0.8718686	0.1794609	0.0550339	0.100214	0.172947	0.0792197	0.0966678	0.0828824	0.0391277	0.460623	0.161441	0.13085	0.219654	0.426911	0.0942565	0.0328341	0.0911051	0.233498	0.0751019	0.649263	0.1144111	-0.04138152	0.00945091	0.480032	0.010771	0.00605181	0.473545	0.0201492	0.1674924	-2.167957	0.000240969	0.0228297	0.327975	3.64895	0.297663	0.30563	0.153278	0.24343	0.1261109	1.328136
19	1	-3715.885	-3716.668	0.7833008	0.6386665	0.1747699	0.154325	0.06794	0.225993	0.113363	0.18133	0.0734655	0.149345	0.559885	0.159378	0.0742223	0.0906261	0.333374	0.14563	0.0713896	0.083566	0.0652648	0.372933	0.217831	0.09856185	0.03406756	0.00853515	0.589848	0.00918359	0.0321205	0.359608	0.000704661	0.05995524	-2.317071	0.000195976	0.0206041	0.314702	3.6645	0.302837	0.30494	0.124599	0.267625	0.0940228	0.637667
20	0	-3715.009	-3714.195	-0.8144544	0.9213414	0.194128	0.100594	0.0833104	0.172183	0.0674549	0.072636	0.151899	0.0360713	0.418858	0.217285	0.166272	0.126477	0.359019	0.0559547	0.0564892	0.0805943	0.155161	0.289597	0.570407	0.1441867	-0.06306928	0.00923672	0.479677	0.0199718	0.00751226	0.473195	0.0104066	0.150774	-1.936646	0.000431069	0.0304581	0.368159	3.60095	0.320796	0.282339	0.144021	0.252844	0.08770467	1.71911
21	1	-3714.656	-3719.289	4.632729	0.6104355	0.1800045	0.10278	0.0679222	0.21565	0.132618	0.159729	0.103625	0.0771129	0.537678	0.0806617	0.0600219	0.131009	0.213858	0.129649	0.318297	0.0630415	0.055286	0.0929706	0.475321	0.1313668	0.03378548	0.0041583	0.560225	0.011973	0.0302135	0.392003	0.0014273	0.01783389	-2.029762	0.000246638	0.0230946	0.329501	3.64716	0.296672	0.304549	0.124949	0.273829	0.05161937	0.3454883
22	0	-3721.743	-3721.502	-0.2405585	0.9996102	0.1709198	0.121194	0.0752948	0.164317	0.112017	0.103807	0.169022	0.0495176	0.598676	0.18923	0.343756	0.17101	0.286165	0.0983824	0.0296993	0.112269	0.0692431	0.125118	0.329257	0.1619639	-0.05020434	0.0121136	0.51039	0.0193433	0.00917895	0.437902	0.0110729	0.1324822	-1.820382	0.000164001	0.01886	0.303667	3.67731	0.281319	0.301593	0.147364	0.269723	0.08227787	1.61018
23	1	-3706.525	-3712.387	5.862584	0.5307206	0.2286117	0.172389	0.169768	0.231768	0.15638	0.206293	0.0961011	0.179908	0.448828	0.266805	0.0647172	0.129589	0.171059	0.350781	0.142724	0.183375	0.079407	0.107861	0.21134	0.1503359	0.004088657	0.00845336	0.565945	0.0164392	0.0122982	0.396005	0.000860195	0.01435865	-1.894883	0.00126014	0.0517396	0.454161	3.49284	0.282361	0.288288	0.136909	0.292441	0.0184473	0.7783602
24	0	-3710.861	-3710.43	-0.4310394	0.7949602	0.1774169	0.046563	0.054496	0.213703	0.0968287	0.0928544	0.158027	0.0503298	0.685936	0.19235	0.512532	0.0540443	0.188634	0.108023	0.0505338	0.133953	0.1772	0.101654	0.331729	0.1204832	0.03031586	0.00799381	0.525005	0.0135856	0.0103322	0.437896	0.00518776	0.06312423	-2.116245	0.000220514	0.0218466	0.322216	3.65572	0.297448	0.307932	0.12853	0.26609	0.09344009	0.6755584
25	1	-3710.381	-3714.265	3.883412	0.541907	0.1909417	0.180888	0.173965	0.268364	0.105319	0.190546	0.121563	0.201608	0.338674	0.16628	0.0390629	0.221614	0.23361	0.118361	0.115918	0.276634	0.0830024	0.216801	0.377247	0.1815023	0.02407585	0.00989281	0.584195	0.0112025	0.0100467	0.382371	0.00229266	0.008468605	-1.706487	0.000382809	0.0287186	0.359606	3.61129	0.286389	0.294288	0.122711	0.296613	0.03254445	0.2602165
26	0	-3713.114	-3711.098	-2.015748	0.7818033	0.1657568	0.0622175	0.0827211	0.211839	0.0913484	0.116774	0.11102	0.0422275	0.591284	0.152631	0.226579	0.0151808	0.210854	0.0990587	0.0459146	0.0762103	0.22026	0.209988	0.376611	0.1163654	0.06886156	0.00842502	0.497657	0.0100098	0.0137323	0.464427	0.00574907	0.071611	-2.15102	0.000127483	0.0166416	0.288681	3.69455	0.307786	0.287224	0.134592	0.270398	0.1404726	0.5097864
27	1	-3707.952	-3712.039	4.086731	0.5280803	0.2063695	0.186875	0.126054	0.199024	0.113898	0.0908604	0.115662	0.102397	0.337285	0.338476	0.0437734	0.187269	0.242809	0.0348778	0.154705	0.414938	0.116587	0.0993617	0.0803016	0.1578183	0.02100779	0.0127246	0.516499	0.00817223	0.00858064	0.450976	0.00304747	0.01373809	-1.846311	0.000657358	0.037529	0.400076	3.56174	0.315097	0.300927	0.12688	0.257096	0.03474588	0.3953876
28	0	-3723.75	-3717.729	-6.021832	0.7934953	0.2126837	0.205677	0.13169	0.206921	0.118455	0.111312	0.136918	0.0478713	0.799646	0.221492	0.251057	0.0575526	0.442511	0.0863379	0.0453494	0.340182	0.219315	0.0359722	0.426405	0.129097	0.03993643	0.00550971	0.515566	0.00957845	0.00739872	0.444414	0.0175325	0.02057121	-2.047191	0.000801782	0.0413982	0.415943	3.54186	0.279103	0.322764	0.110936	0.287197	0.06050763	0.3399771
29	1	-3713.764	-3720.679	6.915253	0.5611269	0.2368623	0.201874	0.0984077	0.154038	0.0983916	0.143629	0.127796	0.0698098	0.313355	0.13896	0.0796859	0.357866	0.244138	0.1797	0.0650176	0.239686	0.134575	0.157589	0.277931	0.1576805	0.05750482	0.0109849	0.514269	0.0127118	0.0103534	0.44805	0.00363086	0.005609335	-1.847184	0.00155497	0.0573801	0.472949	3.46812	0.297945	0.297461	0.13326	0.271334	0.06311415	0.08887601
30	0	-3704.512	-3710.956	6.444135	0.8357767	0.2218463	0.306574	0.138614	0.146472	0.084361	0.0860105	0.0997039	0.0421218	0.480155	0.138535	0.108525	0.077579	0.346978	0.098453	0.0360061	0.124697	0.0935826	0.0591416	0.246627	0.117732	0.01941843	0.00947845	0.538882	0.00967012	0.00403973	0.4261	0.0118295	0.01587022	-2.139345	0.00104825	0.0472523	0.438243	3.51346	0.291895	0.318075	0.132084	0.257946	0.03528865	0.4497259
