Iteration	Posterior	Likelihood	Prior	age_ursinae	alpha_cytb	branch_rates[1]	branch_rates[2]	branch_rates[3]	branch_rates[4]	branch_rates[5]	branch_rates[6]	branch_rates[7]	branch_rates[8]	branch_rates[9]	branch_rates[10]	branch_rates[11]	branch_rates[12]	branch_rates[13]	branch_rates[14]	branch_rates[15]	branch_rates[16]	branch_rates[17]	branch_rates[18]	branch_rates_mean	diversification	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	extinction_rate	ln_branch_rates_mean	rates_cytb[1]	rates_cytb[2]	rates_cytb[3]	rates_cytb[4]	sf[1]	sf[2]	sf[3]	sf[4]	speciation_rate	turnover
100	-3715.009	-3714.195	-0.8144544	0.9213414	0.194128	0.100594	0.0833104	0.172183	0.0674549	0.072636	0.151899	0.0360713	0.418858	0.217285	0.166272	0.126477	0.359019	0.0559547	0.0564892	0.0805943	0.155161	0.289597	0.570407	0.1441867	-0.06306928	0.00923672	0.479677	0.0199718	0.00751226	0.473195	0.0104066	0.150774	-1.936646	0.000431069	0.0304581	0.368159	3.60095	0.320796	0.282339	0.144021	0.252844	0.08770467	1.71911
110	-3721.743	-3721.502	-0.2405585	0.9996102	0.1709198	0.121194	0.0752948	0.164317	0.112017	0.103807	0.169022	0.0495176	0.598676	0.18923	0.343756	0.17101	0.286165	0.0983824	0.0296993	0.112269	0.0692431	0.125118	0.329257	0.1619639	-0.05020434	0.0121136	0.51039	0.0193433	0.00917895	0.437902	0.0110729	0.1324822	-1.820382	0.000164001	0.01886	0.303667	3.67731	0.281319	0.301593	0.147364	0.269723	0.08227787	1.61018
120	-3710.861	-3710.43	-0.4310394	0.7949602	0.1774169	0.046563	0.054496	0.213703	0.0968287	0.0928544	0.158027	0.0503298	0.685936	0.19235	0.512532	0.0540443	0.188634	0.108023	0.0505338	0.133953	0.1772	0.101654	0.331729	0.1204832	0.03031586	0.00799381	0.525005	0.0135856	0.0103322	0.437896	0.00518776	0.06312423	-2.116245	0.000220514	0.0218466	0.322216	3.65572	0.297448	0.307932	0.12853	0.26609	0.09344009	0.6755584
130	-3713.114	-3711.098	-2.015748	0.7818033	0.1657568	0.0622175	0.0827211	0.211839	0.0913484	0.116774	0.11102	0.0422275	0.591284	0.152631	0.226579	0.0151808	0.210854	0.0990587	0.0459146	0.0762103	0.22026	0.209988	0.376611	0.1163654	0.06886156	0.00842502	0.497657	0.0100098	0.0137323	0.464427	0.00574907	0.071611	-2.15102	0.000127483	0.0166416	0.288681	3.69455	0.307786	0.287224	0.134592	0.270398	0.1404726	0.5097864
140	-3723.75	-3717.729	-6.021832	0.7934953	0.2126837	0.205677	0.13169	0.206921	0.118455	0.111312	0.136918	0.0478713	0.799646	0.221492	0.251057	0.0575526	0.442511	0.0863379	0.0453494	0.340182	0.219315	0.0359722	0.426405	0.129097	0.03993643	0.00550971	0.515566	0.00957845	0.00739872	0.444414	0.0175325	0.02057121	-2.047191	0.000801782	0.0413982	0.415943	3.54186	0.279103	0.322764	0.110936	0.287197	0.06050763	0.3399771
150	-3704.512	-3710.956	6.444135	0.8357767	0.2218463	0.306574	0.138614	0.146472	0.084361	0.0860105	0.0997039	0.0421218	0.480155	0.138535	0.108525	0.077579	0.346978	0.098453	0.0360061	0.124697	0.0935826	0.0591416	0.246627	0.117732	0.01941843	0.00947845	0.538882	0.00967012	0.00403973	0.4261	0.0118295	0.01587022	-2.139345	0.00104825	0.0472523	0.438243	3.51346	0.291895	0.318075	0.132084	0.257946	0.03528865	0.4497259
160	-3705.717	-3705.622	-0.09413086	0.6056781	0.2135053	0.151373	0.113758	0.192879	0.127775	0.165646	0.139671	0.0352719	0.490756	0.223502	0.12333	0.132693	0.400741	0.376773	0.0444895	0.239441	0.0759726	0.228035	0.280311	0.1427812	0.04835991	0.0108362	0.459776	0.0123025	0.00524514	0.501574	0.0102662	0.0172583	-1.946442	0.000822062	0.0419119	0.417978	3.53929	0.301641	0.305081	0.138607	0.254671	0.06561821	0.2630109
170	-3708.611	-3710.185	1.574614	0.5945569	0.2030495	0.26684	0.0997402	0.287607	0.146425	0.167791	0.14683	0.0961721	0.593433	0.395429	0.197136	0.18484	0.218314	0.318314	0.0674885	0.16867	0.32873	0.11227	0.197728	0.1979486	0.00581909	0.0108717	0.461281	0.0131257	0.00664947	0.503216	0.00485595	0.01423396	-1.619748	0.000589238	0.0355531	0.39157	3.57229	0.300394	0.291029	0.141809	0.266768	0.02005305	0.7098152
180	-3716.247	-3711.883	-4.363243	0.5733845	0.2007787	0.174512	0.0808246	0.308002	0.136368	0.158668	0.126532	0.0791043	0.459374	0.213505	0.200236	0.325005	0.3734	0.151939	0.0756585	0.118204	1.51462	0.160027	0.223881	0.17792	-0.01131277	0.0109303	0.463769	0.0103478	0.00360949	0.505931	0.00541237	0.0210844	-1.726421	0.000545616	0.0342259	0.385687	3.57954	0.320145	0.288452	0.140553	0.25085	0.009771628	2.157716
190	-3706.699	-3710.914	4.214875	0.6358684	0.1679506	0.261043	0.0946139	0.287586	0.111955	0.103195	0.079824	0.0643887	0.487068	0.165251	0.165182	0.31303	0.206008	0.18813	0.0654925	0.177798	0.0520315	0.180811	0.0498693	0.1561168	-0.00329069	0.00728057	0.531316	0.00994414	0.00429484	0.440785	0.0063791	0.01989474	-1.857151	0.000142154	0.0175671	0.295074	3.68722	0.29903	0.297571	0.127097	0.276303	0.01660405	1.198186
200	-3705.552	-3709.094	3.542471	0.5479979	0.2261077	0.211496	0.0907762	0.408085	0.16552	0.183306	0.21556	0.0705703	0.47402	0.214763	0.126969	0.373817	0.197284	0.124687	0.0610434	0.128036	0.179031	0.0715143	0.0774844	0.1550775	-0.01539686	0.00951483	0.532474	0.0103229	0.00546756	0.437769	0.00445184	0.04157549	-1.86383	0.00117865	0.0500635	0.448323	3.50043	0.294146	0.302925	0.137847	0.265083	0.02617863	1.588146
210	-3707.706	-3711.855	4.148725	0.5732275	0.1856603	0.128843	0.0725607	0.247779	0.116446	0.165585	0.129579	0.0859476	0.590803	0.210711	0.0747258	0.280011	0.174337	0.0988802	0.064627	0.210205	0.172432	0.0921993	0.109585	0.1280038	0.2069705	0.0137231	0.485108	0.0105612	0.0168481	0.4714	0.00235878	0.06361999	-2.055695	0.000311605	0.025934	0.34521	3.62854	0.297405	0.306281	0.137419	0.258895	0.2705905	0.2351154
220	-3709.121	-3712.753	3.632314	0.5826469	0.1737306	0.21102	0.151414	0.378364	0.111573	0.114561	0.166259	0.0519008	0.435123	0.128727	0.151465	0.287225	0.226815	0.107394	0.0998125	0.191979	0.0705262	0.128248	0.146117	0.1760027	0.08786899	0.00736899	0.489161	0.0101934	0.016976	0.475339	0.000961895	0.07219649	-1.737256	0.000186922	0.0201259	0.311736	3.66795	0.295149	0.297951	0.127375	0.279525	0.1600655	0.4510435
230	-3706.962	-3711.808	4.84693	0.5305705	0.1756827	0.146155	0.0882582	0.248328	0.110803	0.104564	0.178395	0.0632004	0.430164	0.176922	0.0738711	0.312201	0.361591	0.164484	0.0924715	0.0884776	0.254799	0.206803	0.0859955	0.157528	-0.001678074	0.00789952	0.502317	0.00998438	0.0185694	0.46062	0.000610175	0.04811082	-1.848152	0.000204195	0.0210286	0.3173	3.66147	0.30852	0.305045	0.116954	0.269481	0.04643274	1.03614
240	-3703.114	-3709.046	5.932771	0.6093857	0.201022	0.0705219	0.0723928	0.193912	0.112299	0.12865	0.131749	0.076065	0.325746	0.176577	0.0708897	0.31005	0.305372	0.0963736	0.0612717	0.195452	0.264579	0.134589	0.171753	0.1379074	0.1363222	0.00911882	0.585156	0.0115255	0.0136019	0.380026	0.000572025	0.03376135	-1.981173	0.000550178	0.0343672	0.38632	3.57876	0.308048	0.295319	0.129497	0.267137	0.1700836	0.1984986
250	-3711.026	-3717.373	6.347288	0.5451544	0.222053	0.147171	0.146173	0.338107	0.134633	0.0963785	0.228392	0.0753495	0.342171	0.152602	0.101992	0.28021	0.21148	0.237691	0.0738531	0.153367	0.167949	0.222538	0.0949593	0.1409962	-0.02257022	0.00769502	0.579434	0.0162819	0.0197892	0.37631	0.000490244	0.05185016	-1.959022	0.00105434	0.0473875	0.438737	3.51282	0.300052	0.282289	0.131364	0.286295	0.02927994	1.770843
260	-3716.083	-3710.69	-5.393093	0.4966122	0.1751482	0.176976	0.0833095	0.233527	0.12989	0.250739	0.176708	0.0638304	0.685229	0.24668	0.138953	0.452734	0.137745	0.133907	0.0751811	0.377911	0.513797	0.328932	0.39573	0.2380643	-0.05366391	0.0104005	0.523005	0.00925292	0.00539228	0.451213	0.000736469	0.07485126	-1.435215	0.000199352	0.0207796	0.31578	3.66324	0.278895	0.314206	0.121038	0.285861	0.02118735	3.532828
270	-3716.591	-3718.497	1.906316	0.6421445	0.161739	0.18181	0.109796	0.213788	0.11681	0.151366	0.0786306	0.0696298	0.546843	0.245067	0.090882	0.296437	0.254225	0.0734312	0.0491403	0.0908137	0.285941	0.121012	0.228416	0.1831168	0.02616645	0.013751	0.517517	0.0107522	0.0102432	0.446478	0.00125787	0.04627912	-1.697631	0.000103629	0.0150132	0.276882	3.708	0.291231	0.297112	0.138363	0.273294	0.07244557	0.6388123
280	-3703.81	-3709.819	6.009461	0.6834926	0.198196	0.176674	0.0825091	0.200055	0.10261	0.129819	0.135172	0.044981	0.436115	0.150115	0.115876	0.44601	0.198157	0.208393	0.0632765	0.206628	0.089745	0.139751	0.103098	0.1493622	0.02951102	0.0110492	0.497717	0.0112691	0.0107357	0.467946	0.00128293	0.01706379	-1.901381	0.000498841	0.0327413	0.378933	3.58783	0.310764	0.284902	0.137959	0.266376	0.04657481	0.3663738
290	-3707.777	-3711.014	3.237275	0.6845858	0.201359	0.158128	0.0668644	0.194891	0.0979377	0.0886598	0.114159	0.0523147	0.422641	0.142636	0.142956	0.483305	0.115185	0.305005	0.0560871	0.160976	0.174819	0.133431	0.057479	0.1296411	0.09356241	0.0154195	0.496481	0.00679562	0.0133773	0.466784	0.00114286	0.09301285	-2.042986	0.000556538	0.0345631	0.387195	3.57768	0.329388	0.286358	0.137982	0.246271	0.1865753	0.4985272
300	-3710.703	-3715.519	4.816572	0.6410673	0.2372853	0.252334	0.22902	0.169865	0.112507	0.138284	0.165195	0.0766251	0.350001	0.228908	0.183698	0.408378	0.193294	0.114004	0.0678086	0.286188	0.152469	0.0796384	0.111837	0.1828332	-0.054683	0.00897416	0.436496	0.0101937	0.0061539	0.537407	0.000774725	0.06472199	-1.699181	0.0015712	0.0576739	0.473894	3.46686	0.303226	0.286892	0.162267	0.247614	0.01003899	6.447059
310	-3710.542	-3710.284	-0.2578421	0.5338319	0.2128919	0.111243	0.0496508	0.526661	0.161606	0.199307	0.295469	0.0844142	0.533858	0.186877	0.173029	0.303076	0.206803	0.122581	0.0666641	0.225644	0.217282	0.188645	0.14324	0.1669536	-0.04400853	0.00920246	0.423961	0.00601367	0.0082972	0.55088	0.00164496	0.1124019	-1.790039	0.000806888	0.0415281	0.41646	3.54121	0.313944	0.297755	0.141585	0.246715	0.06839338	1.643462
320	-3711.354	-3707.008	-4.346311	0.4707958	0.1888256	0.121845	0.172221	0.372398	0.157674	0.162524	0.276044	0.0561435	0.53735	0.267166	0.162208	0.227372	0.463111	0.282086	0.0652382	0.288568	0.0718687	0.0755671	0.0974722	0.1871254	0.1826711	0.0143798	0.558774	0.00346441	0.00581828	0.416694	0.000868713	0.1163932	-1.675976	0.000352999	0.0275879	0.35387	3.61819	0.296395	0.298852	0.13399	0.270763	0.2990642	0.3891912
330	-3705.281	-3704.65	-0.631384	0.4733854	0.2048357	0.243939	0.205197	0.346332	0.218324	0.193154	0.233122	0.0687733	0.522153	0.237189	0.222662	0.153623	0.23972	0.143268	0.090623	0.332514	0.0886911	0.0745358	0.397236	0.2057178	0.01508571	0.0131867	0.554568	0.00764192	0.00604176	0.418248	0.000314014	0.07568003	-1.58125	0.000625237	0.036611	0.39616	3.5666	0.286925	0.315969	0.120788	0.276319	0.09076574	0.8337951
340	-3726.393	-3718.656	-7.736673	0.6760098	0.2402419	0.0715513	0.126199	0.461406	0.223126	0.118836	0.526181	0.0613315	0.80579	0.495033	0.190454	0.219649	0.247491	0.196296	0.0479832	0.233044	0.1102	0.0857075	0.185966	0.2152659	-0.13947	0.0108839	0.465743	0.00732821	0.0104565	0.505359	0.000229145	0.1747581	-1.535881	0.00168775	0.059739	0.48045	3.45812	0.293565	0.314539	0.125188	0.266709	0.03528808	4.952326
350	-3719.8	-3712.248	-7.55223	0.5768732	0.1494418	0.144398	0.145093	0.400512	0.139715	0.261453	0.288031	0.0363365	0.820195	0.228754	0.243541	0.191826	0.359113	0.157096	0.0754492	0.0587749	0.484467	0.0968946	0.208128	0.1507053	-0.1443405	0.00866626	0.54154	0.00541833	0.0106332	0.433559	0.000183242	0.1897932	-1.892429	5.12818e-05	0.0105798	0.240142	3.74923	0.291525	0.312353	0.131267	0.264855	0.04545278	4.175613
360	-3707.968	-3708.424	0.4559124	0.5374463	0.1817991	0.284	0.244681	0.479125	0.146262	0.180418	0.1989	0.0816725	0.45089	0.155424	0.159241	0.242195	0.257968	0.231285	0.0696729	0.237078	0.074463	0.120212	0.119586	0.2067229	-0.05572929	0.0170482	0.543237	0.00875307	0.00614321	0.42452	0.000298681	0.1301616	-1.576376	0.000266052	0.0239792	0.334518	3.64124	0.298333	0.304536	0.12308	0.274051	0.07443231	1.748724
370	-3706.573	-3710.294	3.721249	0.5880477	0.2330529	0.175275	0.120566	0.332046	0.121323	0.188252	0.179996	0.0872446	0.418962	0.139914	0.142486	0.440217	0.069263	0.141216	0.0581527	0.0844062	0.253401	0.0829327	0.229216	0.1510298	-0.1142197	0.0160988	0.529671	0.00818792	0.0113927	0.43434	0.00030926	0.1339647	-1.890278	0.00141374	0.0547541	0.464359	3.47947	0.303314	0.30962	0.124091	0.262975	0.01974499	6.784743
380	-3705.28	-3705.225	-0.05439413	0.5091869	0.2136934	0.228107	0.143118	0.190387	0.130052	0.124227	0.177668	0.073693	0.425213	0.294629	0.154601	0.438085	0.0809179	0.236368	0.0596483	0.365105	0.242397	0.0695236	0.0539212	0.1767028	-0.1788158	0.0132612	0.515598	0.010301	0.00884886	0.451659	0.000331919	0.1817538	-1.733286	0.000826752	0.0420298	0.418443	3.5387	0.303211	0.309515	0.124388	0.262886	0.002937938	61.8644
390	-3710.65	-3713.232	2.581863	0.4854174	0.1390714	0.203509	0.170672	0.263137	0.146891	0.118499	0.145278	0.0895771	0.534191	0.267144	0.273967	0.321097	0.204853	0.156144	0.0606161	0.195461	0.0935606	0.154298	0.126786	0.1401698	-0.1458333	0.0135678	0.567783	0.00886547	0.0108453	0.397819	0.00111963	0.1583641	-1.9649	2.57174e-05	0.00750251	0.20867	3.7838	0.299121	0.311758	0.136621	0.252501	0.01253081	12.63798
400	-3708.631	-3710.179	1.547599	0.6027721	0.1754616	0.168429	0.0891475	0.400535	0.133955	0.170713	0.284892	0.054281	0.612866	0.167619	0.180292	0.278596	0.143029	0.0942007	0.0749781	0.071365	0.111654	0.223599	0.228497	0.1389907	-0.09176143	0.0161041	0.475715	0.0116533	0.00482126	0.486436	0.00526973	0.1209415	-1.973348	0.000202182	0.0209255	0.316672	3.6622	0.303804	0.3014	0.141146	0.253651	0.02918012	4.144656
410	-3709.585	-3713.126	3.540658	0.5466017	0.1814261	0.19493	0.0748951	0.279668	0.103816	0.166165	0.189293	0.0776466	0.306752	0.088771	0.12897	0.236411	0.213905	0.075587	0.0549057	0.139508	0.183305	0.157312	0.153268	0.1858775	0.04983232	0.0124903	0.489793	0.0105306	0.0114857	0.469888	0.00581232	0.1493388	-1.682667	0.000261927	0.0237941	0.333477	3.64247	0.305267	0.306499	0.122449	0.265784	0.1991712	0.7498015
420	-3708.939	-3711.48	2.541419	0.4532849	0.1874563	0.285773	0.170673	0.310232	0.157157	0.207347	0.209879	0.0898933	0.365655	0.321854	0.28854	0.374058	0.248597	0.122386	0.096085	0.107128	0.127582	0.128223	0.19447	0.2148872	0.005364854	0.0128782	0.500053	0.0107512	0.00990134	0.460482	0.00593407	0.04771803	-1.537642	0.00033463	0.0268669	0.350136	3.62266	0.31543	0.280465	0.13539	0.268715	0.05308288	0.8989344
430	-3708.224	-3708.762	0.5388913	0.5579625	0.2273042	0.0914197	0.0681675	0.27168	0.20461	0.184537	0.226146	0.0390513	0.351285	0.260079	0.219451	0.390391	0.184513	0.225691	0.0749146	0.191418	0.0678948	0.204032	0.176758	0.1843111	0.0726853	0.0151963	0.466486	0.00529088	0.00687661	0.493555	0.0125949	0.05138505	-1.69113	0.00121713	0.0508622	0.45112	3.4968	0.31111	0.276623	0.138136	0.274131	0.1240704	0.4141606
440	-3714.368	-3717.784	3.416103	0.4853355	0.2412235	0.122045	0.113045	0.378578	0.131988	0.200839	0.295632	0.0773715	0.232683	0.161702	0.156441	0.243093	0.23443	0.222647	0.0787685	0.15841	0.139801	0.241534	0.207528	0.1291216	0.1582946	0.0149928	0.573261	0.00591982	0.0053677	0.389073	0.0113857	0.003888527	-2.047	0.00172765	0.060429	0.482608	3.45524	0.290774	0.31785	0.127483	0.263893	0.1621832	0.02397615
450	-3710.089	-3712.916	2.826155	0.4291556	0.1698288	0.140178	0.153174	0.314219	0.162189	0.171869	0.154707	0.101448	0.481732	0.178821	0.15287	0.136256	0.357975	0.105059	0.0946888	0.442413	0.105527	0.14515	0.236006	0.1961592	0.001444124	0.0118551	0.484199	0.0172481	0.00424291	0.473726	0.00872925	0.08214067	-1.628829	0.000155699	0.0183796	0.300518	3.68095	0.303408	0.31105	0.134222	0.25132	0.0835848	0.9827226
460	-3716.351	-3711.926	-4.425124	0.4478316	0.1877042	0.199235	0.0529576	0.278683	0.24758	0.193712	0.328961	0.0421889	0.575044	0.136251	0.154033	0.246523	0.308516	0.413724	0.0768525	0.201161	0.106693	0.228018	0.183543	0.2389398	-0.006323797	0.010482	0.583021	0.0124609	0.00329803	0.379776	0.0109626	0.05551453	-1.431543	0.000337904	0.0269968	0.350813	3.62185	0.312943	0.301651	0.119975	0.26543	0.04919074	1.128557
470	-3710.646	-3711.151	0.5057517	0.4463142	0.2104045	0.0362623	0.0630877	0.352287	0.157859	0.187087	0.31685	0.0524635	0.438764	0.238149	0.295436	0.143228	0.224017	0.107992	0.177938	0.160504	0.305676	0.187909	0.162922	0.1794303	-0.01015345	0.0100552	0.498025	0.0218451	0.00915752	0.450658	0.0102588	0.01703141	-1.717968	0.000747343	0.0399852	0.410263	3.549	0.304244	0.300597	0.134292	0.260867	0.006877963	2.476229
480	-3709.602	-3708.98	-0.6221018	0.4273161	0.2261888	0.1477	0.150848	0.334485	0.22129	0.228002	0.266127	0.067207	0.342178	0.382185	0.216537	0.189018	0.157734	0.244263	0.0842737	0.249213	0.0764163	0.215167	0.153335	0.2250769	0.2021045	0.0100784	0.499173	0.0180794	0.0106899	0.451697	0.0102824	0.07170429	-1.491313	0.00118123	0.0501175	0.448513	3.50019	0.306787	0.300673	0.132293	0.260247	0.2738088	0.2618773
490	-3710.063	-3713.32	3.256848	0.5022714	0.2001343	0.248078	0.117871	0.334145	0.134325	0.189235	0.146653	0.0872518	0.31264	0.298138	0.116173	0.194403	0.258767	0.27777	0.0875774	0.21409	0.0821147	0.0605193	0.190285	0.1869834	0.05719877	0.00636728	0.493046	0.0135108	0.00823544	0.475192	0.00364833	0.06662674	-1.676735	0.000533666	0.033853	0.384008	3.5816	0.294376	0.32081	0.133597	0.251218	0.1238255	0.5380696
500	-3706.43	-3712.583	6.153011	0.4881798	0.2289204	0.122174	0.108804	0.33343	0.130711	0.143539	0.155085	0.0740615	0.367286	0.153184	0.157263	0.229782	0.320068	0.081947	0.081759	0.161494	0.157543	0.122205	0.0411429	0.1627862	-0.08966161	0.0104598	0.490491	0.0103575	0.00844704	0.476008	0.00423703	0.09188174	-1.815318	0.00127043	0.0519474	0.454876	3.49191	0.291043	0.317178	0.143406	0.248373	0.002220129	41.38576
510	-3711.172	-3711.416	0.2441768	0.4201613	0.2197275	0.108695	0.101544	0.31114	0.166172	0.205156	0.215185	0.0855029	0.356836	0.15873	0.209701	0.23539	0.279312	0.339954	0.11778	0.136042	0.064632	0.225	0.413742	0.2343213	-0.1158279	0.00971372	0.565677	0.0129973	0.0115295	0.392289	0.00779321	0.1213539	-1.451062	0.000987217	0.0458748	0.433163	3.51998	0.295457	0.319319	0.120956	0.264267	0.005525934	21.96079
520	-3704.068	-3708.724	4.655225	0.4874774	0.2261317	0.153077	0.0994827	0.262556	0.188975	0.167638	0.211854	0.0686582	0.361545	0.207335	0.149684	0.292554	0.0780504	0.190488	0.0869823	0.255857	0.0819835	0.140836	0.0958896	0.1141819	0.03971227	0.0179085	0.510318	0.00588457	0.015343	0.44312	0.00742649	0.04283456	-2.169963	0.00117942	0.0500795	0.44838	3.50036	0.297361	0.293664	0.131771	0.277204	0.08254683	0.5189122
530	-3722.334	-3719.256	-3.078073	0.4328159	0.1944305	0.149939	0.286201	0.202906	0.16798	0.192442	0.222828	0.065179	0.391801	0.628721	0.266783	0.197699	0.0716627	0.128407	0.127072	0.0956561	0.616079	0.0996508	0.413614	0.1788757	0.0616599	0.0180277	0.513715	0.00592375	0.00979039	0.44607	0.00647283	0.036134	-1.721064	0.000435867	0.0306255	0.368966	3.59997	0.302691	0.304526	0.134133	0.258649	0.0977939	0.3694913
540	-3705.307	-3706.32	1.013391	0.5153241	0.1949462	0.217903	0.163029	0.376363	0.123558	0.135662	0.229428	0.0382754	0.365574	0.181531	0.19173	0.204236	0.243818	0.199116	0.0516878	0.0623277	0.233373	0.0717234	0.0763321	0.1218385	0.09988465	0.0119625	0.503961	0.00581128	0.00737389	0.464541	0.00634992	0.06106409	-2.105059	0.000444135	0.0309118	0.37034	3.5983	0.303456	0.289789	0.145789	0.260966	0.1609487	0.3794009
550	-3709.848	-3707.424	-2.424517	0.6052788	0.1903408	0.10585	0.0540306	0.393471	0.142987	0.114794	0.190802	0.03763	0.39151	0.157899	0.138186	0.451106	0.210797	0.117879	0.0713376	0.0968322	0.246938	0.362666	0.241664	0.1687928	-0.09209652	0.0117099	0.512269	0.0046814	0.00751111	0.457495	0.00633348	0.2060939	-1.779083	0.000374166	0.0283955	0.357982	3.61325	0.322099	0.298507	0.131423	0.247972	0.1139974	1.807883
