Iteration	Posterior	Likelihood	Prior	age_ursinae	alpha_cytb	branch_rates[1]	branch_rates[2]	branch_rates[3]	branch_rates[4]	branch_rates[5]	branch_rates[6]	branch_rates[7]	branch_rates[8]	branch_rates[9]	branch_rates[10]	branch_rates[11]	branch_rates[12]	branch_rates[13]	branch_rates[14]	branch_rates[15]	branch_rates[16]	branch_rates[17]	branch_rates[18]	branch_rates_mean	diversification	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	extinction_rate	ln_branch_rates_mean	rates_cytb[1]	rates_cytb[2]	rates_cytb[3]	rates_cytb[4]	sf[1]	sf[2]	sf[3]	sf[4]	speciation_rate	turnover
0	-5917.752	-5918.459	0.7070476	0.9176611	1	0.0977327	0.28126	0.159873	0.804787	0.215316	0.350749	0.181443	0.285428	0.235902	0.178356	0.0885008	0.255758	0.242395	0.10462	0.127379	0.0995818	0.122726	0.217171	0.172346	0.003820777	0.280973	0.187437	0.155882	0.0577685	0.071189	0.246751	0.06409671	-1.758251	0.136954	0.476752	1	2.38629	0.0962836	0.537578	0.0382579	0.327881	0.06791749	0.9437438
10	-4096.457	-4103.089	6.632082	0.6422801	0.2800749	0.0652418	0.093237	0.196931	0.166422	0.112346	0.199831	0.0602704	0.26569	0.134082	0.0955902	0.13691	0.362759	0.291185	0.0872982	0.168078	0.196017	0.0916493	0.297168	0.1485605	0.01523577	0.0520429	0.669929	0.0798919	0.0138806	0.0586985	0.125557	0.03924322	-1.906763	0.00381853	0.0891144	0.560773	3.34629	0.21011	0.317863	0.105877	0.36615	0.05447899	0.7203368
20	-3890.603	-3889.106	-1.496455	0.5337342	0.2027057	0.116469	0.178782	0.73283	0.207192	0.190911	0.546433	0.0674475	0.260059	0.279572	0.205262	0.131435	0.0878601	0.121459	0.071086	0.122613	0.0869285	0.167404	0.185095	0.1471639	0.2968036	0.0359145	0.680493	0.0904219	0.0145328	0.134777	0.0438609	0.02781719	-1.916208	0.000582481	0.0353509	0.390683	3.57338	0.232225	0.334446	0.124787	0.308542	0.3246208	0.08569134
30	-3768.981	-3773.524	4.542898	0.5210226	0.2331242	0.022477	0.0740213	0.429241	0.162364	0.127218	0.352276	0.0397275	0.226987	0.124161	0.12554	0.0904912	0.20479	0.0759931	0.110687	0.158661	0.140988	0.153076	0.100662	0.1149905	0.03600707	0.0322353	0.610781	0.0468156	0.0115726	0.269397	0.0291978	0.06194888	-2.162906	0.00141631	0.054803	0.464521	3.47926	0.253028	0.329968	0.120527	0.296478	0.09795595	0.6324157
40	-3756.376	-3758.104	1.728096	0.4966895	0.2131029	0.0647375	0.237635	0.466913	0.168183	0.15157	0.431619	0.0811071	0.285612	0.184358	0.266283	0.10248	0.176061	0.129979	0.113619	0.124062	0.135199	0.109599	0.197497	0.1354765	0.1764378	0.018202	0.632395	0.0484723	0.00858441	0.282037	0.0103085	0.06588268	-1.998957	0.000812086	0.04166	0.416982	3.54055	0.267595	0.338194	0.112432	0.281779	0.2423205	0.2718824
50	-3724.07	-3725.285	1.215358	0.5783155	0.188592	0.0752614	0.144072	0.408981	0.128275	0.182394	0.231758	0.0638564	0.280439	0.222415	0.178701	0.151611	0.200441	0.250059	0.0911087	0.0252628	0.0486094	0.160197	0.15635	0.1243009	0.05787523	0.0140571	0.599297	0.0276453	0.00508129	0.347414	0.00650617	0.1187675	-2.08505	0.000349814	0.0274643	0.353234	3.61895	0.28022	0.333707	0.123634	0.262439	0.1766428	0.67236
60	-3717.046	-3723.71	6.66388	0.6812936	0.1780567	0.0497369	0.0478466	0.274494	0.0928824	0.15516	0.165639	0.0327202	0.375508	0.0972896	0.146053	0.136918	0.308339	0.131676	0.0579412	0.0445501	0.115458	0.0839778	0.113692	0.1019235	0.0471084	0.0100109	0.437858	0.018975	0.00335859	0.522076	0.00772141	0.08425666	-2.283533	0.000226773	0.0221521	0.324023	3.6536	0.311726	0.26254	0.144357	0.281377	0.1313651	0.6413932
70	-3718.125	-3717.129	-0.9963642	0.804994	0.1765329	0.114706	0.135767	0.139847	0.074334	0.0761593	0.145038	0.0589211	0.482524	0.378921	0.150596	0.145385	0.38593	0.0611008	0.0311019	0.301105	0.199863	0.164811	0.308684	0.1669826	0.03029579	0.0128948	0.435435	0.0179969	0.00872192	0.510786	0.0141656	0.05315708	-1.789866	0.000212079	0.0214278	0.319713	3.65865	0.299508	0.295586	0.137295	0.267611	0.08345287	0.6369713
80	-3710.167	-3712.642	2.47542	0.9422679	0.1876849	0.088728	0.113721	0.173113	0.0658738	0.0803296	0.10808	0.053928	0.439907	0.252927	0.203781	0.224206	0.299078	0.110358	0.0311813	0.0908724	0.0896879	0.059805	0.423107	0.11078	0.007438395	0.00714896	0.501688	0.0114993	0.00948817	0.452777	0.0173985	0.0747142	-2.200209	0.000337648	0.0269867	0.350761	3.62192	0.312006	0.307921	0.124913	0.25516	0.08215259	0.9094564
90	-3720.954	-3718.346	-2.607817	0.8718686	0.1794609	0.0550339	0.100214	0.172947	0.0792197	0.0966678	0.0828824	0.0391277	0.460623	0.161441	0.13085	0.219654	0.426911	0.0942565	0.0328341	0.0911051	0.233498	0.0751019	0.649263	0.1144111	-0.04138152	0.00945091	0.480032	0.010771	0.00605181	0.473545	0.0201492	0.1674924	-2.167957	0.000240969	0.0228297	0.327975	3.64895	0.297663	0.30563	0.153278	0.24343	0.1261109	1.328136
