Iteration	Posterior	Likelihood	Prior	age_ursinae	alpha_cytb	branch_rates[1]	branch_rates[2]	branch_rates[3]	branch_rates[4]	branch_rates[5]	branch_rates[6]	branch_rates[7]	branch_rates[8]	branch_rates[9]	branch_rates[10]	branch_rates[11]	branch_rates[12]	branch_rates[13]	branch_rates[14]	branch_rates[15]	branch_rates[16]	branch_rates[17]	branch_rates[18]	branch_rates_mean	diversification	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	extinction_rate	ln_branch_rates_mean	rates_cytb[1]	rates_cytb[2]	rates_cytb[3]	rates_cytb[4]	sf[1]	sf[2]	sf[3]	sf[4]	speciation_rate	turnover
120	-3710.381	-3714.265	3.883412	0.541907	0.1909417	0.180888	0.173965	0.268364	0.105319	0.190546	0.121563	0.201608	0.338674	0.16628	0.0390629	0.221614	0.23361	0.118361	0.115918	0.276634	0.0830024	0.216801	0.377247	0.1815023	0.02407585	0.00989281	0.584195	0.0112025	0.0100467	0.382371	0.00229266	0.008468605	-1.706487	0.000382809	0.0287186	0.359606	3.61129	0.286389	0.294288	0.122711	0.296613	0.03254445	0.2602165
130	-3707.952	-3712.039	4.086731	0.5280803	0.2063695	0.186875	0.126054	0.199024	0.113898	0.0908604	0.115662	0.102397	0.337285	0.338476	0.0437734	0.187269	0.242809	0.0348778	0.154705	0.414938	0.116587	0.0993617	0.0803016	0.1578183	0.02100779	0.0127246	0.516499	0.00817223	0.00858064	0.450976	0.00304747	0.01373809	-1.846311	0.000657358	0.037529	0.400076	3.56174	0.315097	0.300927	0.12688	0.257096	0.03474588	0.3953876
140	-3713.764	-3720.679	6.915253	0.5611269	0.2368623	0.201874	0.0984077	0.154038	0.0983916	0.143629	0.127796	0.0698098	0.313355	0.13896	0.0796859	0.357866	0.244138	0.1797	0.0650176	0.239686	0.134575	0.157589	0.277931	0.1576805	0.05750482	0.0109849	0.514269	0.0127118	0.0103534	0.44805	0.00363086	0.005609335	-1.847184	0.00155497	0.0573801	0.472949	3.46812	0.297945	0.297461	0.13326	0.271334	0.06311415	0.08887601
150	-3708.152	-3714.336	6.183769	0.5112931	0.1850658	0.147844	0.0634014	0.240209	0.159465	0.140279	0.136411	0.100914	0.471072	0.12561	0.0548561	0.272922	0.248238	0.260457	0.201243	0.0733255	0.11972	0.229894	0.0947371	0.1405963	0.009286234	0.0101781	0.556634	0.0108346	0.0100334	0.408999	0.00332049	0.003132638	-1.961862	0.000304245	0.0256285	0.343573	3.63049	0.288105	0.326444	0.128859	0.256592	0.01241887	0.2522482
160	-3711.628	-3707.249	-4.379245	0.5380089	0.192023	0.385428	0.270429	0.391513	0.193041	0.353634	0.1521	0.266367	0.54069	0.193831	0.0709738	0.301987	0.216934	0.2826	0.148453	0.0834396	0.0569302	0.390208	0.0862197	0.1523556	0.01425417	0.00994767	0.533416	0.0076641	0.0155566	0.430549	0.00286709	0.00380827	-1.881538	0.000398725	0.029304	0.36252	3.60778	0.310644	0.309269	0.125193	0.254894	0.01806244	0.2108392
170	-3703.732	-3706.195	2.463142	0.4562184	0.2417114	0.182333	0.0954211	0.432519	0.217016	0.269529	0.164075	0.135836	0.347219	0.193607	0.063999	0.202524	0.362027	0.140282	0.221058	0.125373	0.0743844	0.0323641	0.138898	0.1428826	0.01540081	0.0114401	0.547107	0.00718863	0.00689339	0.420433	0.00693733	0.001588695	-1.945732	0.00174771	0.0607728	0.483677	3.4538	0.299495	0.314162	0.128899	0.257444	0.01698951	0.09351034
180	-3702.449	-3706.803	4.353865	0.6341853	0.2125988	0.146812	0.0473801	0.292718	0.178795	0.212103	0.13172	0.105102	0.434867	0.250549	0.0467951	0.175566	0.385772	0.0713208	0.0893747	0.125582	0.0858334	0.0462522	0.134169	0.1328796	0.06960599	0.0100261	0.608037	0.00561072	0.00538029	0.362258	0.00868784	0.001537843	-2.018312	0.000799706	0.0413452	0.415733	3.54212	0.297808	0.300041	0.125627	0.276524	0.07114383	0.02161598
190	-3707.408	-3708.946	1.538405	0.4548677	0.2048063	0.121769	0.156008	0.299457	0.216291	0.170061	0.148537	0.299909	0.510452	0.196793	0.0387616	0.192158	0.373044	0.0706241	0.172204	0.200429	0.0917319	0.125406	0.217589	0.185428	0.08221851	0.0149269	0.489099	0.00647488	0.00553915	0.476337	0.0076237	0.00242305	-1.685089	0.000624632	0.0365935	0.396085	3.5667	0.290168	0.292343	0.131471	0.286018	0.08464156	0.02862719
200	-3712.69	-3714.68	1.98995	0.6074354	0.1890444	0.133462	0.200203	0.250672	0.145499	0.197044	0.153131	0.164337	0.435125	0.169841	0.0596813	0.213624	0.215765	0.243649	0.106572	0.223578	0.0905723	0.0545426	0.313499	0.1375008	0.2552337	0.0100581	0.564349	0.00474495	0.00423132	0.409429	0.00718826	0.004108349	-1.984125	0.000356	0.0277039	0.354465	3.61747	0.291486	0.318004	0.122794	0.267716	0.259342	0.01584143
210	-3708.652	-3710.693	2.040788	0.4642371	0.1661303	0.118369	0.10439	0.245402	0.219915	0.19614	0.157178	0.199342	0.704358	0.1365	0.0981644	0.135815	0.279496	0.259616	0.223587	0.216446	0.071616	0.13613	0.163396	0.1570269	0.2209783	0.0139056	0.561203	0.0111627	0.0061679	0.405217	0.00234334	0.01716464	-1.851338	0.000129896	0.0167974	0.289772	3.6933	0.271964	0.318211	0.141935	0.26789	0.2381429	0.07207705
220	-3712.901	-3710.696	-2.204765	0.4659474	0.1915513	0.119724	0.0665563	0.356775	0.166195	0.253135	0.178153	0.126188	0.58535	0.163935	0.0840528	0.0297412	0.55882	0.112953	0.0816228	0.408839	0.170515	0.22923	0.115942	0.1558956	0.02697946	0.00664897	0.582865	0.00984563	0.00489352	0.393888	0.00185956	0.01459448	-1.858569	0.000391724	0.029048	0.36125	3.60931	0.309992	0.295537	0.132463	0.262008	0.04157394	0.3510487
230	-3714.804	-3710.507	-4.296824	0.4379915	0.146991	0.0766424	0.0663313	0.322466	0.162481	0.266107	0.244152	0.188235	0.734533	0.160929	0.106099	0.391498	0.421184	0.106876	0.120285	0.493159	0.121225	0.159808	0.27041	0.2369815	0.03164031	0.00479592	0.566662	0.0142359	0.00534162	0.407965	0.00099973	0.03380808	-1.439773	4.39494e-05	0.00979758	0.232732	3.75743	0.300224	0.308979	0.132566	0.258231	0.06544839	0.5165609
240	-3707.661	-3704.509	-3.151882	0.3884821	0.1785878	0.112263	0.0511469	0.377599	0.188537	0.169873	0.152769	0.135621	0.546169	0.146848	0.0620263	0.295428	0.293384	0.574318	0.180867	0.22408	0.112887	0.20288	0.159346	0.2456656	-0.02280192	0.00752841	0.50029	0.0115957	0.00631055	0.471023	0.00325197	0.03778377	-1.403784	0.000232068	0.0224073	0.32552	3.65184	0.304021	0.297708	0.132392	0.265879	0.01498185	2.521969
250	-3712.42	-3710.608	-1.811947	0.3080698	0.1750019	0.12046	0.116968	0.458677	0.249331	0.24047	0.23027	0.179447	0.437005	0.143547	0.0515602	0.23144	0.392958	0.419444	0.330228	0.138434	0.189592	0.132636	0.0726715	0.1611678	0.08023522	0.014493	0.587837	0.00967176	0.0056046	0.380138	0.00225591	0.009504289	-1.825309	0.000198041	0.0207116	0.315363	3.66373	0.281924	0.298453	0.13198	0.287643	0.08973951	0.1059098
260	-3712.919	-3707.592	-5.326558	0.2693092	0.1761269	0.189851	0.298566	0.528072	0.305781	0.2934	0.276641	0.316227	0.631297	0.401299	0.0653192	0.195258	0.202261	0.166949	0.143659	0.486415	0.120016	0.0862789	0.41154	0.2350371	0.06142887	0.0119366	0.54179	0.00677162	0.00687296	0.429662	0.00296648	0.006686266	-1.448012	0.000208287	0.0212367	0.318562	3.65999	0.281292	0.329647	0.125154	0.263907	0.06811514	0.09816124
270	-3713.475	-3711.814	-1.660427	0.3568466	0.1590231	0.118895	0.174514	0.432989	0.148193	0.334649	0.225047	0.239509	0.340299	0.167692	0.067032	0.299143	0.180333	0.133438	0.0758933	0.329785	0.105801	0.495637	0.469171	0.2213736	0.03467144	0.0113121	0.521175	0.0052893	0.0170838	0.44295	0.00218954	0.003697954	-1.507904	8.95527e-05	0.0139619	0.268843	3.71711	0.311134	0.286585	0.12996	0.272321	0.03836939	0.09637771
280	-3708.772	-3705.488	-3.284002	0.417676	0.2043186	0.239332	0.0755578	0.45269	0.205523	0.222733	0.179183	0.118449	0.407792	0.251389	0.0654711	0.174632	0.350074	0.0879191	0.463781	0.223436	0.126931	0.131886	0.384796	0.1461068	0.1395618	0.0125611	0.55128	0.00859165	0.0108013	0.41445	0.00231601	0.003691742	-1.923418	0.000614661	0.0363035	0.394835	3.56825	0.294973	0.303628	0.125745	0.275654	0.1432535	0.02577069
290	-3708.184	-3707.283	-0.9011372	0.4438412	0.1841747	0.167646	0.0613602	0.365299	0.170648	0.228599	0.118554	0.230128	0.359833	0.248296	0.103739	0.294795	0.264002	0.221026	0.27201	0.211109	0.108052	0.222115	0.10853	0.2129266	0.4432313	0.0105013	0.52968	0.00849087	0.00780891	0.440336	0.00318377	0.002496833	-1.546808	0.000293452	0.0251737	0.341113	3.63342	0.316977	0.302265	0.130696	0.250061	0.4457281	0.005601696
300	-3709.075	-3710.198	1.123101	0.4654485	0.2071362	0.166735	0.125293	0.26259	0.159365	0.120748	0.186467	0.276838	0.378585	0.446323	0.0961962	0.156627	0.304671	0.175288	0.393409	0.23904	0.0913998	0.10948	0.221901	0.2160933	0.1769106	0.0128769	0.528061	0.00766251	0.0104352	0.43899	0.00197505	0.0008868033	-1.532045	0.000673839	0.0379912	0.402025	3.55931	0.299712	0.298224	0.13801	0.264054	0.1777974	0.004987717
310	-3711.642	-3706.418	-5.223351	0.4213471	0.2037457	0.24926	0.206903	0.451921	0.234676	0.262479	0.143055	0.333993	0.282308	0.440948	0.0541637	0.258938	0.416564	0.201027	0.252012	0.189723	0.0795083	0.318865	0.533569	0.2453895	0.1996509	0.00938884	0.533486	0.00595576	0.00430579	0.4435	0.00336305	0.001188409	-1.404909	0.00060309	0.0359639	0.393363	3.57007	0.298912	0.303505	0.133793	0.26379	0.2008393	0.005917212
320	-3709.056	-3709.38	0.3234802	0.484957	0.192135	0.232883	0.0898875	0.359273	0.245258	0.285051	0.207094	0.210837	0.426873	0.131839	0.0708254	0.273611	0.367727	0.111142	0.204317	0.190541	0.0934511	0.151696	0.294891	0.2276373	0.1216059	0.0130901	0.539437	0.00600061	0.00468482	0.4335	0.00328722	0.001602121	-1.480002	0.000400401	0.029365	0.362821	3.60741	0.27686	0.314881	0.121632	0.286627	0.123208	0.01300338
330	-3705.522	-3707.857	2.334571	0.4046765	0.1958646	0.129643	0.140804	0.295178	0.197636	0.231742	0.15925	0.251738	0.342665	0.174936	0.0481892	0.227438	0.386003	0.337294	0.115274	0.270443	0.112732	0.0616114	0.101332	0.172782	0.07548951	0.00986046	0.541801	0.00699055	0.0142784	0.424169	0.00290144	0.001055761	-1.755725	0.000459136	0.0314243	0.372779	3.59534	0.31367	0.292841	0.125969	0.26752	0.07654527	0.01379264
340	-3711.656	-3716.537	4.881536	0.6298995	0.2612014	0.229159	0.140126	0.30799	0.147708	0.159687	0.153249	0.14637	0.226026	0.340633	0.0497408	0.156592	0.504624	0.175798	0.0888756	0.142966	0.0524382	0.0937111	0.116888	0.150997	0.04840516	0.00909464	0.553701	0.00729991	0.0112912	0.41681	0.00180313	0.0006341666	-1.890495	0.00267542	0.0748903	0.52452	3.39791	0.290674	0.309378	0.118943	0.281005	0.04903933	0.0129318
350	-3712.165	-3712.442	0.2767476	0.5689645	0.2170921	0.157871	0.211735	0.355448	0.178162	0.19062	0.156503	0.223177	0.31633	0.379604	0.08707	0.145002	0.86148	0.13344	0.226251	0.201639	0.0843864	0.257309	0.104274	0.1767343	0.03148829	0.0104334	0.491969	0.00796977	0.00589617	0.478166	0.00556612	0.001878493	-1.733108	0.000914735	0.044181	0.42678	3.52812	0.303465	0.309691	0.141024	0.245819	0.03336678	0.05629829
360	-3709.734	-3713.419	3.685339	0.541963	0.1825384	0.0926971	0.0798202	0.245005	0.170803	0.218155	0.111367	0.124397	0.507177	0.201628	0.069585	0.110381	0.503289	0.125965	0.0498669	0.132878	0.0674501	0.137974	0.101957	0.1229986	0.2271695	0.00582191	0.588494	0.00865481	0.00879289	0.384217	0.00401909	0.004384047	-2.095582	0.000274368	0.0243481	0.336576	3.6388	0.319294	0.304438	0.136036	0.240232	0.2315535	0.01893319
