Iteration	Replicate_ID	Posterior	Likelihood	Prior	age_ursinae	alpha_cytb	branch_rates[1]	branch_rates[2]	branch_rates[3]	branch_rates[4]	branch_rates[5]	branch_rates[6]	branch_rates[7]	branch_rates[8]	branch_rates[9]	branch_rates[10]	branch_rates[11]	branch_rates[12]	branch_rates[13]	branch_rates[14]	branch_rates[15]	branch_rates[16]	branch_rates[17]	branch_rates[18]	branch_rates_mean	diversification	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	extinction_rate	rates_cytb[1]	rates_cytb[2]	rates_cytb[3]	rates_cytb[4]	sf[1]	sf[2]	sf[3]	sf[4]	speciation_rate	turnover
12	0	-4034.818	-4034.848	0.02954667	0.4537301	0.2902177	0.0469219	0.0419605	0.0648473	0.113747	0.175126	0.294055	0.356323	0.190302	0.062689	0.0247815	0.072045	0.612224	0.154299	0.07452	0.110098	0.245169	0.275135	0.124925	0.1833611	-0.01284617	0.0367663	0.250936	0.235864	0.0353713	0.248426	0.192636	0.04200549	0.0045354	0.09691	0.579003	3.31955	0.267928	0.325076	0.171725	0.23527	0.02915931	1.440551
13	1	-3723.584	-3713.383	-10.20081	0.4071675	0.2136614	0.27891	0.156771	0.0378998	0.0419054	0.479513	0.230967	0.472482	0.411988	0.0505731	0.536099	0.101389	0.115061	0.0753961	0.136951	0.338319	0.180056	0.106515	0.381332	0.2620311	-0.2746826	0.00801695	0.553929	0.00607315	0.0168154	0.407292	0.00787338	0.3787799	0.000825952	0.0420097	0.418364	3.5388	0.308876	0.299147	0.129462	0.262515	0.1040974	3.638708
14	0	-3799.001	-3797.039	-1.962182	0.4100485	0.2460123	0.0813206	0.0652168	0.108151	0.156802	0.21963	0.33135	0.189742	0.306162	0.0884005	0.0527098	0.54162	0.451298	0.142657	0.124613	0.20634	0.0924161	0.143325	0.179154	0.1835261	-0.0006197851	0.0127401	0.236576	0.0684596	0.0116398	0.604952	0.0656317	0.01474217	0.00193109	0.0638256	0.493	3.44124	0.265931	0.31357	0.165937	0.254562	0.01412239	1.043887
15	1	-3720.42	-3708.68	-11.73986	0.5297387	0.1816	0.335289	0.28224	0.0619954	0.114308	0.610406	0.244621	0.59203	0.280853	0.0383275	0.543687	0.0395057	0.107424	0.25813	0.0483847	0.0508745	0.329371	0.0800358	0.75124	0.2838003	-0.1493793	0.00800937	0.505073	0.00709896	0.0153323	0.459948	0.00453824	0.26124	0.000263844	0.0238803	0.333963	3.64189	0.311392	0.290915	0.132558	0.265134	0.1118608	2.335403
16	0	-3743.052	-3740.364	-2.688196	0.5168694	0.2091222	0.0936987	0.0647798	0.063134	0.166242	0.135464	0.462271	0.407959	0.372753	0.0960095	0.0674653	0.119434	0.492564	0.108485	0.0630423	0.239253	0.0784937	0.341368	0.241335	0.1809261	-0.007848413	0.00665082	0.355699	0.043288	0.00659084	0.546272	0.0414999	0.01841036	0.00071787	0.0391983	0.407044	3.55304	0.29945	0.304605	0.145216	0.25073	0.01056195	1.743084
17	1	-3713.681	-3711.441	-2.239555	0.4753512	0.185322	0.22136	0.132172	0.15325	0.186864	0.320408	0.225208	0.19275	0.147433	0.0644264	0.392463	0.0104747	0.118145	0.137726	0.0621255	0.0472228	0.0729673	0.277769	0.439377	0.1340188	0.07919257	0.00598888	0.483254	0.0124742	0.00901886	0.484708	0.00455592	0.05230205	0.000307401	0.02576	0.344279	3.62965	0.290499	0.302872	0.139621	0.267008	0.1314946	0.3977505
18	0	-3715.085	-3714.985	-0.1000794	0.5518504	0.1984732	0.101293	0.0462646	0.0137003	0.148578	0.135791	0.483547	0.399537	0.3225	0.102907	0.0413866	0.0404422	0.476637	0.0968844	0.126714	0.128212	0.120448	0.0677993	0.29674	0.1606207	-0.01397487	0.0053674	0.571925	0.0164072	0.00704035	0.393563	0.00569663	0.02739736	0.00050372	0.0328994	0.379662	3.58694	0.316205	0.311229	0.124454	0.248112	0.0134225	2.041152
19	1	-3720.011	-3712.695	-7.316327	0.5843834	0.1396318	0.208527	0.110318	0.126268	0.0727873	0.223971	0.14714	0.153945	0.146508	0.0664083	0.962858	0.0169943	0.0922951	0.24594	0.0866517	0.124474	0.378916	0.249863	0.427569	0.1364222	0.1823801	0.00625441	0.53581	0.00805748	0.00886407	0.436147	0.00486738	0.02021845	2.67647e-05	0.0076532	0.210376	3.78194	0.308834	0.29652	0.126577	0.268069	0.2025986	0.09979562
20	0	-3716.308	-3713.161	-3.146736	0.5423676	0.2029982	0.194933	0.0756322	0.0173021	0.139375	0.135132	0.263482	0.187905	0.490014	0.194509	0.0665056	0.0777385	0.288015	0.275645	0.10566	0.340229	0.181722	0.143143	0.356403	0.2100442	-0.07721311	0.00502582	0.437696	0.0154961	0.00500663	0.530417	0.00635754	0.08575773	0.000588226	0.0355229	0.391438	3.57245	0.305415	0.303275	0.143469	0.247841	0.00854462	10.03646
21	1	-3720.28	-3713.164	-7.116069	0.7194032	0.1947647	0.389359	0.126393	0.0671478	0.120312	0.34828	0.220776	0.205643	0.223407	0.0565028	0.696038	0.151542	0.256007	0.120687	0.046625	0.0248087	0.0152036	0.293355	0.903233	0.2031072	0.0621813	0.00716677	0.455878	0.00698181	0.00571541	0.516244	0.00801339	0.03715772	0.000441212	0.0308109	0.369857	3.59889	0.334847	0.281803	0.128586	0.254764	0.09933902	0.3740495
