Iteration	Replicate_ID	Posterior	Likelihood	Prior	age_ursinae	alpha_cytb	branch_rates[1]	branch_rates[2]	branch_rates[3]	branch_rates[4]	branch_rates[5]	branch_rates[6]	branch_rates[7]	branch_rates[8]	branch_rates[9]	branch_rates[10]	branch_rates[11]	branch_rates[12]	branch_rates[13]	branch_rates[14]	branch_rates[15]	branch_rates[16]	branch_rates[17]	branch_rates[18]	branch_rates_mean	diversification	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	extinction_rate	rates_cytb[1]	rates_cytb[2]	rates_cytb[3]	rates_cytb[4]	sf[1]	sf[2]	sf[3]	sf[4]	speciation_rate	turnover
1118	0	-3716.959	-3708.245	-8.714141	0.3007297	0.167145	0.246774	0.094287	0.13931	0.2432	0.234204	0.379502	0.34742	0.629212	0.0992786	0.0826812	0.228065	0.314964	0.501595	0.155143	0.513425	0.0441226	0.25241	0.269837	0.2898264	-0.01981242	0.00913401	0.534355	0.00836965	0.00375785	0.444087	0.00029673	0.02312925	0.000136626	0.0172243	0.292731	3.68991	0.310891	0.300922	0.137406	0.250781	0.003316833	6.973294
1119	1	-3717.227	-3713.827	-3.399988	0.6179272	0.2189711	0.169876	0.129533	0.0483163	0.0563721	0.203105	0.146942	0.203045	0.139602	0.107171	0.399083	0.134105	0.0956646	0.0955054	0.0798322	0.260993	0.061876	0.174735	0.376905	0.2403532	-0.1581455	0.0103065	0.460225	0.00880435	0.00326352	0.50791	0.00949095	0.2366263	0.000966029	0.0453865	0.431338	3.52231	0.309428	0.305362	0.125163	0.260047	0.07848089	3.015082
1120	0	-3716.097	-3705.284	-10.81267	0.591044	0.1687442	0.445169	0.166318	0.0538859	0.108991	0.192017	0.300238	0.300415	0.899375	0.51049	0.0307181	0.366	0.286645	0.0477041	0.0476203	0.174761	0.679904	0.0258734	0.0380393	0.2960391	-0.04523351	0.00911809	0.533423	0.0101578	0.00351933	0.443312	0.000468924	0.1597066	0.000147763	0.0179082	0.297378	3.68457	0.292393	0.308785	0.134942	0.26388	0.1144731	1.395145
1121	1	-3715.22	-3711.358	-3.861784	0.5729981	0.1962325	0.21293	0.111055	0.0357365	0.118712	0.181718	0.156924	0.185066	0.0750735	0.0450474	0.536719	0.0365921	0.103615	0.0799718	0.0680921	0.420577	0.149743	0.235568	0.53881	0.1488252	-0.3090897	0.00706249	0.503835	0.0111129	0.00703599	0.468232	0.00272222	0.3113655	0.000465245	0.0316306	0.373754	3.59415	0.295843	0.286247	0.156271	0.261639	0.002275747	136.819
1122	0	-3713.858	-3710.758	-3.099502	0.6860579	0.1876923	0.210799	0.108988	0.0561817	0.124707	0.143516	0.228357	0.157944	0.89879	0.440983	0.05917	0.462144	0.154354	0.0709131	0.0536406	0.279399	0.0880366	0.110569	0.0144739	0.1775239	-0.02735624	0.00904586	0.529198	0.0149522	0.0061183	0.4398	0.000885423	0.0344308	0.000337745	0.0269905	0.350781	3.62189	0.286538	0.308327	0.138814	0.266321	0.007074561	4.866847
1123	1	-3717.036	-3709.21	-7.826359	0.4035205	0.1979187	0.235019	0.230067	0.0171188	0.0435384	0.518615	0.388347	0.319635	0.185984	0.0602833	0.388535	0.411838	0.100099	0.0723109	0.149647	0.26554	0.0347519	0.316345	0.650035	0.2205707	0.0493562	0.00919315	0.501427	0.00836146	0.00995605	0.465994	0.00506901	0.06068383	0.000493994	0.0325834	0.378204	3.58872	0.316389	0.29177	0.137063	0.254778	0.11004	0.5514705
1124	0	-3712.536	-3706.161	-6.374946	0.8480245	0.1904471	0.432023	0.0390082	0.0127057	0.115843	0.161462	0.228946	0.179545	0.907711	0.435616	0.0155974	0.354653	0.222008	0.0278663	0.114363	0.067052	0.266684	0.136681	0.0439628	0.1309343	-0.009086336	0.00976274	0.561869	0.0137298	0.00414467	0.408096	0.00239696	0.078366	0.000375684	0.0284525	0.358269	3.6129	0.297055	0.303239	0.124356	0.275349	0.06927966	1.131154
1125	1	-3732.955	-3720.329	-12.62593	0.3517233	0.1695979	0.725488	0.220935	0.170268	0.217373	0.529669	0.280932	0.333496	0.419412	0.112649	0.226779	0.999	0.0961613	0.0801054	0.232643	0.344021	0.137122	0.472631	0.217796	0.3490834	-0.001294148	0.00998747	0.458595	0.0117446	0.0108163	0.506257	0.00259961	0.002142434	0.000153983	0.0182787	0.29985	3.68172	0.293479	0.320208	0.138289	0.248024	0.0008482855	2.525604
1126	0	-3721.385	-3719.756	-1.628274	0.5213612	0.2160005	0.356688	0.0299748	0.0649479	0.147089	0.171837	0.267082	0.145155	0.451284	0.497609	0.0210755	0.204251	0.499761	0.0890516	0.170707	0.127742	0.0359813	0.0349696	0.000787602	0.1856506	0.05718293	0.0127001	0.56106	0.00977617	0.00686158	0.407509	0.00209291	0.01189058	0.000885809	0.043486	0.424115	3.53151	0.275859	0.303038	0.133209	0.287894	0.06907351	0.1721439
1127	1	-3726.677	-3714.997	-11.67979	0.2597088	0.1780362	0.149421	0.270501	0.137685	0.533755	0.385498	0.239846	0.26151	0.15605	0.0431146	0.226735	0.083704	0.425974	0.448077	0.117012	0.508628	0.047828	0.40743	0.370911	0.1758306	-0.1177478	0.0129566	0.51565	0.0136117	0.0089638	0.445578	0.00324001	0.1913505	0.000226571	0.0221423	0.323965	3.65367	0.28396	0.325102	0.118085	0.272853	0.07360272	2.599775
1128	0	-3715.37	-3710.025	-5.344731	0.9467944	0.1678172	0.171006	0.0773498	0.0347089	0.130659	0.137635	0.225385	0.207414	0.814707	0.105971	0.0610215	1.15114	0.175117	0.168562	0.0260503	0.0264797	0.286783	0.14188	0.0365282	0.2113078	0.03428452	0.00802429	0.564087	0.010114	0.00713869	0.409707	0.000928439	0.03045478	0.000141227	0.0175101	0.294687	3.68766	0.316188	0.299595	0.130372	0.253845	0.06473929	0.4704218
1129	1	-3718.917	-3712.676	-6.241391	0.6137736	0.2122578	0.203228	0.159035	0.0512924	0.205964	0.261484	0.122495	0.225769	0.166808	0.0151837	0.43322	0.239571	0.120976	0.16033	0.0622787	0.254463	0.0803154	0.465358	0.238287	0.1809861	0.02992638	0.0131012	0.521403	0.0077902	0.00486557	0.450549	0.00229141	0.2079178	0.000791407	0.0411327	0.414886	3.54319	0.312371	0.308903	0.133345	0.24538	0.2378442	0.8741766
1130	0	-3714.693	-3707.63	-7.063319	0.9368556	0.2025025	0.224913	0.397375	0.0924769	0.0854076	0.09774	0.245826	0.124922	0.568284	0.199314	0.0290316	0.56287	0.295641	0.0221147	0.0249425	0.351853	0.0585521	0.595312	0.0901535	0.202718	-0.01945958	0.00835116	0.529271	0.00966934	0.00697416	0.444877	0.000857173	0.1151159	0.000578512	0.0352315	0.390158	3.57403	0.291046	0.314824	0.13475	0.25938	0.09565637	1.203432
1131	1	-3716.469	-3710.34	-6.129112	0.7643673	0.1851575	0.26858	0.0676337	0.0371539	0.0563061	0.368467	0.18945	0.231168	0.0840414	0.0292415	0.426285	0.312864	0.0309855	0.119808	0.0736618	0.0784622	0.141608	0.287567	0.925493	0.2597925	-0.1522806	0.0128355	0.523935	0.00934785	0.0108129	0.441412	0.00165729	0.1702808	0.000305372	0.0256756	0.343826	3.63019	0.327203	0.304177	0.125373	0.243247	0.01800025	9.459914
1132	0	-3720.141	-3714.372	-5.769014	0.5736242	0.1515154	0.123176	0.0388672	0.0450886	0.0720524	0.143275	0.27801	0.256676	0.747392	0.0925928	0.0388579	0.345362	1.07442	0.352533	0.0891484	0.0188481	0.389518	0.0133202	0.104556	0.2092539	0.005010709	0.00617587	0.547957	0.00889685	0.0126423	0.424102	0.000225603	0.009660362	5.82057e-05	0.0112682	0.246393	3.74228	0.303876	0.287248	0.128892	0.279985	0.01467107	0.6584633
1133	1	-3721.071	-3712.492	-8.57864	0.6486878	0.1559394	0.450792	0.137974	0.0860434	0.325462	0.373481	0.118814	0.102676	0.228899	0.0255849	0.603832	0.0306426	0.0760384	0.0804375	0.0715442	0.175597	0.253465	0.182797	0.587363	0.12128	-0.04128367	0.00927743	0.494185	0.00900898	0.0136261	0.469882	0.00401983	0.10456	7.54068e-05	0.0128176	0.259659	3.72745	0.315748	0.294974	0.123868	0.26541	0.06327631	1.652435
1134	0	-3725.005	-3711.625	-13.38009	0.7241658	0.1618717	0.378613	1.00943	0.221782	0.112656	0.0675046	0.194933	0.12599	0.887233	0.26341	0.0433451	0.382206	0.256432	0.104802	0.0435904	0.670359	0.11476	0.00751338	0.050285	0.2328705	0.01400666	0.00737627	0.549379	0.00891993	0.00879493	0.425203	0.000327326	0.2182765	0.000104357	0.0150655	0.277273	3.70756	0.273869	0.318373	0.119427	0.288332	0.2322831	0.9397
1135	1	-3711.93	-3707.73	-4.199493	0.636027	0.1612579	0.236522	0.11827	0.0148803	0.0443991	0.207616	0.139388	0.198375	0.262312	0.068545	0.731128	0.274445	0.0848533	0.0544019	0.151468	0.17551	0.0510741	0.200637	0.465909	0.2566267	0.01010233	0.0125012	0.511381	0.00890635	0.00895874	0.456384	0.00186875	0.0520197	0.000101019	0.014824	0.275461	3.70961	0.313524	0.29137	0.141686	0.25342	0.06212203	0.8373793
1136	0	-3728.438	-3718.858	-9.57962	0.87147	0.1920507	0.230776	0.422727	0.290471	0.0533283	0.131051	0.376283	0.295534	0.689606	0.330103	0.0341579	0.249505	0.592989	0.0409251	0.0532635	0.13107	0.111808	0.163907	0.100436	0.2280928	-0.07052487	0.0110906	0.543456	0.0178662	0.00638761	0.420619	0.000579983	0.2102975	0.000399139	0.0293191	0.362594	3.60769	0.277096	0.316149	0.124979	0.281775	0.1397726	1.504569
1137	1	-3713.986	-3709.88	-4.105783	0.6227176	0.2024184	0.148325	0.121624	0.0127674	0.0357111	0.335587	0.18105	0.159852	0.155866	0.059247	0.349959	0.183485	0.154881	0.0914324	0.39923	0.00555039	0.194509	0.350163	0.583513	0.1533814	0.0872332	0.0120492	0.510412	0.0091748	0.0114817	0.455518	0.0013641	0.05040181	0.000576875	0.0351822	0.38994	3.5743	0.304344	0.300411	0.115938	0.279307	0.137635	0.3661991
1138	0	-3709.912	-3708.037	-1.874469	0.6171063	0.1984067	0.113497	0.108353	0.0722703	0.0838766	0.130201	0.45291	0.330996	0.506945	0.119076	0.037363	0.424833	0.524445	0.0377585	0.0599561	0.0935805	0.223376	0.0111175	0.0114396	0.169961	0.04883249	0.00919377	0.547068	0.0117735	0.00643006	0.423414	0.00212028	0.02561904	0.000502546	0.0328614	0.379487	3.58715	0.30072	0.305988	0.123386	0.269907	0.07445152	0.3441036
1139	1	-3709.966	-3705.336	-4.630512	0.620671	0.1967667	0.117725	0.11716	0.0534302	0.0943335	0.309117	0.163062	0.138024	0.0932286	0.058631	0.509869	0.268018	0.150522	0.159529	0.0780101	0.192863	0.0371762	0.699331	0.506366	0.2580554	0.01650778	0.0106606	0.524457	0.00686893	0.0067843	0.449882	0.00134722	0.01674962	0.000474221	0.0319313	0.375167	3.59243	0.310544	0.280684	0.126124	0.282649	0.0332574	0.5036358
1140	0	-3719.795	-3713.052	-6.74339	0.9739306	0.2113911	0.463096	0.0872804	0.0300647	0.13222	0.255847	0.476246	0.441226	0.596477	0.242921	0.0612363	0.230975	0.348388	0.0111042	0.0243933	0.182501	0.320718	0.112308	0.00363075	0.2499399	0.1552518	0.0182719	0.54326	0.00586818	0.0035676	0.420468	0.00856427	0.009127434	0.000770584	0.0405946	0.412728	3.54591	0.288176	0.304031	0.121069	0.286724	0.1643793	0.05552668
1141	1	-3714.906	-3709.396	-5.510036	0.6168068	0.1873459	0.365568	0.132529	0.0460483	0.0898016	0.377215	0.150363	0.156238	0.307418	0.0333107	0.601116	0.0272574	0.148756	0.0560122	0.0450083	0.230992	0.367131	0.110673	0.462164	0.1597323	-0.2256577	0.0183991	0.582477	0.00878657	0.00195665	0.388077	0.000304241	0.2343187	0.00033318	0.0268091	0.349834	3.62302	0.294696	0.315195	0.125645	0.264463	0.008660929	27.05468
1142	0	-3720.334	-3710.625	-9.709022	0.4651771	0.2098359	0.3532	0.110645	0.0722517	0.162628	0.349039	0.436797	0.263666	0.693715	0.224894	0.0578199	0.275793	0.214647	0.164351	0.0716552	0.138617	0.321125	0.224155	0.0600975	0.318635	-0.2680931	0.0174665	0.494475	0.00719835	0.00657835	0.468947	0.0053343	0.2760864	0.000734174	0.0396356	0.408838	3.55079	0.307205	0.316117	0.119229	0.257449	0.007993252	34.53993
1143	1	-3722.526	-3715.762	-6.764108	0.5750845	0.2116835	0.165076	0.109904	0.0146664	0.0193907	0.201897	0.132108	0.152368	0.199311	0.0250023	0.394092	0.404617	0.33274	0.488568	0.315527	0.405937	0.0705593	0.293718	0.561526	0.2174505	0.005780107	0.0169386	0.53624	0.0089289	0.00183777	0.435189	0.000865885	0.04193065	0.000777565	0.0407759	0.413457	3.54499	0.292407	0.283878	0.151797	0.271917	0.04771076	0.8788511
1144	0	-3720.711	-3713.829	-6.882816	0.6002354	0.2168444	0.453566	0.405573	0.0975779	0.0871418	0.119528	0.27197	0.20045	0.331131	0.0854832	0.0415625	0.188104	0.151655	0.43692	0.0402889	0.108556	0.141586	0.648596	0.255827	0.2550829	0.03547021	0.0160794	0.530763	0.00653301	0.000420046	0.441971	0.00423367	0.06412701	0.000908114	0.0440229	0.426176	3.52889	0.297042	0.297613	0.132709	0.272637	0.09959723	0.6438634
1145	1	-3716.479	-3714.744	-1.734219	0.7078957	0.1744733	0.292205	0.100588	0.0153905	0.0550551	0.378366	0.0749496	0.207105	0.153444	0.0535138	0.578928	0.171265	0.134603	0.0623881	0.0999458	0.134197	0.195896	0.159372	0.421367	0.186122	-0.06211644	0.0168656	0.533928	0.00889041	0.00496409	0.433313	0.00203869	0.08346891	0.00019336	0.0204671	0.313857	3.66548	0.316652	0.281818	0.122811	0.278719	0.02135247	3.909099
1146	0	-3714.522	-3712.56	-1.962576	0.6405504	0.2221891	0.141626	0.0310946	0.0170179	0.110929	0.14165	0.274224	0.130327	0.31931	0.0373249	0.066966	0.548294	0.127239	0.109437	0.160681	0.173864	0.15527	0.175702	0.411847	0.1723846	-0.03115977	0.0158678	0.539034	0.00644704	0.000274266	0.436155	0.00222196	0.1229825	0.00105837	0.0474765	0.439061	3.5124	0.319535	0.312492	0.117773	0.2502	0.09182269	1.339347
1147	1	-3715.762	-3715.552	-0.2100184	0.6724904	0.1801366	0.248153	0.0925373	0.0129271	0.0842104	0.268026	0.140543	0.216943	0.050924	0.0380119	0.396855	0.011301	0.0729147	0.068673	0.0666671	0.228306	0.116655	0.536858	0.303014	0.1730672	0.06393119	0.0117575	0.574246	0.00662074	0.00390945	0.399354	0.00411304	0.04569937	0.00024803	0.0231592	0.329871	3.64672	0.303506	0.294063	0.139734	0.262696	0.1096306	0.4168489
1148	0	-3716.377	-3707.814	-8.563496	0.7942552	0.1793287	0.327427	0.253471	0.0698486	0.0859745	0.129929	0.750237	0.449378	0.502759	0.207234	0.0197361	0.0961514	0.832606	0.0795757	0.0286218	0.0941164	0.0866953	0.500636	0.184696	0.3053665	0.00249549	0.0157595	0.535355	0.0117723	0.000674857	0.433178	0.00325973	0.002802235	0.000239606	0.0227655	0.327604	3.64939	0.292778	0.30945	0.124152	0.27362	0.005297725	0.5289506
1149	1	-3712.263	-3708.342	-3.921374	0.7052352	0.2215766	0.352171	0.130191	0.0250504	0.0387756	0.429252	0.19676	0.508688	0.163807	0.0244508	0.333106	0.122655	0.0799067	0.0423364	0.11159	0.114386	0.155114	0.204216	0.612154	0.1959428	-0.07315661	0.0102288	0.574212	0.00819144	0.00826349	0.395599	0.00350546	0.1007873	0.00104035	0.0470763	0.437599	3.51428	0.28205	0.310259	0.133452	0.27424	0.02763065	3.647662
1150	0	-3719.487	-3710.551	-8.935979	0.4608627	0.1826304	0.146524	0.640527	0.122166	0.193438	0.284621	0.481637	0.358542	0.454321	0.115039	0.0812862	0.332102	0.577169	0.0930917	0.0747192	0.181115	0.270959	0.0556032	0.0418775	0.2409453	0.0823958	0.00704822	0.506441	0.011426	0.00227505	0.459399	0.0134115	0.07057985	0.000275417	0.0243941	0.336831	3.6385	0.308536	0.298763	0.124715	0.267987	0.1529756	0.4613796
1151	1	-3721.471	-3712.704	-8.766821	0.4819457	0.1882184	0.131734	0.300307	0.0873906	0.105668	0.480778	0.295868	0.276147	0.103001	0.0586966	0.479055	0.397468	0.0916814	0.0356283	0.196091	0.226079	0.0698381	0.436029	0.35523	0.1799612	-0.0545355	0.0135808	0.5188	0.00534	0.00657793	0.447862	0.00783987	0.2093967	0.000344766	0.0272671	0.352217	3.62017	0.292273	0.300439	0.131883	0.275405	0.1548612	1.352157
1152	0	-3718.012	-3705.338	-12.6736	0.4011208	0.1852659	0.162829	0.0825922	0.0206117	0.200933	0.384769	0.826305	0.456954	0.561496	0.0905458	0.0406603	0.663904	0.723835	0.226189	0.101223	0.138095	0.645285	0.0038813	0.048518	0.2226624	0.1562916	0.0086062	0.506853	0.0121699	0.00793515	0.459773	0.00466282	0.02365308	0.000306708	0.0257312	0.344124	3.62984	0.31375	0.299671	0.13417	0.25241	0.1799447	0.1314464
1153	1	-3723.037	-3710.949	-12.08796	0.4440359	0.2007713	0.102013	0.225756	0.0705204	0.185455	0.365603	0.277523	0.205586	0.0898079	0.086755	0.538009	0.207793	0.473355	0.138069	0.096935	0.178552	0.618885	0.328442	0.279284	0.2632115	0.262881	0.0132879	0.512304	0.00574677	0.00177454	0.459145	0.00774171	0.1369883	0.000545477	0.0342216	0.385668	3.57956	0.311746	0.310738	0.119344	0.258172	0.3998693	0.3425826
1154	0	-3718.971	-3710.884	-8.086728	0.655265	0.1940716	0.339497	0.0667221	0.0472732	0.116155	0.205023	0.597642	0.44374	0.538174	0.175706	0.0442592	0.231422	0.417229	0.00858299	0.0565783	0.140791	0.066366	0.00773856	0.242758	0.1327527	-0.1922372	0.0138533	0.501453	0.00946564	0.0145529	0.454874	0.00580097	0.2705532	0.000430179	0.0304269	0.368009	3.60113	0.313399	0.304007	0.127743	0.254852	0.07831597	3.454637
1155	1	-3723.398	-3710.61	-12.78712	0.3047648	0.161153	0.342521	0.267585	0.188776	0.732823	0.623034	0.309101	0.425385	0.0837123	0.0770582	0.592513	0.234564	0.219539	0.26042	0.0844494	0.369077	0.127483	0.290732	0.255282	0.3272256	-0.05913454	0.0105841	0.541808	0.00622497	0.00168141	0.434179	0.00552285	0.1124975	0.000100457	0.0147829	0.275151	3.70997	0.271187	0.347359	0.12583	0.255623	0.05336293	2.108158
1156	0	-3722.668	-3713.153	-9.515438	0.9020455	0.1970366	0.280667	0.148231	0.0553974	0.0582764	0.0674832	0.164142	0.131778	0.617767	0.294568	0.0204849	0.289772	0.446323	0.331112	0.0508274	0.0221359	0.0415907	0.194613	0.0409561	0.3489436	0.2543655	0.0116103	0.503959	0.00951295	0.0141903	0.457148	0.00357925	0.06301701	0.000478802	0.0320836	0.37588	3.59156	0.281954	0.297841	0.121833	0.298373	0.3173825	0.1985522
1157	1	-3727.113	-3714.08	-13.03205	0.3198671	0.2023884	0.671431	0.241353	0.187031	0.211804	0.673276	0.276114	0.429933	0.0399764	0.129297	0.322631	0.277785	0.64804	0.356618	0.0473439	0.327886	0.52897	0.127613	0.206511	0.331557	0.06779899	0.0136581	0.529645	0.00894646	0.00257383	0.438589	0.00658759	0.02385883	0.000576294	0.0351647	0.389863	3.5744	0.30105	0.310872	0.117118	0.27096	0.09165783	0.2603033
1158	0	-3709.494	-3710.616	1.121655	0.9638887	0.1656674	0.240593	0.0828211	0.0337256	0.0813623	0.0877848	0.161204	0.118128	0.596221	0.240424	0.0359394	0.34524	0.320993	0.0565617	0.0473709	0.0668127	0.0958056	0.0936057	0.131155	0.126191	-0.0503869	0.011161	0.523388	0.0107689	0.00752986	0.445368	0.00178417	0.06970032	0.00012691	0.0166044	0.28842	3.69485	0.300421	0.293711	0.141902	0.263966	0.01931342	3.608907
1159	1	-3719.214	-3705.592	-13.6218	0.4123634	0.1739901	0.344167	0.152603	0.131146	0.222673	0.363241	0.200335	0.270344	0.359656	0.0897357	0.723338	0.558656	0.344762	0.260289	0.0941986	0.281313	0.730694	0.0281099	0.174764	0.2658381	0.08686907	0.0131615	0.546836	0.0059522	0.00248025	0.422642	0.00892747	0.1422145	0.000189153	0.0202448	0.312478	3.66709	0.298531	0.301158	0.133499	0.266812	0.2290836	0.6207975
1160	0	-3712.33	-3709.217	-3.113242	0.8296176	0.186399	0.331181	0.0229508	0.025828	0.085992	0.128885	0.180096	0.188914	0.815364	0.351238	0.0364988	0.39368	0.565594	0.152307	0.0396501	0.0579748	0.0171056	0.166825	0.0520632	0.200877	0.04725847	0.00778629	0.526694	0.00831392	0.00797627	0.447346	0.00188372	0.005550791	0.00032093	0.0263159	0.34724	3.62612	0.295098	0.313677	0.113185	0.27804	0.05280926	0.1051102
1161	1	-3722.976	-3710.506	-12.46909	0.4286284	0.1601853	0.215704	0.151696	0.0185852	0.0452888	0.606743	0.25984	0.555785	0.168126	0.0766059	0.719047	0.301281	0.142481	0.248031	0.433702	0.103464	0.36038	0.202195	0.685313	0.2012674	-0.1209462	0.0109023	0.630611	0.00831262	0.00562946	0.334566	0.00997855	0.1484891	9.53838e-05	0.0144069	0.272289	3.71321	0.291841	0.298569	0.128474	0.281116	0.0275429	5.391194
1162	0	-3722.745	-3715.039	-7.705932	0.8526464	0.1931425	0.584406	0.0475592	0.0298181	0.0777717	0.120754	0.265418	0.285557	0.59738	0.593408	0.00406601	0.160033	0.482594	0.0870956	0.0509663	0.034208	0.622995	0.215309	0.247944	0.1780032	0.002971398	0.00748082	0.515973	0.00913536	0.0237136	0.43824	0.00545739	0.01226422	0.0004157	0.0299154	0.365525	3.60414	0.279536	0.293146	0.128371	0.298947	0.01523562	0.8049704
1163	1	-3714.1	-3704.548	-9.552527	0.3859479	0.1810173	0.237172	0.200332	0.0492948	0.0606042	0.228069	0.179257	0.201678	0.116582	0.0416589	0.686477	0.329493	0.248748	0.453518	0.15575	0.535229	0.505511	0.0414863	0.372921	0.2438126	-0.216865	0.0121726	0.535086	0.00477963	0.00997641	0.429637	0.00834925	0.2196528	0.000257461	0.0235919	0.332336	3.64381	0.282559	0.310249	0.12761	0.279582	0.002787784	78.79118
1164	0	-3718.346	-3712.371	-5.974639	0.8869272	0.1993551	0.215766	0.0850424	0.0269765	0.107973	0.125469	0.245033	0.163404	0.756083	0.154052	0.00272633	0.327159	0.333666	0.0821814	0.0354594	0.0536572	0.0393558	0.178025	0.3509	0.1534724	-0.341087	0.0126784	0.579234	0.0101818	0.0191171	0.376138	0.00265032	0.4197938	0.000519465	0.0334042	0.381973	3.5841	0.295215	0.318308	0.111383	0.275094	0.07870679	5.333641
1165	1	-3715.831	-3712.245	-3.586586	0.4614019	0.2246837	0.158677	0.137872	0.10534	0.21369	0.32053	0.16357	0.203778	0.107307	0.0797425	0.415852	0.581469	0.167095	0.238105	0.0938695	0.202406	0.0318721	0.143381	0.239266	0.2150038	-0.09488109	0.00953279	0.49871	0.00510041	0.0151725	0.465674	0.00581038	0.09699862	0.00113393	0.0491182	0.444975	3.50477	0.311269	0.281749	0.126825	0.280157	0.002117527	45.8075
1166	0	-3722.653	-3717.584	-5.068976	0.968258	0.2100974	0.655707	0.0329091	0.0458644	0.0766853	0.102102	0.242525	0.116816	0.455935	0.768424	0.0383086	0.0832677	0.33341	0.000490842	0.0729827	0.102614	0.230653	0.16169	0.247128	0.1808505	0.1624574	0.0104725	0.581426	0.012439	0.0190339	0.374502	0.00212687	0.004273079	0.000740211	0.0397962	0.409494	3.54997	0.300556	0.313069	0.116738	0.269637	0.1667305	0.02562865
1167	1	-3718.417	-3711.541	-6.875655	0.481811	0.1705711	0.107035	0.128566	0.115617	0.154496	0.417954	0.207183	0.121407	0.150869	0.0713762	0.539251	0.397948	0.450705	0.0558174	0.0865654	0.105545	0.162011	0.614684	0.414514	0.2391038	0.04435897	0.010077	0.527181	0.00409142	0.0159455	0.436563	0.00614209	0.02234601	0.000161312	0.0187058	0.302662	3.67847	0.305187	0.298999	0.130518	0.265296	0.06670499	0.3349977
1168	0	-3719.578	-3712.156	-7.422052	0.9162757	0.1854079	0.217276	0.040241	0.0310304	0.100087	0.143216	0.467704	0.239776	0.725142	0.143776	0.0397649	0.304221	0.321099	0.000404049	0.0762653	0.0302764	0.0512444	0.0389064	0.0201492	0.3293158	-0.09321817	0.0114314	0.450367	0.0115766	0.0112878	0.514687	0.000650425	0.2139666	0.000308464	0.0258041	0.344515	3.62937	0.311542	0.278306	0.145707	0.264445	0.1207484	1.772003
1169	1	-3733.632	-3716.712	-16.91945	0.5109092	0.1781994	0.291199	0.138697	0.0734092	0.108264	0.502478	0.446663	0.430491	0.375591	0.0841899	0.737619	0.00410565	0.245823	0.0619212	0.0720488	0.0454135	0.0855291	0.324733	0.31652	0.1499347	-0.8081504	0.00932349	0.492804	0.00713832	0.0173134	0.467704	0.00571658	0.8958314	0.000228187	0.0222206	0.324425	3.65313	0.2823	0.319885	0.135472	0.262342	0.087681	10.21694
1170	0	-3731.064	-3731.989	0.924985	0.8541179	0.1996289	0.158023	0.100523	0.0713204	0.0994764	0.0558288	0.128736	0.128689	0.608767	0.177086	0.0757824	0.860914	0.0968266	0.0118605	0.127054	0.0308983	0.147441	0.000861353	0.0805543	0.1903828	0.007304367	0.00878901	0.549472	0.00755094	0.0165133	0.417484	0.00019098	0.0001228614	0.000524424	0.0335617	0.382689	3.58323	0.304888	0.284388	0.143481	0.267243	0.007427229	0.01654202
1171	1	-3723.998	-3715.56	-8.438157	0.3106748	0.2091955	0.181665	0.224885	0.0655974	0.104147	0.414139	0.294624	0.208848	0.191033	0.0736909	0.497932	0.425196	0.281896	0.0778518	0.411037	0.208155	0.00342482	0.322317	0.338987	0.1849158	0.09018871	0.0108629	0.512235	0.0139172	0.0179961	0.439047	0.00594199	0.0693559	0.000719535	0.0392431	0.407228	3.55281	0.291779	0.296598	0.131089	0.280534	0.1595446	0.4347116
1172	0	-3722.316	-3716.376	-5.939993	0.9033295	0.192853	0.251936	0.0286128	0.0232031	0.0729908	0.08163	0.147242	0.0816408	0.484902	0.457559	0.0468891	0.330878	0.433983	0.308279	0.0578748	0.150829	0.18509	0.088639	0.186356	0.1274568	-0.2779264	0.00182731	0.557849	0.0212491	0.00997938	0.408894	0.000200943	0.2911094	0.000411261	0.0297568	0.364749	3.60508	0.28452	0.312305	0.13154	0.271635	0.01318297	22.08224
1173	1	-3716.616	-3714.429	-2.1872	0.6521415	0.1748668	0.11252	0.128989	0.0218095	0.0948822	0.323108	0.100347	0.411718	0.13459	0.0481476	0.416684	0.244005	0.141195	0.231953	0.0760629	0.0186477	0.123944	0.296188	0.177102	0.2088717	-0.1696885	0.00874638	0.520631	0.00793746	0.00909818	0.446243	0.00734479	0.1821494	0.000196837	0.020649	0.314978	3.66418	0.315276	0.288884	0.148356	0.247484	0.01246092	14.61765
1174	0	-3723.731	-3716.535	-7.195805	0.7504431	0.1461918	0.26617	0.159909	0.0376413	0.0865137	0.106944	0.267168	0.191708	0.897102	0.368593	0.0161073	0.379669	0.455161	0.184289	0.0308225	0.106383	0.152697	0.0830918	0.106049	0.1917619	0.008096863	0.00163953	0.528874	0.0143577	0.00855916	0.446269	0.000300147	0.1608734	4.17457e-05	0.00954981	0.230311	3.7601	0.29082	0.310039	0.137957	0.261184	0.1689702	0.9520811
