Iteration	Posterior	Likelihood	Prior	age_ursinae	alpha_cytb	branch_rates[1]	branch_rates[2]	branch_rates[3]	branch_rates[4]	branch_rates[5]	branch_rates[6]	branch_rates[7]	branch_rates[8]	branch_rates[9]	branch_rates[10]	branch_rates[11]	branch_rates[12]	branch_rates[13]	branch_rates[14]	branch_rates[15]	branch_rates[16]	branch_rates[17]	branch_rates[18]	branch_rates[19]	branch_rates[20]	branch_rates[21]	branch_rates[22]	branch_rates[23]	branch_rates[24]	branch_rates[25]	branch_rates[26]	branch_rates[27]	branch_rates[28]	branch_rates[29]	branch_rates[30]	branch_rates[31]	branch_rates[32]	branch_rates[33]	branch_rates[34]	branch_rates[35]	branch_rates[36]	branch_rates[37]	branch_rates[38]	branch_rates[39]	branch_rates[40]	branch_rates[41]	branch_rates[42]	branch_rates_mean	diversification	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	extant_mrca	extinction_rate	num_samp_anc	origin_time	psi	rates_cytb[1]	rates_cytb[2]	rates_cytb[3]	rates_cytb[4]	sf[1]	sf[2]	sf[3]	sf[4]	speciation_rate	turnover
100	-3763.669	-3716.869	-46.79984	4.215734	0.1834203	0.0148386	0.00130044	0.00286572	0.0503733	0.00753777	0.0175102	0.030067	0.00617788	0.0372588	0.000231029	0.00470229	0.0401679	0.023482	0.0150299	0.0417724	0.036549	0.0559245	0.00854537	0.00635617	0.0489294	0.0219087	0.00148855	0.0391461	0.0544968	0.00598687	0.109198	0.0214682	0.0194069	0.0110644	0.0107466	0.020372	0.0229183	0.0221463	0.00143617	0.0203842	0.00381949	0.0326116	0.0421306	0.0144342	0.0118866	0.00618867	0.00112494	0.02252128	-0.03261917	0.0063223	0.476496	0.0038209	0.00271919	0.490255	0.0203861	12.18404	0.1602509	8	39.35859	0.3167332	0.000284536	0.0247914	0.339024	3.6359	0.310669	0.307747	0.140639	0.240945	0.1276317	1.255573
110	-3757.933	-3712.077	-45.85603	4.686274	0.177254	0.0164235	0.00202593	0.00271444	0.0551208	0.00434418	0.0179621	0.0186985	0.00464907	0.0415019	0.000178995	0.00531515	0.0236001	0.0307956	0.0189391	0.0263575	0.0637609	0.0566632	0.00271289	0.00760738	0.0363855	0.0188597	0.00182444	0.0140947	0.042604	0.0116692	0.195469	0.00872205	0.0303735	0.0656731	0.00363196	0.0189807	0.015287	0.0195816	0.00264678	0.0305393	0.00238929	0.0125397	0.0349273	0.0060775	0.021587	0.0013348	0.00165603	0.02411185	0.07934382	0.011117	0.526078	0.00368702	0.00270292	0.445071	0.0113437	10.51767	0.09585228	8	37.44023	0.4543802	0.000218941	0.0217691	0.321755	3.65626	0.29233	0.309253	0.136114	0.262303	0.1751961	0.5471142
120	-3757.489	-3711.144	-46.34477	5.370828	0.1770294	0.00424429	0.00378809	0.00214319	0.0233495	0.00272801	0.0136896	0.0310864	0.00805056	0.0200649	0.00932357	0.00791429	0.021572	0.0310325	0.0177464	0.0185503	0.0379135	0.0375925	0.00438438	0.00450213	0.023972	0.0260221	0.00110414	0.00585557	0.0116764	0.0168255	0.0857278	0.0164103	0.0130486	0.00199087	0.00831575	0.0231409	0.0489068	0.0146646	0.00762753	0.0300946	0.00514954	0.0306716	0.0273743	0.00541342	0.0307148	0.00061345	0.00120249	0.02368302	0.1073931	0.00899821	0.525944	0.00357127	0.00270223	0.444958	0.0138272	12.29145	0.1048162	6	37.58197	0.3792217	0.000216787	0.0216625	0.32112	3.657	0.326942	0.306105	0.128235	0.238718	0.2122093	0.4939284
130	-3755.451	-3706.553	-48.89827	6.583469	0.1741215	0.00566278	0.00347781	0.00252808	0.0442459	0.0016746	0.015357	0.0211643	0.00800695	0.0316121	0.00591681	0.0134178	0.0291624	0.0380464	0.010647	0.0107508	0.0325154	0.0690192	0.00630739	0.00138185	0.0208697	0.0573013	0.00126862	0.0460391	0.0121489	0.011759	0.0831633	0.00369467	0.0266491	0.00579754	0.00307724	0.039317	0.0289752	0.00810167	0.0873468	0.0213375	0.00503021	0.0328368	0.0735136	0.0108154	0.0208164	0.0589208	0.00055364	0.02483131	0.1225493	0.00750989	0.553879	0.00434725	0.00254283	0.41871	0.0130115	11.21446	0.1053553	7	39.24704	0.4316876	0.00019029	0.0203051	0.312853	3.66665	0.303636	0.304176	0.118663	0.273525	0.2279047	0.4622781
140	-3765.014	-3716.241	-48.77309	5.325994	0.1655665	0.00747308	0.00513711	0.0067658	0.0388459	0.00194008	0.0116598	0.0248117	0.0140406	0.0285488	0.0260718	0.0131243	0.030164	0.0308702	0.0115494	0.00530065	0.0214802	0.0717803	0.00447153	0.00122595	0.0230895	0.0417711	0.00371914	0.0939717	0.0301431	0.0160208	0.0571922	0.00448351	0.0261717	0.00209115	0.0153844	0.0395312	0.00380489	0.00847263	0.00541146	0.0487228	0.0117373	0.0268412	0.042657	0.0229066	0.0156316	0.0536547	0.000844251	0.02090879	0.138386	0.00714515	0.474363	0.0141403	0.003745	0.490855	0.00975162	12.29179	0.1483673	7	37.7585	0.2785393	0.000126267	0.0165625	0.288125	3.69519	0.306465	0.313768	0.115512	0.264255	0.2867533	0.5174041
150	-3756.144	-3708.919	-47.22528	5.649522	0.167295	0.00899706	0.00401849	0.00448973	0.0379046	0.000581995	0.0172991	0.0277403	0.0139745	0.0272076	0.101154	0.0163262	0.0198939	0.0201777	0.0114128	0.0099113	0.0216317	0.0652127	0.00117504	0.000653081	0.0296372	0.0391374	0.00405575	0.149146	0.0251389	0.0144804	0.0610957	0.0167902	0.0237829	0.00355105	0.00573157	0.0404904	0.0196884	0.00930063	0.027899	0.0465959	0.00556275	0.00376784	0.0169396	0.00985694	0.00665379	0.0173929	0.00121796	0.02199132	0.08309003	0.00645476	0.585245	0.00739042	0.0046204	0.390463	0.00582625	10.79002	0.1179515	7	38.40595	0.4019756	0.000137643	0.0172879	0.293168	3.68941	0.284674	0.320153	0.12098	0.274192	0.2010415	0.5867021
160	-3757.279	-3713.6	-43.67955	5.96524	0.1618799	0.00633174	0.00642398	0.00542321	0.0319294	0.000358118	0.00851576	0.0310802	0.0117545	0.0414829	0.0361375	0.0121249	0.0156641	0.0272078	0.0114576	0.0071541	0.0279741	0.0280909	0.00112725	0.000374655	0.026031	0.085819	0.00194282	0.0548164	0.0027594	0.00278971	0.0399544	0.00461283	0.0222125	0.00430609	0.00810571	0.0297231	0.00532888	0.010536	0.00378996	0.062532	0.0190033	0.0183665	0.0124526	0.00365264	0.0101586	0.0419092	0.000255191	0.02664184	0.06860882	0.00584643	0.581802	0.0079988	0.00858908	0.388165	0.00759867	15.47268	0.09146317	7	37.65903	0.2591137	0.000104402	0.0150688	0.277297	3.70753	0.284806	0.318956	0.121683	0.274556	0.160072	0.5713877
170	-3750.144	-3712.936	-37.20771	5.50386	0.1533054	0.00907264	0.00859379	0.00934951	0.0522762	0.00114758	0.0155505	0.0328501	0.0126373	0.0408585	0.0191556	0.015461	0.0299736	0.0481222	0.00967494	0.0119445	0.0158094	0.0108232	0.00116371	0.000515117	0.0235058	0.0210569	0.0024956	0.0201291	0.0324653	0.00485726	0.0605592	0.00760063	0.0365581	0.00888131	0.00807472	0.0235537	0.0154041	0.0101748	0.0165204	0.0197503	0.0224965	0.00790646	0.0162404	0.00378527	0.0235934	0.0252416	0.000493158	0.02272336	0.08495715	0.0070326	0.591379	0.00503511	0.0101528	0.377407	0.00899298	13.64808	0.1057166	7	37.20569	0.3489196	6.47507e-05	0.0118819	0.251772	3.73628	0.28946	0.322857	0.10864	0.279043	0.1906738	0.5544372
180	-3743.25	-3706.052	-37.19882	5.449969	0.2057675	0.0050582	0.00689925	0.00849931	0.029334	0.00155327	0.0121148	0.020147	0.00622023	0.0223213	0.0158929	0.0188286	0.0146597	0.0214897	0.00556685	0.011059	0.0121575	0.0354012	0.000915097	0.0029694	0.0217661	0.00957327	0.00206335	0.00728666	0.0105718	0.0141338	0.0866758	0.0474751	0.0136661	0.0370311	0.0101029	0.0310653	0.0189895	0.00675237	0.0128366	0.0211133	0.00604271	0.0130942	0.00146682	0.00747755	0.0326475	0.0221415	0.000391847	0.01541679	0.04667205	0.00745309	0.550928	0.006088	0.00867229	0.417019	0.00983887	11.08888	0.1251261	6	39.65123	0.3746348	0.000644615	0.0371676	0.398542	3.56365	0.296663	0.30727	0.128123	0.267944	0.1717981	0.7283321
190	-3757.202	-3710.523	-46.67897	6.640107	0.1794322	0.00502029	0.00516421	0.0107249	0.0212203	0.000771206	0.0155902	0.0207721	0.00359411	0.0234943	0.0149084	0.0188737	0.0213075	0.0266404	0.00516899	0.0161562	0.00455714	0.0251972	0.000444235	0.000589275	0.019391	0.0122141	0.00204249	0.0106789	0.0185645	0.00457813	0.0670902	0.00614781	0.0232896	0.0117592	0.00536107	0.0292863	0.0273734	0.0348149	0.0211208	0.0348567	0.0119665	0.00890704	0.0225335	0.00895217	0.0241168	0.0144401	0.000364384	0.0157436	0.05692686	0.00820391	0.640016	0.0104064	0.00913243	0.327416	0.0048252	10.97742	0.1269086	6	40.09826	0.3421422	0.000240673	0.0228158	0.327895	3.64905	0.278428	0.317307	0.118052	0.286213	0.1838355	0.690338
200	-3759.821	-3709.951	-49.86999	5.32212	0.1824343	0.00406935	0.00729559	0.0116205	0.03908	0.00124934	0.0131961	0.0263193	0.00742741	0.0441493	0.0389009	0.0164094	0.0217469	0.0257745	0.0176148	0.0197571	0.00141712	0.0165563	0.000370421	0.00143511	0.0175483	0.0129066	0.0845846	0.0544455	0.0210632	0.0142989	0.0555609	0.0183544	0.00599537	0.00777191	0.0135416	0.0142614	0.0260157	0.0125371	0.0149247	0.0257655	0.0344928	0.033124	0.00338066	0.021285	0.0268397	0.0182183	0.00485293	0.02268191	0.00884366	0.00917193	0.624002	0.00836751	0.00600623	0.347334	0.00511873	14.29544	0.1896988	6	38.98289	0.2973785	0.000273186	0.0242959	0.336286	3.63914	0.285666	0.312799	0.119387	0.282147	0.1985425	0.9554571
