Iteration	Posterior	Likelihood	Prior	age_ursinae	alpha_cytb	branch_rates	diversification	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	extinction_rate	rates_cytb[1]	rates_cytb[2]	rates_cytb[3]	rates_cytb[4]	sf[1]	sf[2]	sf[3]	sf[4]	speciation_rate	turnover
2680	-3742.462	-3720.441	-22.02075	0.2553193	0.2371762	0.2601073	0.8528768	0.0169629	0.544537	0.0113695	0.00213617	0.423563	0.00143164	0.04458868	0.00156701	0.0575981	0.473651	3.46718	0.299135	0.294759	0.146084	0.260021	0.8974655	0.04968289
2690	-3739.349	-3722.32	-17.02859	0.2563397	0.1877268	0.2631744	0.2678459	0.0184654	0.472998	0.00888232	0.0022543	0.491625	0.00577441	0.04671148	0.000338202	0.0270086	0.350875	3.62178	0.299393	0.292343	0.135551	0.272713	0.3145574	0.1484991
2700	-3738.676	-3721.793	-16.88266	0.2604102	0.1976998	0.2935228	-0.05944265	0.0082552	0.529377	0.00801798	0.00461083	0.443785	0.00595365	0.1828059	0.000490193	0.0324591	0.377628	3.58942	0.291484	0.307373	0.128927	0.272216	0.1233632	1.481851
2710	-3742.709	-3726.744	-15.96522	0.2663627	0.2062735	0.2746187	0.195307	0.00881255	0.565118	0.00855931	0.00200713	0.411893	0.00361036	0.01035414	0.000655314	0.0374713	0.399832	3.56204	0.285848	0.334404	0.125347	0.254401	0.2056612	0.0503456
2720	-3743.822	-3728.089	-15.73274	0.2252522	0.1614122	0.3439942	-0.04987234	0.0087974	0.564146	0.00714313	0.00430986	0.411185	0.0044179	0.08170632	0.000101851	0.0148845	0.275917	3.7091	0.288645	0.317573	0.13132	0.262462	0.03183399	2.566638
2730	-3736.52	-3721.514	-15.0067	0.2304887	0.169826	0.2801375	-0.0690577	0.0173348	0.487733	0.00530946	0.00871615	0.476499	0.00440777	0.08471608	0.000155678	0.0183784	0.30051	3.68096	0.314834	0.287126	0.14624	0.2518	0.01565837	5.410273
2740	-3736.059	-3721.277	-14.7812	0.2695753	0.2234239	0.23337	-0.007779404	0.0156512	0.531928	0.0086449	0.00706733	0.430222	0.00648695	0.06553544	0.00109533	0.0482868	0.441996	3.50862	0.30589	0.294088	0.135946	0.264076	0.05775604	1.134694
2750	-3741.838	-3726.585	-15.25344	0.2533431	0.1861678	0.3083017	0.07847455	0.0144613	0.529995	0.00858629	0.00568988	0.428659	0.012609	0.007696302	0.000317991	0.0261962	0.346605	3.62688	0.281501	0.299964	0.135101	0.283434	0.08617085	0.08931445
2760	-3740.984	-3725.235	-15.7493	0.2706572	0.1838839	0.2784948	0.1580142	0.0188218	0.532567	0.00586229	0.00740917	0.431823	0.00351651	0.01544193	0.000289992	0.025026	0.340308	3.63438	0.306983	0.272958	0.149897	0.270163	0.1734562	0.08902495
2770	-3741.408	-3722.465	-18.94347	0.276262	0.2245344	0.2624921	-0.0230112	0.0216073	0.497455	0.00586207	0.00948614	0.46439	0.00119926	0.2943882	0.00112931	0.0490195	0.444623	3.50523	0.29239	0.308525	0.142353	0.256732	0.271377	1.084794
2780	-3738.876	-3723.48	-15.39652	0.2837677	0.240157	0.2432556	-0.03428361	0.0135024	0.497773	0.00733126	0.0148807	0.463514	0.00299901	0.1083301	0.00168433	0.0596794	0.480263	3.45837	0.288241	0.301869	0.150593	0.259297	0.07404648	1.463001
2790	-3743.421	-3726.211	-17.21035	0.2544686	0.1866784	0.3012006	0.1951753	0.00550443	0.629121	0.0110872	0.0140965	0.337048	0.00314278	0.07324192	0.00032451	0.026461	0.348006	3.62521	0.282412	0.305937	0.130899	0.280752	0.2684173	0.2728659
2800	-3737.208	-3721.564	-15.64382	0.2624504	0.204648	0.282759	-0.1133772	0.0128091	0.49263	0.00798128	0.0148711	0.462794	0.00891501	0.1429614	0.000621381	0.0364992	0.395679	3.5672	0.291671	0.313047	0.132947	0.262335	0.02958419	4.832358
2810	-3739.022	-3723.77	-15.25221	0.2565319	0.1982515	0.2797948	0.1221787	0.0100847	0.540694	0.0103593	0.0133194	0.414503	0.0110396	0.004213381	0.000499816	0.0327729	0.379079	3.58765	0.294255	0.305901	0.1505	0.249344	0.126392	0.03333581
2820	-3737.266	-3721.882	-15.38331	0.2603179	0.1752007	0.2755329	-0.1511374	0.00764206	0.542522	0.00827392	0.0142582	0.415905	0.0113981	0.1512708	0.000199824	0.020804	0.315929	3.66307	0.29921	0.31637	0.123497	0.260923	0.0001333838	1134.101
2830	-3741.574	-3723.726	-17.84795	0.263467	0.2325299	0.2408413	0.05324011	0.0180022	0.542346	0.00455042	0.0116944	0.41577	0.00763717	0.2118431	0.00139505	0.0543965	0.463168	3.48104	0.307334	0.287617	0.127487	0.277562	0.2650832	0.799157
2840	-3739.249	-3722.247	-17.00185	0.2543413	0.213025	0.2596537	0.2324698	0.0129897	0.508725	0.0109593	0.00610852	0.451921	0.00929659	0.06347647	0.000810163	0.0416113	0.416789	3.54079	0.290277	0.32506	0.127487	0.257177	0.2959463	0.2144865
2850	-3743.604	-3726.486	-17.11767	0.2535378	0.181354	0.2581112	0.05584002	0.0105934	0.506645	0.0109145	0.00658757	0.458849	0.0064101	0.1625202	0.000261136	0.0237584	0.333276	3.6427	0.277006	0.308481	0.132268	0.282245	0.2183602	0.7442757
2860	-3739.958	-3724.833	-15.12418	0.2721317	0.215271	0.2560147	-0.07106031	0.010575	0.505766	0.0130943	0.0044561	0.458053	0.0080556	0.1053802	0.000866832	0.0430236	0.422327	3.53378	0.321541	0.279838	0.142764	0.255857	0.03431989	3.070528
2870	-3737.505	-3720.191	-17.31357	0.242923	0.1868975	0.2799497	0.1125284	0.00951038	0.510773	0.00719155	0.00630757	0.462587	0.00362994	0.1277131	0.000327338	0.0265751	0.348606	3.62449	0.307307	0.290646	0.130144	0.271903	0.2402415	0.5316032
2880	-3737.591	-3719.54	-18.05189	0.2699926	0.209969	0.2514845	-0.3780082	0.0120305	0.503832	0.00909723	0.00879923	0.458361	0.0078802	0.4323393	0.000737241	0.0397173	0.409171	3.55037	0.283362	0.30263	0.136557	0.27745	0.05433112	7.957489
2890	-3735.798	-3720.323	-15.47522	0.249867	0.1862886	0.2910501	-0.132963	0.0112574	0.541981	0.00762805	0.00886784	0.428905	0.00136025	0.1375921	0.000319525	0.0262587	0.346937	3.62648	0.291467	0.303318	0.125165	0.28005	0.004629106	29.72326
2900	-3737.815	-3721.469	-16.34557	0.2665508	0.1664488	0.2693789	-0.03923629	0.0099769	0.572343	0.00682101	0.00842635	0.399149	0.00328448	0.1535257	0.00013198	0.0169308	0.290702	3.69224	0.286211	0.302562	0.13631	0.274918	0.1142894	1.343306
2910	-3735.962	-3720.831	-15.13129	0.2316244	0.2102912	0.2744615	0.009111411	0.0126054	0.506095	0.0115526	0.0019105	0.460177	0.00765911	0.05520813	0.000744705	0.0399154	0.409979	3.54936	0.291199	0.30048	0.137572	0.27075	0.06431954	0.8583415
2920	-3740.921	-3726.589	-14.33176	0.2285081	0.1875746	0.2542518	0.03705249	0.011374	0.556745	0.00696765	0.00398727	0.415226	0.00569965	0.005812897	0.000336189	0.0269288	0.350459	3.62228	0.313679	0.305927	0.132842	0.247552	0.04286539	0.1356082
2930	-3738.591	-3724.44	-14.15121	0.2226747	0.1671655	0.2692414	0.005092346	0.011489	0.562373	0.00312163	0.0123772	0.406899	0.0037402	0.001667485	0.000136764	0.017233	0.292791	3.68984	0.316666	0.29391	0.113419	0.276005	0.006759831	0.2466756
2940	-3745.89	-3729.437	-16.45314	0.175006	0.1502328	0.4238426	0.02704959	0.0110692	0.461781	0.00654698	0.0124169	0.496912	0.0112734	0.04042358	5.38422e-05	0.0108396	0.242528	3.74658	0.299677	0.274962	0.148052	0.277309	0.06747317	0.599106
2950	-3736.855	-3721.531	-15.3235	0.2582924	0.1823121	0.2657122	0.1308334	0.0081328	0.531731	0.00488398	0.00926288	0.43661	0.00937907	0.01000469	0.000271802	0.0242348	0.335946	3.63955	0.303397	0.304431	0.122895	0.269278	0.1408381	0.07103682
2960	-3736.742	-3721.354	-15.38776	0.250668	0.2127638	0.2739061	0.01117262	0.0125519	0.494747	0.00791637	0.0132432	0.467833	0.00370817	0.06997863	0.000803745	0.0414482	0.416142	3.54161	0.310678	0.298939	0.114102	0.276281	0.08115125	0.8623235
2970	-3734.473	-3718.408	-16.06505	0.2451663	0.2105972	0.2845497	-0.1467872	0.00887592	0.511423	0.0105764	0.0125254	0.451387	0.00521193	0.1841121	0.000751845	0.040104	0.410745	3.5484	0.283753	0.310278	0.128721	0.277248	0.03732488	4.932691
2980	-3738.97	-3723.588	-15.38164	0.2196596	0.2354656	0.3198768	-0.06414197	0.00987793	0.582072	0.00962702	0.0114011	0.383562	0.00346064	0.08121744	0.00150216	0.0564132	0.469816	3.47227	0.294304	0.318504	0.116325	0.270867	0.01707547	4.756382
2990	-3738.086	-3722.037	-16.04993	0.2209622	0.2025228	0.343178	-0.08756689	0.0108644	0.570274	0.00640471	0.00152865	0.396347	0.0145819	0.1199077	0.000578908	0.0352434	0.39021	3.57397	0.31616	0.297241	0.117979	0.26862	0.0323408	3.707629
3000	-3746.182	-3730.072	-16.11063	0.2672663	0.2103088	0.2592554	0.1267699	0.0171835	0.567345	0.00549996	0.00115318	0.394311	0.014507	0.065747	0.000745116	0.0399263	0.410023	3.54931	0.29426	0.29283	0.148278	0.264633	0.1925169	0.3415129
3010	-3739.766	-3723.408	-16.35741	0.2689861	0.2271524	0.2823112	0.2153719	0.0152745	0.569956	0.00251936	0.00155103	0.396126	0.0145738	0.02076569	0.0012122	0.0507607	0.450766	3.49726	0.277755	0.323133	0.116564	0.282549	0.2361376	0.08793896
3020	-3738.854	-3721.967	-16.88732	0.2551013	0.2426689	0.2807245	0.2528557	0.013401	0.590503	0.00918885	0.00338296	0.371632	0.0118925	0.03474771	0.00178752	0.061449	0.485768	3.451	0.287522	0.293125	0.129589	0.289764	0.2876034	0.1208181
3030	-3739.736	-3723.385	-16.35125	0.2598073	0.1859986	0.2856809	-0.1322292	0.0155385	0.506821	0.0124314	0.00633933	0.454349	0.00452146	0.193578	0.000315851	0.0261086	0.34614	3.62744	0.282159	0.303673	0.14388	0.270289	0.06134881	3.155368
3040	-3734.478	-3719.156	-15.32178	0.2520162	0.2204934	0.3122014	-0.0645876	0.0133376	0.469193	0.00723162	0.00475116	0.502085	0.00340148	0.08209257	0.00100899	0.0463712	0.435004	3.51762	0.299623	0.30777	0.136332	0.256276	0.01750497	4.689672
3050	-3744.793	-3728.336	-16.45679	0.2539921	0.2495674	0.2792346	0.1417118	0.0141965	0.488566	0.0175289	0.00389923	0.464691	0.0111181	0.06560461	0.00209166	0.0663777	0.500573	3.43096	0.26926	0.31257	0.141252	0.276918	0.2073164	0.3164468
3060	-3741.23	-3725.705	-15.52512	0.255116	0.1696434	0.2711664	-0.110023	0.0115747	0.49011	0.0175842	0.00910388	0.466159	0.00546772	0.1398752	0.00015432	0.0182986	0.299982	3.68157	0.32363	0.297612	0.119909	0.258849	0.02985218	4.685595
3070	-3739.725	-3724.594	-15.13097	0.2625124	0.2099195	0.2695096	0.08029399	0.0116142	0.491782	0.0176442	0.00572447	0.467749	0.00548636	0.02216817	0.0007361	0.0396869	0.409047	3.55053	0.314531	0.304848	0.138263	0.242358	0.1024622	0.2163547
3080	-3740.465	-3723.733	-16.73168	0.256065	0.2029554	0.2878183	0.2234722	0.0130963	0.518612	0.00773787	0.00593185	0.4514	0.00322123	0.03744929	0.000587383	0.0354977	0.391327	3.57259	0.328219	0.298538	0.128427	0.244815	0.2609215	0.1435271
3090	-3748.715	-3730.804	-17.91065	0.2154816	0.1778214	0.2932888	0.3456448	0.0160132	0.5078	0.00757655	0.0130507	0.452558	0.00300127	0.04684836	0.000224456	0.0220395	0.323359	3.65438	0.2905	0.269241	0.143833	0.296426	0.3924932	0.119361
3100	-3737.005	-3720.376	-16.62855	0.263755	0.2104607	0.2613495	-0.2747814	0.0104865	0.566098	0.00507674	0.0113441	0.402712	0.00428248	0.2935547	0.000748654	0.0400198	0.410404	3.54883	0.284229	0.296267	0.137524	0.28198	0.0187733	15.63682
3110	-3744.413	-3728.269	-16.14342	0.2674638	0.1769401	0.2678357	-0.001908711	0.0148661	0.581709	0.0077358	0.0117996	0.364143	0.0197461	0.1257163	0.000215934	0.0216202	0.320867	3.6573	0.285373	0.336405	0.122989	0.255233	0.1238076	1.015417
3120	-3741.983	-3724.392	-17.59089	0.2631986	0.1793806	0.2962832	0.1150865	0.0102439	0.573231	0.0047766	0.00460199	0.37764	0.0295071	0.1340954	0.00024014	0.0227907	0.32775	3.64922	0.288851	0.301391	0.134244	0.275514	0.2491818	0.5381427
3130	-3745.783	-3730.085	-15.69819	0.2612513	0.1860437	0.2960661	-0.09479072	0.00906532	0.569888	0.0047328	0.00146861	0.38551	0.029335	0.1273244	0.000316421	0.026132	0.346264	3.62729	0.302186	0.292598	0.132233	0.272983	0.03253373	3.913613
3140	-3739.113	-3723.823	-15.29054	0.2597219	0.1912896	0.2876258	0.03722762	0.0144607	0.570787	0.00474026	0.00359231	0.386118	0.0203013	0.04259725	0.000387878	0.0289064	0.360545	3.61016	0.29124	0.324883	0.11844	0.265438	0.07982487	0.5336338
3150	-3738.842	-3722.348	-16.49491	0.2680194	0.2045465	0.2416873	0.07789482	0.0150258	0.577316	0.00479448	0.00938291	0.390535	0.00294605	0.1196047	0.000619306	0.0364389	0.395419	3.56752	0.302564	0.285344	0.12747	0.284623	0.1974996	0.605595
3160	-3742.134	-3724.859	-17.27466	0.2842161	0.2290675	0.2488945	-0.3429515	0.0133169	0.578291	0.00351045	0.00415593	0.394338	0.0063872	0.3731814	0.00127536	0.0520465	0.455216	3.49146	0.310491	0.296811	0.134953	0.257745	0.0302299	12.34478
3170	-3743.936	-3727.119	-16.81653	0.2463204	0.1913148	0.2859843	-0.1599803	0.0115801	0.493787	0.00124728	0.00788509	0.477107	0.00839315	0.2335149	0.000388247	0.02892	0.360612	3.61008	0.290461	0.317706	0.127187	0.264646	0.07353458	3.175579
3180	-3736.651	-3721.826	-14.82483	0.2520451	0.1796913	0.2716552	0.08235055	0.0126836	0.48952	0.000798822	0.00735122	0.472984	0.0166626	0.002692746	0.00024336	0.0229418	0.328622	3.64819	0.315632	0.286677	0.138346	0.259344	0.0850433	0.03166323
3190	-3739.613	-3721.271	-18.34256	0.2819497	0.1826772	0.2360082	0.3762462	0.0115128	0.522926	0.00401934	0.00881425	0.435219	0.0175085	0.07715963	0.00027595	0.0244176	0.336961	3.63835	0.28775	0.304089	0.135365	0.272796	0.4534058	0.1701778
3200	-3741.948	-3725.49	-16.45804	0.2876921	0.180119	0.2812559	-0.1973844	0.0125907	0.484033	0.0125756	0.0115022	0.475968	0.00333049	0.2290509	0.000247845	0.0231506	0.329822	3.64678	0.289754	0.311149	0.124584	0.274513	0.03166653	7.233218
3210	-3736.943	-3721.68	-15.26359	0.2729467	0.2177436	0.2462852	-0.06601545	0.0107397	0.525578	0.00706624	0.00891398	0.446707	0.000995782	0.1167623	0.000932303	0.0445977	0.428364	3.52611	0.283218	0.294884	0.13295	0.288948	0.05074682	2.300879
3220	-3739.309	-3722.815	-16.49347	0.2672518	0.2080261	0.3182179	-0.03264126	0.00805265	0.519179	0.00698022	0.0200324	0.441268	0.00448728	0.1311852	0.000693329	0.0385303	0.404279	3.5565	0.302202	0.287498	0.129818	0.280482	0.09854391	1.331236
3230	-3745.66	-3727.846	-17.81307	0.2508992	0.1694456	0.312379	-0.271724	0.00889703	0.474261	0.013508	0.0182992	0.481301	0.00373298	0.3350235	0.000152859	0.0182123	0.29941	3.68223	0.270755	0.34061	0.122974	0.265661	0.06329955	5.292668
3240	-3739.355	-3724.453	-14.90181	0.2489585	0.1997047	0.305982	0.0412816	0.00907974	0.484001	0.00849587	0.018675	0.475085	0.00466359	0.00728074	0.000525803	0.0336053	0.382887	3.58298	0.291049	0.304362	0.131605	0.272985	0.04856234	0.1499256
3250	-3739.739	-3724.9	-14.8387	0.2428689	0.2153344	0.2819439	0.0428195	0.0141105	0.487836	0.00579921	0.00842647	0.47885	0.00497809	0.01594288	0.000868471	0.0430637	0.422483	3.53358	0.302707	0.286487	0.121525	0.289282	0.05876238	0.271311
3260	-3740.279	-3722.375	-17.90402	0.2427424	0.2012515	0.321551	-0.2809038	0.019063	0.477097	0.00303924	0.0119138	0.486834	0.00205312	0.3357543	0.000554503	0.0345006	0.386916	3.57803	0.295757	0.300922	0.126542	0.276779	0.05485051	6.121261
3270	-3738.703	-3723.657	-15.04547	0.2117711	0.1919184	0.3177154	-0.01958539	0.0126352	0.498835	0.00776108	0.0124566	0.465714	0.00259845	0.03952655	0.000397165	0.0292472	0.362238	3.60812	0.32734	0.293354	0.135399	0.243908	0.01994116	1.982159
3280	-3739.132	-3723.208	-15.92426	0.2175175	0.1678965	0.3144371	0.01783653	0.00791715	0.4983	0.00810418	0.0124433	0.465214	0.00802177	0.07598894	0.000141777	0.017544	0.294917	3.6874	0.288238	0.296578	0.153497	0.261687	0.09382547	0.8098967
3290	-3738.37	-3722.502	-15.86795	0.2451176	0.2192879	0.2761333	-0.2061132	0.00862024	0.53676	0.0108605	0.0117709	0.426698	0.00529022	0.2078495	0.000974866	0.0455908	0.432103	3.52133	0.320865	0.273359	0.128133	0.277643	0.001736288	119.7091
3300	-3737.317	-3722.248	-15.06865	0.2611412	0.2021393	0.2535287	0.05009699	0.00431558	0.608682	0.0154718	0.00964439	0.361084	0.000802926	0.04377036	0.000571467	0.0350187	0.389218	3.57519	0.291118	0.312628	0.118352	0.277902	0.09386735	0.4663001
3310	-3737.194	-3721.135	-16.0594	0.2285797	0.1853393	0.2928386	0.02482697	0.0110083	0.616216	0.0149198	0.00696481	0.348201	0.00268985	0.09374449	0.000307615	0.0257689	0.344326	3.6296	0.28569	0.304137	0.125449	0.284723	0.1185715	0.7906159
3320	-3739.823	-3720.564	-19.25917	0.2357535	0.1992701	0.2747078	-0.1235707	0.0144351	0.570662	0.0139745	0.00978264	0.388059	0.00308646	0.3664032	0.000517932	0.0333554	0.38175	3.58438	0.281336	0.306523	0.128121	0.284021	0.2428325	1.508872
3330	-3744.111	-3729.203	-14.90761	0.3674389	0.2069763	0.2022759	0.01001579	0.0116906	0.573583	0.0108383	0.00957365	0.390045	0.00426917	0.07853615	0.000670378	0.0378946	0.401619	3.55982	0.308308	0.289076	0.133471	0.269145	0.08855195	0.8868936
3340	-3747.628	-3732.669	-14.95905	0.3394032	0.1955497	0.1932705	-0.17516	0.00841813	0.532409	0.0090676	0.0116535	0.431805	0.00664662	0.1771778	0.000453952	0.0312482	0.371943	3.59635	0.283395	0.300411	0.146464	0.269731	0.00201777	87.80869
3350	-3747.402	-3729.805	-17.59633	0.3582373	0.2316398	0.2170662	-0.114816	0.00717913	0.495647	0.0114009	0.0116172	0.468403	0.00575306	0.2782147	0.00136359	0.0537893	0.461135	3.48371	0.297891	0.317425	0.125063	0.25962	0.1633987	1.702674
3360	-3753.334	-3731.089	-22.24481	0.3469143	0.2435902	0.2181037	0.5665294	0.0105352	0.520626	0.0119755	0.0231926	0.430021	0.00364957	0.1867081	0.00182636	0.0621015	0.487772	3.4483	0.279163	0.324146	0.126064	0.270626	0.7532375	0.2478741
3370	-3744.148	-3728.169	-15.97906	0.3712382	0.1993661	0.2031935	-0.008720561	0.00913386	0.523027	0.0120307	0.0232996	0.432004	0.000504244	0.1456609	0.000519664	0.0334106	0.382002	3.58407	0.294054	0.314019	0.125807	0.26612	0.1369403	1.063681
3380	-3745.985	-3732.21	-13.7744	0.3684565	0.2881497	0.2067164	-0.01270421	0.00810094	0.52245	0.0141439	0.0232739	0.431528	0.000503687	0.02408226	0.00438338	0.095314	0.575354	3.32495	0.280492	0.296951	0.139371	0.283186	0.01137804	2.116555
3390	-3741.943	-3725.957	-15.98553	0.2601181	0.1887722	0.274295	-0.08626546	0.0109973	0.526265	0.0110567	0.0157256	0.434679	0.00127593	0.1533525	0.000352269	0.0275596	0.353725	3.61836	0.339564	0.283764	0.127944	0.248727	0.06708706	2.285873
3400	-3738.643	-3723.555	-15.08762	0.323296	0.1959817	0.2462993	-0.04891853	0.0100501	0.497669	0.00808077	0.00549559	0.470919	0.00778579	0.0947898	0.000461075	0.03149	0.373089	3.59496	0.303721	0.311572	0.127511	0.257197	0.04587127	2.066431
3410	-3740.976	-3725.344	-15.63245	0.3014883	0.2560162	0.2245475	0.04035963	0.0103341	0.495205	0.0106484	0.00544773	0.468588	0.00977616	0.09500255	0.00240408	0.0710678	0.514002	3.41253	0.282169	0.310193	0.129655	0.277984	0.1353622	0.7018397
3420	-3749.132	-3729.91	-19.22137	0.338683	0.2367567	0.2593108	0.2829937	0.00665052	0.450623	0.0199022	0.00381507	0.509619	0.00939016	0.1504451	0.00155094	0.0573068	0.472713	3.46843	0.283589	0.296758	0.134288	0.285365	0.4334389	0.3470965
3430	-3743.822	-3727.864	-15.95851	0.3154502	0.2052537	0.2106102	0.1487194	0.0134254	0.422843	0.00648676	0.0081852	0.531334	0.0177256	0.06481846	0.000633879	0.0368603	0.39723	3.56528	0.298544	0.307709	0.137358	0.256388	0.2135378	0.3035455
3440	-3746.836	-3730.448	-16.38811	0.3249371	0.1824552	0.2508103	0.2208742	0.0134774	0.424482	0.00651189	0.00567163	0.533392	0.0164656	0.02870357	0.000273423	0.0243064	0.336344	3.63908	0.315349	0.282104	0.146792	0.255755	0.2495777	0.1150086
3450	-3743.624	-3728.12	-15.50415	0.31758	0.2635471	0.228323	0.1451928	0.0133627	0.494532	0.0102875	0.00784628	0.470707	0.00326504	0.03375022	0.00280415	0.0766331	0.529197	3.39137	0.306418	0.281907	0.141837	0.269837	0.178943	0.1886088
3460	-3747.469	-3732.164	-15.30474	0.2739226	0.2525118	0.201048	-0.142994	0.0132717	0.491164	0.0102174	0.0126598	0.467501	0.00518542	0.181031	0.00223089	0.0685098	0.506753	3.42251	0.287981	0.301861	0.145532	0.264626	0.03803701	4.759338
3470	-3744.228	-3729.249	-14.97939	0.309749	0.1637596	0.2183872	0.008317235	0.0127369	0.519973	0.00787754	0.00574527	0.448664	0.0050027	0.07638178	0.000115154	0.0158212	0.28283	3.70123	0.286721	0.312895	0.145516	0.254868	0.08469902	0.9018025
3480	-3739.696	-3724.244	-15.45201	0.297474	0.209119	0.2533576	-0.09355629	0.0160014	0.513224	0.0117988	0.00771397	0.442841	0.00842028	0.1365276	0.000717799	0.0391963	0.407036	3.55305	0.305244	0.307973	0.143392	0.243391	0.04297134	3.177179
3490	-3740.71	-3724.962	-15.74762	0.2958908	0.2142549	0.2778369	0.1443372	0.0147588	0.408881	0.00848994	0.00751384	0.553004	0.00735251	0.02049755	0.000840867	0.0423826	0.419828	3.53695	0.296306	0.29859	0.150434	0.25467	0.1648347	0.1243522
3500	-3741.84	-3727.294	-14.546	0.3007705	0.2261421	0.2304517	0.07295634	0.0126196	0.41763	0.00913832	0.00594676	0.543665	0.0109999	0.01211605	0.00117975	0.0500864	0.448404	3.50033	0.300836	0.285178	0.132971	0.281016	0.08507239	0.1424205
3510	-3736.453	-3721.996	-14.4566	0.3214556	0.1910842	0.2210172	-0.006966973	0.0173918	0.505854	0.00639808	0.0116048	0.456659	0.00209219	0.05215972	0.000384881	0.0287955	0.359991	3.61083	0.308662	0.291646	0.126376	0.273316	0.04519274	1.154161
3520	-3741.43	-3727.613	-13.81749	0.3191996	0.2051702	0.2284443	0.004349232	0.013356	0.506842	0.00550368	0.0112329	0.45755	0.00551494	0.005939577	0.000632145	0.0368104	0.397016	3.56554	0.297847	0.331303	0.113409	0.257442	0.01028881	0.5772852
3530	-3738.775	-3723.326	-15.44871	0.2838532	0.2366744	0.2588922	-0.1403422	0.0155818	0.530402	0.00899103	0.00597825	0.433075	0.00597203	0.1567418	0.0015478	0.0572497	0.472529	3.46867	0.301389	0.307781	0.12916	0.26167	0.0163996	9.55766
3540	-3737.734	-3722.048	-15.68605	0.2855672	0.2145644	0.2719191	-0.1620868	0.0077142	0.554084	0.00852493	0.00778059	0.410624	0.0112724	0.1750955	0.00084872	0.0425775	0.420591	3.53598	0.295159	0.301988	0.130196	0.272657	0.01300864	13.45993
3550	-3744.89	-3727.131	-17.75911	0.3036525	0.2028046	0.2662994	0.3297401	0.0117354	0.554588	0.0115757	0.00830029	0.410998	0.00280268	0.04572037	0.000584418	0.035409	0.390938	3.57307	0.283476	0.337591	0.130088	0.248846	0.3754605	0.1217715
3560	-3736.689	-3721.872	-14.8164	0.2496786	0.1883503	0.2739817	-0.04953769	0.0113259	0.522233	0.00949788	0.00733779	0.447724	0.0018811	0.06638545	0.000346542	0.0273367	0.352576	3.61974	0.314641	0.292123	0.141812	0.251425	0.01684775	3.940314
3570	-3739.52	-3724.528	-14.99142	0.2470122	0.1793162	0.2978502	-0.007126359	0.0100742	0.52476	0.0087842	0.00428435	0.44989	0.00220722	0.04144422	0.000239476	0.0227594	0.327569	3.64943	0.31086	0.297921	0.131921	0.259298	0.03431786	1.207657
3580	-3740.999	-3722.963	-18.03651	0.2457441	0.2208396	0.3205449	0.3575377	0.00782263	0.616098	0.00555875	0.00783256	0.358402	0.00428686	0.028573	0.00101894	0.0465961	0.435835	3.51655	0.279356	0.315517	0.131465	0.273661	0.3861107	0.0740021
3590	-3740.872	-3721.825	-19.04727	0.2392783	0.1659763	0.2819352	0.01052122	0.0147474	0.515778	0.00744424	0.00430255	0.453683	0.00404534	0.2812391	0.000128897	0.016733	0.289323	3.69382	0.298579	0.304083	0.12753	0.269808	0.2917603	0.9639388
3600	-3741.69	-3726.448	-15.24292	0.228882	0.1826534	0.2733743	0.1315255	0.0163749	0.521742	0.00178565	0.0195632	0.439046	0.00148909	0.003393274	0.000275679	0.0244057	0.336895	3.63842	0.295389	0.323701	0.126911	0.253999	0.1349188	0.02515049
3610	-3743.772	-3726.974	-16.79737	0.2893503	0.1908382	0.258477	-0.07483988	0.0188942	0.553633	0.00178769	0.0207589	0.394996	0.00993029	0.2015515	0.00038131	0.0286629	0.359326	3.61163	0.297064	0.295327	0.134564	0.273046	0.1267116	1.590632
3620	-3744.998	-3725.024	-19.97422	0.2842296	0.205341	0.235517	0.3630552	0.0156695	0.538409	0.00189992	0.00600441	0.431679	0.00633905	0.1648338	0.000635693	0.0369124	0.397453	3.565	0.307497	0.289641	0.131438	0.271424	0.527889	0.3122509
3630	-3734.576	-3720.348	-14.22813	0.2664558	0.1886549	0.2554356	-0.03164331	0.0156491	0.537708	0.00393839	0.00490646	0.431117	0.0066806	0.03284037	0.00035067	0.0274975	0.353406	3.61875	0.285313	0.303654	0.129219	0.281814	0.001197053	27.43434
3640	-3744.296	-3728.401	-15.89486	0.2622168	0.1756621	0.3192701	-0.119579	0.0185259	0.481142	0.0060868	0.00374665	0.486889	0.00360962	0.1391932	0.000204008	0.0210191	0.317242	3.66154	0.291102	0.288749	0.142407	0.277743	0.01961418	7.096557
3650	-3741.966	-3724.948	-17.01727	0.2691131	0.2224553	0.236531	-0.1815607	0.0206635	0.544745	0.00401432	0.0140461	0.413863	0.00266891	0.2837468	0.00106626	0.0476508	0.439695	3.51159	0.29811	0.297391	0.139673	0.264826	0.1021861	2.776765
3660	-3739.128	-3722.059	-17.06912	0.2183271	0.1863533	0.3473897	0.2365902	0.0109037	0.595535	0.00921219	0.0124416	0.366588	0.00531876	0.01822982	0.000320348	0.0262922	0.347114	3.62627	0.29161	0.331447	0.125395	0.251548	0.25482	0.07154
3670	-3736.179	-3720.465	-15.71431	0.2222783	0.2135181	0.3412576	0.04666763	0.00980699	0.5819	0.013958	0.00885993	0.380278	0.00519699	0.03316841	0.000822379	0.0419199	0.41801	3.53925	0.275786	0.303761	0.127244	0.293209	0.07983605	0.4154566
