Iteration	Posterior	Likelihood	Prior	age_ursinae	alpha_cytb	branch_rates	diversification	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	extinction_rate	rates_cytb[1]	rates_cytb[2]	rates_cytb[3]	rates_cytb[4]	sf[1]	sf[2]	sf[3]	sf[4]	speciation_rate	turnover
220	-3736.423	-3721.599	-14.82422	0.24992	0.2336266	0.3055529	-0.03107201	0.00782218	0.522772	0.0105287	0.00663909	0.449782	0.00245595	0.03842251	0.00143445	0.0551473	0.465662	3.47776	0.304319	0.310844	0.126083	0.258754	0.007350498	5.227198
230	-3737.282	-3721.705	-15.57646	0.2668202	0.2163046	0.2537815	-0.03662433	0.0152754	0.516579	0.008273	0.00895989	0.444454	0.00645886	0.1169065	0.000893804	0.0436792	0.424859	3.53057	0.30553	0.310536	0.127305	0.256629	0.08028215	1.456195
240	-3733.795	-3718.297	-15.49737	0.264929	0.2092057	0.27216	0.05313982	0.0168973	0.515345	0.00920865	0.00457027	0.452133	0.00184561	0.05606156	0.000719766	0.0392494	0.407254	3.55278	0.285462	0.314094	0.140802	0.259643	0.1092014	0.5133777
250	-3733.377	-3717.78	-15.59655	0.2634025	0.2083319	0.2796285	-0.03810887	0.011921	0.496645	0.0093979	0.0108732	0.467823	0.00333944	0.1039347	0.000700117	0.0387162	0.405051	3.55553	0.315038	0.299524	0.135562	0.249877	0.06582586	1.578935
260	-3736.017	-3720.644	-15.37348	0.2603965	0.2018323	0.2680797	0.09542643	0.0116692	0.560663	0.00318642	0.0122747	0.403401	0.00880526	0.03087003	0.00056556	0.0348392	0.388423	3.57617	0.285217	0.291171	0.136724	0.286887	0.1262965	0.2444251
270	-3738.77	-3722.606	-16.16394	0.256976	0.2032636	0.278245	0.03834034	0.0158032	0.508943	0.00357408	0.0100178	0.452478	0.00918369	0.1000228	0.000593473	0.0356792	0.392122	3.57161	0.312084	0.312426	0.133	0.242489	0.1383631	0.7229006
280	-3743.962	-3725.113	-18.84862	0.266548	0.1654262	0.3124331	-0.08623541	0.0173575	0.497745	0.00343452	0.00746819	0.457982	0.016013	0.2985351	0.000125376	0.0165043	0.287715	3.69566	0.29344	0.312887	0.139642	0.254031	0.2122997	1.406197
290	-3739.884	-3720.941	-18.94291	0.2468564	0.1756589	0.265672	0.1867479	0.0100172	0.504581	0.00412539	0.00281513	0.464271	0.0141905	0.1913441	0.000203978	0.0210175	0.317233	3.66155	0.288147	0.312475	0.129346	0.270032	0.378092	0.5060781
300	-3743.258	-3723.693	-19.56479	0.2062444	0.1909536	0.3336177	0.334307	0.0181706	0.495465	0.00461137	0.00192418	0.465598	0.0142311	0.1257007	0.000382982	0.028725	0.359638	3.61125	0.289859	0.320608	0.130846	0.258687	0.4600077	0.2732578
310	-3741.042	-3722.098	-18.94427	0.2636098	0.204718	0.2632552	0.1517892	0.019015	0.472864	0.00746434	0.00247966	0.487234	0.0109428	0.2080931	0.000622817	0.0365409	0.395859	3.56698	0.30311	0.312638	0.131996	0.252256	0.3598824	0.5782254
320	-3742.602	-3724.743	-17.85872	0.257766	0.1973248	0.3008644	-0.20016	0.0173313	0.535579	0.00655494	0.00138038	0.428813	0.0103419	0.3018082	0.000483728	0.0322465	0.37664	3.59063	0.329621	0.29912	0.126288	0.244972	0.1016482	2.969143
330	-3735.416	-3720.298	-15.11867	0.2349602	0.1959197	0.2913789	0.04364252	0.0132768	0.602461	0.00693276	0.000847653	0.368903	0.00757915	0.02840468	0.000460048	0.0314552	0.372925	3.59516	0.30402	0.308027	0.11648	0.271472	0.0720472	0.394251
340	-3741.408	-3726.13	-15.27825	0.2168327	0.1514508	0.2927583	0.09981518	0.0174162	0.561904	0.00882747	0.0015046	0.400613	0.00973497	0.01091795	5.79796e-05	0.0112464	0.246198	3.7425	0.307149	0.29845	0.128667	0.265735	0.1107331	0.09859692
350	-3734.214	-3719.489	-14.72477	0.2388745	0.1716577	0.3162663	-0.00303245	0.0084701	0.569884	0.00546612	0.00256067	0.406302	0.0073163	0.01199595	0.000169802	0.0191884	0.305792	3.67485	0.293615	0.307777	0.122625	0.275983	0.008963503	1.338311
360	-3736.922	-3721.575	-15.34689	0.2113902	0.1528621	0.3325037	0.02764415	0.0119284	0.56153	0.00445831	0.00297931	0.4105	0.0086041	0.0259856	6.30788e-05	0.0117282	0.250441	3.73777	0.287136	0.325706	0.127449	0.259708	0.05362975	0.484537
370	-3737.393	-3720.488	-16.90473	0.1990061	0.1588665	0.3275802	-0.1278868	0.00946942	0.56083	0.00466401	0.00229933	0.415484	0.00725283	0.2048501	8.87884e-05	0.0139025	0.268378	3.71763	0.305501	0.310132	0.135996	0.24837	0.07696336	2.661658
380	-3738.716	-3723.062	-15.65425	0.1939589	0.1610206	0.3099815	-0.1233781	0.0102912	0.548533	0.00688305	0.00129407	0.420575	0.0124235	0.1362002	9.97509e-05	0.0147311	0.27476	3.71041	0.283035	0.306899	0.137593	0.272473	0.01282211	10.62229
390	-3743.629	-3727.513	-16.11595	0.1985627	0.1990177	0.370863	-0.1137752	0.0124921	0.446559	0.00805426	0.00367726	0.50523	0.0239865	0.1212516	0.000513401	0.0332107	0.381089	3.58519	0.305133	0.2804	0.126385	0.288082	0.007476444	16.21782
400	-3738.333	-3722.28	-16.05323	0.1992242	0.1833222	0.3513181	-0.1193641	0.0122582	0.497728	0.00940167	0.00232741	0.451549	0.026735	0.1329032	0.000283392	0.0247419	0.338752	3.63622	0.288569	0.288581	0.142699	0.280151	0.01353912	9.816234
410	-3738.376	-3722.956	-15.41962	0.2011745	0.1875403	0.3306294	-0.02221346	0.0139687	0.536116	0.00132109	0.00328122	0.423391	0.0219218	0.05586516	0.000335736	0.0269108	0.350365	3.62239	0.306892	0.309125	0.126499	0.257484	0.0336517	1.660099
420	-3738.282	-3721.907	-16.37507	0.2289367	0.1896406	0.2968592	0.2189502	0.0146432	0.515852	0.00131711	0.00333039	0.443836	0.0210204	0.01497868	0.000364274	0.0280211	0.356085	3.61553	0.297534	0.295658	0.137825	0.268984	0.2339289	0.06403093
430	-3741.164	-3724.156	-17.00729	0.2328603	0.208575	0.3560845	0.05339134	0.00898374	0.591245	0.00164704	0.00373461	0.37588	0.0185101	0.1001127	0.000705544	0.0388642	0.405665	3.55477	0.309268	0.291892	0.135125	0.263715	0.153504	0.6521828
440	-3739.839	-3724.52	-15.3189	0.2425053	0.1792997	0.3076131	0.05888713	0.0116815	0.510415	0.000997425	0.00498215	0.447414	0.0245101	0.02325205	0.000239307	0.0227514	0.327523	3.64949	0.310992	0.30415	0.120336	0.264523	0.08213918	0.2830811
450	-3737.827	-3721.712	-16.11507	0.2401338	0.2025163	0.3543144	0.06791237	0.0148798	0.503079	0.00141878	0.00629098	0.456018	0.0183138	0.03810801	0.000578783	0.0352397	0.390193	3.57399	0.295399	0.294652	0.133832	0.276118	0.1060204	0.3594404
460	-3742.326	-3725.802	-16.52413	0.2136102	0.1571603	0.268621	0.2366934	0.0139852	0.517001	0.00168258	0.00466976	0.454957	0.00770444	0.03173265	8.07839e-05	0.0132644	0.263302	3.72335	0.309991	0.283407	0.135085	0.271517	0.268426	0.1182175
470	-3737.759	-3722.64	-15.11886	0.314036	0.184083	0.248262	0.1246698	0.0163228	0.536754	0.00551727	0.00791799	0.427547	0.00594092	0.009563751	0.000292358	0.0251271	0.340859	3.63372	0.274075	0.321681	0.13392	0.270324	0.1342335	0.0712471
480	-3740.064	-3725.185	-14.87919	0.3141677	0.2222583	0.2463076	0.03978551	0.0168909	0.509747	0.00686158	0.0093908	0.442429	0.0146816	0.03965147	0.00106041	0.0475218	0.439226	3.51219	0.313111	0.308745	0.125274	0.252871	0.07943699	0.4991563
490	-3739.855	-3724.788	-15.06675	0.2992585	0.1895971	0.2773088	-0.07428038	0.00972208	0.481021	0.00350165	0.00798898	0.480116	0.0176506	0.08979468	0.000363665	0.0279979	0.355966	3.61567	0.293049	0.314063	0.138375	0.254514	0.0155143	5.787866
500	-3744.249	-3728.645	-15.60386	0.2575459	0.2008266	0.2406857	-0.04842194	0.0111916	0.547375	0.0141368	0.00881475	0.387528	0.0309537	0.1313177	0.000546511	0.0342537	0.385812	3.57939	0.285867	0.30341	0.134984	0.275739	0.08289576	1.58413
510	-3739.405	-3724.979	-14.42542	0.2952701	0.2075569	0.2271186	0.02876385	0.00968276	0.511625	0.0122309	0.00593977	0.443837	0.0166849	0.03061412	0.000683004	0.0382456	0.403091	3.55798	0.28814	0.293279	0.14065	0.277931	0.05937797	0.5155805
520	-3740.386	-3725.563	-14.82329	0.3035337	0.2280006	0.2502861	-0.077085	0.0112672	0.480823	0.00941115	0.00481363	0.480563	0.0131229	0.09138087	0.00123991	0.051329	0.452742	3.49469	0.27596	0.30485	0.138682	0.280507	0.01429587	6.392116
530	-3736.689	-3722.589	-14.10004	0.2821469	0.2222929	0.2415723	0.001201423	0.0137506	0.504124	0.0139299	0.0031069	0.456853	0.00823592	0.01671894	0.00106144	0.0475444	0.439308	3.51209	0.30321	0.2881	0.138842	0.269847	0.01792036	0.9329576
