Iteration	Posterior	Likelihood	Prior	bl[1]	bl[2]	bl[3]	bl[4]	bl[5]	bl[6]	bl[7]	bl[8]	bl[9]	bl[10]	bl[11]	bl[12]	bl[13]	bl[14]	bl[15]	bl[16]	bl[17]	bl[18]	bl[19]	bl[20]	bl[21]	bl[22]	bl[23]	bl[24]	bl[25]	bl[26]	bl[27]	bl[28]	bl[29]	bl[30]	bl[31]	bl[32]	bl[33]	bl[34]	bl[35]	bl[36]	bl[37]	bl[38]	bl[39]	bl[40]	bl[41]	bl[42]	bl[43]	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	pi[1]	pi[2]	pi[3]	pi[4]	TL
1200	-14521.35	-14542.22	20.86986	0.142418	0.115199	0.0906222	0.0727897	0.0906135	0.0891885	0.117045	0.0753661	0.108568	0.155415	0.081771	0.0873452	0.0975936	0.11688	0.103367	0.10662	0.128381	0.0992094	0.109574	0.0883064	0.0828969	0.0800369	0.16404	0.0475643	0.0218195	0.0128665	0.024203	0.0262624	0.0276546	0.0127619	0.0357275	0.0352884	0.023562	0.0929738	0.0274433	0.0554279	0.0295045	0.0376368	0.0451901	0.0147856	0.0220109	0.0290664	0.0348521	0.211503	0.258151	0.0640987	0.0362354	0.420074	0.00993845	0.262497	0.224651	0.163238	0.349615	3.059847
1210	-14519.03	-14538.25	19.22423	0.142207	0.107034	0.108922	0.103145	0.11426	0.058586	0.124855	0.0766412	0.0951845	0.15927	0.082596	0.0714248	0.111225	0.112289	0.126604	0.143404	0.119776	0.0900837	0.126192	0.082656	0.108367	0.0750911	0.18482	0.0246531	0.0400351	0.0247299	0.0279869	0.0267217	0.0524935	0.0315253	0.0350487	0.0361643	0.0230908	0.0831362	0.0251994	0.0538561	0.0157451	0.0377729	0.0445141	0.0102635	0.0364969	0.0425214	0.0278223	0.205887	0.251297	0.0628786	0.0352733	0.436252	0.00841194	0.265234	0.226993	0.16494	0.342832	3.224411
1220	-14515.66	-14536.59	20.93591	0.138886	0.0982371	0.101657	0.110545	0.11961	0.0613682	0.112374	0.0637045	0.0765667	0.172411	0.0717999	0.0851311	0.0811662	0.0977709	0.0973631	0.144928	0.130174	0.0793506	0.114501	0.0752282	0.0822455	0.106318	0.152859	0.0179817	0.0389095	0.0174	0.0256383	0.0408408	0.0530668	0.0192248	0.033907	0.0381676	0.0197645	0.0859345	0.0321415	0.03393	0.0139562	0.0440668	0.0532624	0.0223781	0.0275074	0.0426136	0.0183549	0.20523	0.250495	0.0577462	0.0285411	0.43486	0.0231274	0.235423	0.236802	0.170128	0.357646	3.053243
1230	-14503.82	-14524.3	20.48743	0.132098	0.0982371	0.11366	0.0965428	0.0947569	0.0757115	0.110666	0.0928366	0.0757926	0.174375	0.0756514	0.0764287	0.0997687	0.0894283	0.133577	0.145486	0.130938	0.0988091	0.116474	0.0660348	0.0826119	0.0822645	0.14224	0.0267266	0.0382439	0.0246051	0.0234257	0.0504234	0.0377254	0.0124004	0.021146	0.0524292	0.0346402	0.0742948	0.022904	0.0423072	0.00664674	0.0474073	0.0524768	0.0210282	0.0205712	0.056791	0.0275107	0.213112	0.260115	0.0619998	0.0300521	0.420174	0.0145475	0.249909	0.232316	0.166905	0.35087	3.09809
1240	-14502.74	-14522.92	20.17713	0.113736	0.0918028	0.117036	0.0920971	0.0859588	0.0746121	0.0978825	0.0602816	0.0913235	0.180098	0.081587	0.0939416	0.0894094	0.0894283	0.109985	0.135264	0.136781	0.120605	0.12843	0.0759943	0.0909802	0.0885093	0.186674	0.0313895	0.0442797	0.0170813	0.0227926	0.0373852	0.0486154	0.0117503	0.030407	0.0426731	0.0328281	0.0765522	0.023827	0.0541347	0.0112059	0.046178	0.0493144	0.0258375	0.0263075	0.031439	0.032704	0.213482	0.260567	0.0621075	0.0301043	0.420903	0.0128357	0.249909	0.232316	0.166905	0.35087	3.12912
1250	-14508.08	-14528.98	20.90256	0.129317	0.111558	0.117237	0.104703	0.111003	0.0857616	0.121365	0.067112	0.0848304	0.174886	0.0751623	0.0743441	0.0911774	0.106571	0.108149	0.121346	0.116413	0.126813	0.120911	0.0786972	0.0816763	0.100634	0.134085	0.0252619	0.0403337	0.0219649	0.0165285	0.0487854	0.0595755	0.00495168	0.0374172	0.020257	0.0222014	0.0630635	0.0149792	0.0290605	0.0236091	0.0323225	0.0491037	0.0148139	0.0148995	0.037096	0.0366003	0.225371	0.251645	0.0599808	0.0290735	0.424622	0.00930814	0.254922	0.216917	0.170253	0.357908	3.056577
1260	-14497.69	-14519.55	21.86076	0.126288	0.0920315	0.0959927	0.0989445	0.105024	0.0808995	0.107886	0.060225	0.0840934	0.168716	0.0769387	0.0682192	0.108283	0.0876967	0.123837	0.121346	0.15166	0.0983328	0.118327	0.0640013	0.0652953	0.0845223	0.151078	0.0232342	0.032105	0.0174786	0.0179666	0.0408302	0.0331326	0.0122743	0.0206555	0.0330605	0.0249401	0.0837512	0.023945	0.0387654	0.023473	0.0505764	0.0512496	0.0197992	0.0157655	0.0292985	0.0288183	0.225019	0.251251	0.0616217	0.029028	0.423959	0.00912164	0.256255	0.212182	0.17135	0.360214	2.960757
1270	-14497.84	-14518.57	20.73272	0.126169	0.0920315	0.105776	0.0989445	0.105024	0.0724186	0.126162	0.0785658	0.0652091	0.163844	0.0769387	0.0761437	0.0927499	0.109971	0.120478	0.146077	0.124253	0.0965257	0.12907	0.0724834	0.082147	0.0879272	0.171415	0.0204918	0.0385664	0.0206441	0.0262728	0.0376835	0.0294948	0.0153422	0.0412312	0.0268015	0.0400756	0.0852656	0.0164927	0.0471844	0.0177959	0.032749	0.0466287	0.0251003	0.0133526	0.0345328	0.0375295	0.216766	0.271257	0.0593617	0.032286	0.40841	0.0119199	0.253768	0.232615	0.156898	0.356719	3.073561
1280	-14496.62	-14517.62	21.00019	0.115349	0.0965413	0.096519	0.105122	0.1236	0.0724186	0.130362	0.0649248	0.0882236	0.165691	0.0769387	0.0807805	0.0941941	0.102344	0.119336	0.143188	0.132941	0.118334	0.115941	0.0887814	0.0853115	0.0821238	0.167132	0.0234583	0.0235213	0.0269629	0.0159786	0.038136	0.0383131	0.00963426	0.0183535	0.0267988	0.0196993	0.0745621	0.0142036	0.0455353	0.0212055	0.0431487	0.0376315	0.0260281	0.0174563	0.0232545	0.0368347	0.21685	0.271362	0.0593848	0.0301478	0.408568	0.0136866	0.251284	0.230338	0.155362	0.363016	3.046814
1290	-14500.13	-14520.33	20.20799	0.130263	0.0817252	0.10412	0.103577	0.11715	0.0889474	0.11635	0.0668883	0.0774888	0.15958	0.0621175	0.0829064	0.110009	0.102344	0.136231	0.120526	0.137077	0.116331	0.133657	0.0743164	0.105431	0.0698581	0.160355	0.0237634	0.03224	0.0330248	0.0155287	0.0441604	0.0495541	0.0166204	0.0232851	0.0302968	0.0344969	0.0889307	0.0289907	0.0545441	0.0224037	0.0337574	0.0405069	0.0147302	0.0132057	0.0365436	0.032203	0.203201	0.276768	0.0605679	0.0307484	0.416708	0.0120064	0.251284	0.230338	0.155362	0.363016	3.126034
1300	-14499.08	-14519.68	20.59657	0.130263	0.0975831	0.11223	0.0830009	0.130752	0.0682629	0.111476	0.0738889	0.0965934	0.171137	0.0744551	0.0768386	0.100035	0.0902904	0.110543	0.130624	0.127326	0.116982	0.117537	0.0892392	0.0923791	0.0662223	0.155945	0.0385236	0.0387641	0.0264434	0.00847012	0.0341265	0.0552347	0.0229653	0.0277684	0.0321722	0.0285359	0.0830861	0.0249893	0.0450819	0.0105625	0.0318745	0.0407314	0.023804	0.0285253	0.031581	0.0303324	0.204868	0.270379	0.0587541	0.0310006	0.420125	0.0148735	0.251284	0.230338	0.155362	0.363016	3.087176
1310	-14498.26	-14519.52	21.2567	0.124457	0.0985177	0.0911694	0.0827621	0.106768	0.0829068	0.111476	0.0735581	0.0863071	0.164433	0.0632643	0.0894566	0.0951571	0.0943862	0.114172	0.114776	0.121851	0.119219	0.126511	0.0710608	0.0936061	0.0851614	0.149571	0.0248526	0.0429685	0.0220412	0.0202423	0.0396983	0.0403592	0.00902531	0.0253215	0.0379821	0.0348875	0.0781338	0.0216585	0.0310156	0.0117163	0.047031	0.0397425	0.0258359	0.0247828	0.0461798	0.0371408	0.204432	0.269803	0.0641362	0.0287827	0.419231	0.0136148	0.256638	0.230298	0.153769	0.359295	3.021163
1320	-14507.36	-14526.9	19.53312	0.123983	0.108195	0.0983879	0.0883026	0.104549	0.0798808	0.135766	0.0663189	0.104931	0.190294	0.061811	0.0891807	0.108982	0.117051	0.126347	0.12542	0.114291	0.109858	0.106035	0.0863469	0.0790231	0.0902179	0.187252	0.0262001	0.0365591	0.0226659	0.0112026	0.0400676	0.0367615	0.0188973	0.0356329	0.0312279	0.0353651	0.0789974	0.0310073	0.0628332	0.0305522	0.0353833	0.0540858	0.0193902	0.0175498	0.0410574	0.0256605	0.209388	0.262473	0.0547433	0.0309825	0.429396	0.0130168	0.264397	0.225983	0.157056	0.352564	3.193521
1330	-14501.31	-14521.03	19.71528	0.11756	0.107601	0.113026	0.103128	0.11667	0.0774265	0.153034	0.0793526	0.0888519	0.164246	0.0761011	0.0852454	0.10677	0.0991628	0.100789	0.127878	0.142067	0.132252	0.104646	0.0764008	0.0956681	0.0790072	0.177579	0.029181	0.0383529	0.0217736	0.0193511	0.0318805	0.0335081	0.0157511	0.0198173	0.0478867	0.0219424	0.0861922	0.0198956	0.0429708	0.0142951	0.0381514	0.0557154	0.0117686	0.0202151	0.0466938	0.035501	0.209832	0.263029	0.0548593	0.0294826	0.430305	0.0124921	0.266462	0.227748	0.150474	0.355317	3.175305
1340	-14505.81	-14525.85	20.04534	0.129378	0.0874776	0.0997768	0.117485	0.0962382	0.0741356	0.117923	0.0875807	0.100291	0.160253	0.0903872	0.0636825	0.105149	0.0991628	0.107497	0.130809	0.147728	0.100583	0.133881	0.0769964	0.0973446	0.0861119	0.142351	0.0329406	0.0429178	0.0237245	0.0168218	0.0486704	0.0529832	0.0253922	0.0326103	0.0241397	0.0420128	0.0845139	0.0303171	0.0393319	0.0240434	0.0294304	0.0451219	0.0138222	0.0165284	0.0232283	0.0415254	0.209698	0.262862	0.0548244	0.0294638	0.430032	0.0131196	0.249389	0.229591	0.158173	0.362846	3.142299
1350	-14504.04	-14524.66	20.61634	0.110349	0.0828439	0.0912504	0.107224	0.0854162	0.0702175	0.117923	0.0736075	0.0853647	0.169678	0.0651382	0.0949944	0.105149	0.109197	0.108577	0.114146	0.0994552	0.128646	0.137043	0.0929728	0.0822004	0.0740522	0.172856	0.0201336	0.0467131	0.023979	0.0217487	0.0486783	0.0428876	0.0177699	0.0292389	0.0233028	0.0231952	0.0943616	0.0366198	0.0441782	0.0270373	0.0461516	0.0481115	0.0194649	0.0233878	0.0385239	0.0314147	0.225825	0.261346	0.0545082	0.0251423	0.421868	0.0113106	0.249507	0.2297	0.158248	0.362545	3.085199
1360	-14498.83	-14519.58	20.751	0.144106	0.0890474	0.0858149	0.106872	0.107371	0.0590788	0.124474	0.0795253	0.0779681	0.172184	0.071911	0.0867552	0.0997444	0.0857112	0.116135	0.131791	0.0977998	0.107687	0.121333	0.0635161	0.0940252	0.0984031	0.169191	0.0227443	0.0387175	0.0236302	0.0212626	0.0388953	0.0508925	0.0182687	0.0211656	0.032994	0.0315283	0.0943616	0.0178135	0.0400978	0.0223229	0.0471641	0.0443649	0.0164394	0.013049	0.048206	0.0373707	0.222173	0.261937	0.0546316	0.0295165	0.422823	0.00891764	0.251278	0.23133	0.152274	0.365118	3.071733
1370	-14501.72	-14522.56	20.83694	0.121057	0.0969943	0.118081	0.0992808	0.0893336	0.0728532	0.100829	0.0798064	0.0864572	0.172184	0.0832393	0.0910993	0.11918	0.118692	0.118281	0.135716	0.108288	0.0842078	0.115056	0.0679291	0.0861835	0.0965229	0.158375	0.0254455	0.0369632	0.0221039	0.0169839	0.0446895	0.0536734	0.0207065	0.0106411	0.0302281	0.0248039	0.0943616	0.0304216	0.0327928	0.0258668	0.0324225	0.0443649	0.023687	0.00658598	0.0365766	0.0301723	0.214011	0.283894	0.0560047	0.0284321	0.407289	0.0103704	0.251278	0.23133	0.152274	0.365118	3.063139
1380	-14500.73	-14521.36	20.63352	0.125166	0.110095	0.0923274	0.0992808	0.0904422	0.0808045	0.107293	0.0667941	0.0864572	0.169575	0.0828608	0.0788704	0.109588	0.096421	0.11676	0.141693	0.120321	0.0819247	0.120842	0.103108	0.0869998	0.0850952	0.161996	0.0262678	0.0480425	0.0312908	0.0190831	0.0398923	0.0491989	0.00824927	0.0226238	0.0309884	0.0357217	0.0849537	0.0288472	0.0479949	0.0180837	0.033514	0.0515326	0.0160792	0.0181407	0.0243313	0.0339296	0.213749	0.283547	0.0559364	0.0329412	0.406791	0.00703505	0.230248	0.237828	0.156551	0.375373	3.083481
1390	-14497.78	-14517.78	20.00333	0.155289	0.100477	0.096135	0.111746	0.0877607	0.0735464	0.122208	0.0746669	0.101578	0.176782	0.0867969	0.0838054	0.0920882	0.104803	0.116843	0.116981	0.14824	0.1024	0.112161	0.0828341	0.0869998	0.102693	0.164891	0.0266512	0.0443045	0.0195945	0.0190841	0.043796	0.0534865	0.00690363	0.0281247	0.0428552	0.0214947	0.0718538	0.0248801	0.0409345	0.0227679	0.0341849	0.0532301	0.0175658	0.0128125	0.0312789	0.028969	0.212953	0.282491	0.0594734	0.0318511	0.405277	0.00795375	0.230524	0.238113	0.155539	0.375823	3.1465
1400	-14502.37	-14523.13	20.76598	0.138098	0.0963813	0.0821471	0.0802792	0.126808	0.0665588	0.103715	0.0808452	0.0998603	0.182418	0.0741424	0.0835394	0.100215	0.0892299	0.105466	0.125438	0.101431	0.119132	0.120458	0.0977167	0.0890489	0.0978101	0.158558	0.0212302	0.035146	0.0232061	0.025342	0.0463938	0.0428288	0.00966689	0.0290529	0.02945	0.0382439	0.0858892	0.018175	0.0484811	0.0256118	0.0268913	0.0506448	0.0135798	0.0121316	0.0438392	0.0251338	0.213417	0.283106	0.0547301	0.0319204	0.406158	0.0106689	0.230524	0.238113	0.155539	0.375823	3.070235
1410	-14507.73	-14529.14	21.40486	0.113841	0.11285	0.0977473	0.0746561	0.116059	0.0670547	0.112026	0.0752309	0.0858983	0.158721	0.0731134	0.0883061	0.0803304	0.0960004	0.120546	0.133849	0.144954	0.109397	0.11096	0.116137	0.0778955	0.0819281	0.144328	0.0294542	0.0372258	0.0340458	0.015438	0.0303238	0.0380033	0.0170401	0.0357743	0.0412189	0.0204342	0.0659068	0.0209552	0.0403983	0.0167354	0.0338248	0.0401176	0.0127967	0.0212802	0.0238038	0.0397432	0.212744	0.282213	0.0594869	0.0318198	0.404878	0.00885857	0.228615	0.236141	0.162534	0.37271	3.006347
1420	-14517.48	-14537.76	20.2829	0.113841	0.104374	0.10026	0.0873383	0.103937	0.0682092	0.132546	0.0661765	0.0959394	0.185046	0.056858	0.0722126	0.100629	0.0955378	0.106837	0.122978	0.149093	0.107932	0.158513	0.0687017	0.0712589	0.0857186	0.180249	0.0281297	0.056331	0.0324498	0.0214769	0.0485401	0.0554824	0.0114851	0.0267647	0.0275331	0.0128622	0.0709127	0.0305672	0.0360742	0.0149393	0.0582723	0.0364097	0.0193314	0.0225695	0.0292759	0.0449508	0.212441	0.26859	0.0669572	0.0364916	0.404301	0.0112193	0.225962	0.239421	0.160648	0.373969	3.118543
1430	-14500.32	-14521.64	21.32299	0.135987	0.104434	0.119068	0.0831303	0.117371	0.0689383	0.101225	0.0607863	0.0808941	0.163083	0.0901054	0.0765754	0.0940887	0.0859479	0.129667	0.110152	0.111966	0.111315	0.114012	0.0818998	0.0799556	0.0915881	0.159615	0.0322988	0.0445061	0.0233102	0.0173493	0.0378375	0.046695	0.0144497	0.0311864	0.0373755	0.0210635	0.0785578	0.0230721	0.0341556	0.0305259	0.033121	0.0396228	0.014426	0.013446	0.038791	0.0309385	0.226395	0.268384	0.0669059	0.0261005	0.403992	0.00822249	0.225962	0.239421	0.160648	0.373969	3.014534
1440	-14504.28	-14524.28	19.99468	0.135987	0.11599	0.0911841	0.091736	0.107032	0.0726317	0.121229	0.0835212	0.078759	0.207597	0.0831797	0.0868023	0.0874924	0.0978533	0.121075	0.130516	0.123047	0.114255	0.107909	0.0856117	0.0720727	0.0733551	0.156694	0.0281165	0.0458214	0.0132521	0.0144277	0.0434459	0.0462595	0.019274	0.0279051	0.0335494	0.0163857	0.104083	0.0233811	0.0467512	0.0204788	0.047004	0.0563625	0.0263804	0.0124377	0.0368696	0.039651	0.22649	0.268497	0.066934	0.0261115	0.404161	0.0078058	0.223656	0.239813	0.160911	0.37562	3.147365
1450	-14510.31	-14529.64	19.33155	0.183188	0.100226	0.120575	0.0938167	0.107032	0.0784544	0.110955	0.0651412	0.0799797	0.179224	0.0812946	0.0901309	0.0956709	0.130256	0.107283	0.14674	0.123047	0.114211	0.125065	0.0681876	0.0823197	0.0669035	0.179444	0.0279335	0.0492222	0.0262072	0.0184253	0.0435526	0.0455644	0.0329834	0.0308616	0.0300471	0.0311058	0.0870619	0.019852	0.0494642	0.0130598	0.0425482	0.0584192	0.0133555	0.00844796	0.0290643	0.0273545	0.225009	0.266741	0.0664964	0.0259408	0.401519	0.0142932	0.23056	0.239658	0.165878	0.363905	3.213678
1460	-14499.57	-14519.77	20.19844	0.110457	0.0874826	0.111401	0.108475	0.107032	0.0771121	0.123914	0.10346	0.0992204	0.179224	0.0758364	0.0740906	0.0959042	0.0993132	0.105653	0.122926	0.126108	0.114211	0.125065	0.0930394	0.0781772	0.0855235	0.151133	0.0203986	0.0509097	0.0138777	0.0203038	0.0482857	0.0380767	0.0201726	0.0191632	0.0408404	0.0250541	0.0884206	0.0229942	0.0494094	0.0244865	0.034019	0.0617641	0.0168653	0.0102278	0.0430727	0.0238881	0.227026	0.269132	0.0637782	0.0219185	0.405118	0.0130271	0.234602	0.24386	0.151254	0.370285	3.126989
1470	-14507.28	-14526.45	19.16852	0.145454	0.101884	0.102999	0.126503	0.0971436	0.0806463	0.121003	0.0811601	0.0875421	0.198167	0.0778056	0.0732423	0.115629	0.0931375	0.10548	0.121804	0.127376	0.114211	0.125065	0.086783	0.0996838	0.0834846	0.172644	0.0168772	0.0392969	0.0261017	0.0329129	0.0329958	0.0626049	0.0164797	0.022555	0.0427773	0.0318538	0.0820384	0.0168051	0.0426314	0.0232804	0.0254937	0.0589243	0.0185159	0.0268899	0.0315652	0.0405331	0.214416	0.273458	0.0633782	0.0334451	0.402578	0.0127252	0.234602	0.24386	0.151254	0.370285	3.229981
1480	-14499.88	-14520.84	20.96277	0.115443	0.088856	0.116166	0.0859863	0.113674	0.0760672	0.114589	0.0734107	0.101367	0.164361	0.0741865	0.0661179	0.122575	0.088493	0.107316	0.14192	0.110809	0.101523	0.107829	0.0907243	0.106256	0.104955	0.167773	0.0257495	0.0387394	0.0188572	0.0206974	0.0339897	0.0460269	0.00782661	0.0135837	0.0287766	0.0234863	0.0996279	0.0244832	0.0352161	0.0172127	0.0388251	0.0442148	0.016897	0.0165124	0.0305248	0.0289088	0.21575	0.28066	0.0594432	0.0331023	0.398451	0.0125948	0.23926	0.227974	0.154257	0.378509	3.050556
1490	-14505.4	-14526.58	21.18228	0.127858	0.106025	0.0763091	0.107542	0.116063	0.0592063	0.121499	0.0773321	0.081409	0.173701	0.0610302	0.092776	0.0920425	0.0885103	0.128956	0.133763	0.147425	0.116679	0.107151	0.0715905	0.0669579	0.0659025	0.142805	0.0281117	0.0363057	0.0223988	0.0186423	0.0490949	0.037338	0.0112315	0.0232134	0.0397142	0.0234257	0.0836854	0.0256267	0.0475053	0.0161337	0.0343018	0.043714	0.0220255	0.0268751	0.0396611	0.0370683	0.217588	0.283051	0.0599497	0.0248647	0.401845	0.0127021	0.24048	0.229136	0.149945	0.380439	3.028605
1500	-14503.39	-14524.58	21.18938	0.0961903	0.114428	0.104197	0.106279	0.10376	0.072956	0.12186	0.0588332	0.0855775	0.165722	0.0834631	0.0785818	0.0963433	0.109261	0.115601	0.131954	0.147425	0.0874175	0.105933	0.0915995	0.0941732	0.0940027	0.161052	0.0206651	0.0354479	0.0245553	0.0113107	0.0297126	0.042164	0.0253761	0.0274609	0.037875	0.0190691	0.0742251	0.0179254	0.0551429	0.00831886	0.0339481	0.0472602	0.0133371	0.0166249	0.0348561	0.0260099	0.216254	0.281315	0.0670574	0.0258239	0.399381	0.0101683	0.238335	0.220839	0.16378	0.377046	3.027895
1510	-14509.17	-14529.81	20.63337	0.104799	0.112878	0.107315	0.121268	0.0813206	0.0689495	0.142773	0.0638283	0.090603	0.179016	0.0792249	0.0842893	0.0769249	0.102696	0.0919825	0.140795	0.123365	0.0928128	0.11617	0.0925048	0.10338	0.108131	0.153668	0.0297353	0.0417308	0.0193504	0.0150901	0.0473639	0.0364996	0.0290805	0.0291727	0.0357654	0.0239919	0.0766262	0.0194093	0.0393504	0.0206956	0.0277219	0.0509862	0.0247093	0.0133932	0.0331737	0.0309532	0.22011	0.286332	0.0544555	0.0262844	0.406503	0.0063151	0.238335	0.220839	0.16378	0.377046	3.083496
1520	-14511.53	-14532.98	21.45077	0.140546	0.0857705	0.095375	0.0941303	0.0990258	0.0704984	0.131322	0.0661879	0.0720326	0.159671	0.0748872	0.0814446	0.0913082	0.107953	0.0949965	0.101637	0.137924	0.116609	0.11947	0.0841304	0.0649662	0.0924126	0.175708	0.019236	0.0319325	0.025236	0.00723391	0.048477	0.0397971	0.0148107	0.0234559	0.0435939	0.0201509	0.0847745	0.0238399	0.0338436	0.0206041	0.0383167	0.0481165	0.0253246	0.0280154	0.0417948	0.0251954	0.218188	0.283832	0.0627106	0.026055	0.402954	0.00625997	0.238335	0.220839	0.16378	0.377046	3.001756
1530	-14502.48	-14524.43	21.95185	0.102901	0.0871224	0.0930691	0.0957974	0.0990258	0.0670306	0.11342	0.0744385	0.0947737	0.182569	0.0850526	0.0676861	0.093826	0.0956072	0.105987	0.11769	0.132643	0.108136	0.098359	0.0896816	0.0787395	0.0793719	0.183663	0.0192917	0.0332497	0.0230543	0.0069937	0.044486	0.0395295	0.0266229	0.0176624	0.0337942	0.0211461	0.0741542	0.0303839	0.0416741	0.00760534	0.0330372	0.0400056	0.0234113	0.024848	0.049812	0.0142946	0.215775	0.280693	0.067478	0.0240085	0.398497	0.0135487	0.238487	0.220979	0.16325	0.377285	2.951648
1540	-14507.18	-14528.36	21.17469	0.119047	0.0968694	0.0963358	0.0999478	0.101764	0.0660268	0.141009	0.044171	0.108381	0.182569	0.0859511	0.0823389	0.0822572	0.0841427	0.105987	0.138703	0.115436	0.0926833	0.127299	0.0846059	0.0811018	0.0826766	0.156133	0.0201162	0.0310722	0.0277521	0.00936151	0.0405226	0.0378228	0.0157886	0.0333274	0.0412926	0.0169659	0.0923721	0.0330406	0.0466657	0.0204137	0.040305	0.0486364	0.0125466	0.0146112	0.0451652	0.0261493	0.216322	0.281404	0.067649	0.0224739	0.399507	0.0126444	0.23735	0.230384	0.15678	0.375486	3.029364
1550	-14509.54	-14529.75	20.21241	0.115802	0.0917799	0.0934288	0.111851	0.0967589	0.0807509	0.146898	0.0736897	0.102372	0.191748	0.0673226	0.0626059	0.0897099	0.100608	0.0984101	0.145949	0.143494	0.103802	0.108855	0.0835345	0.0873965	0.0826357	0.164401	0.023697	0.0383233	0.0240386	0.00955206	0.0393607	0.0427075	0.013505	0.0460911	0.037926	0.0514142	0.0826811	0.0166	0.0399891	0.0203791	0.0309468	0.052471	0.0149515	0.0162819	0.0449157	0.0359566	0.210622	0.29626	0.0666833	0.0222196	0.394985	0.00922887	0.23735	0.230384	0.15678	0.375486	3.125592
1560	-14506.55	-14527.7	21.15336	0.123932	0.103301	0.1029	0.0921505	0.115446	0.0758805	0.0947404	0.0713175	0.0686409	0.18549	0.0829652	0.0869337	0.0855057	0.098753	0.122398	0.113936	0.111038	0.0893196	0.1388	0.0608822	0.0937671	0.0936986	0.147312	0.0185123	0.0365565	0.0273873	0.0191206	0.0467959	0.0454006	0.0185122	0.0322777	0.0280977	0.0374237	0.0636662	0.0217925	0.0474371	0.0303684	0.0332305	0.0447321	0.0216732	0.0162621	0.053446	0.0296969	0.211302	0.297216	0.0595245	0.0249295	0.39626	0.0107679	0.233952	0.236734	0.159203	0.370111	3.031497
1570	-14498.08	-14519.49	21.41454	0.133172	0.0913095	0.0795164	0.0986207	0.103972	0.0714262	0.113298	0.07202	0.088921	0.178495	0.073387	0.0787804	0.081397	0.102192	0.11311	0.124121	0.12538	0.100125	0.109361	0.0729592	0.0839633	0.103648	0.148511	0.0249438	0.0453673	0.017422	0.0151823	0.0461379	0.0399333	0.0194291	0.0241946	0.0345289	0.0419092	0.0847796	0.0248092	0.0540723	0.0177531	0.0334651	0.0376277	0.0164974	0.0154777	0.0381626	0.0260028	0.232946	0.287087	0.059966	0.0240798	0.382754	0.0131672	0.233952	0.236734	0.159203	0.370111	3.005379
1580	-14509.46	-14530.08	20.61425	0.133172	0.0913095	0.0963543	0.112466	0.0975667	0.0804632	0.120106	0.0648251	0.101778	0.178593	0.0779712	0.0974765	0.0965817	0.0907219	0.0975013	0.119051	0.123564	0.121839	0.10578	0.0852475	0.0840901	0.0736465	0.156909	0.0237442	0.0444752	0.0168448	0.0156186	0.0432183	0.044624	0.00594795	0.0227368	0.0233726	0.0404711	0.0913131	0.0309645	0.0362411	0.0200092	0.0401557	0.0612588	0.0261692	0.0126998	0.0295889	0.0489422	0.234294	0.288748	0.0625258	0.0194456	0.38497	0.0100166	0.232098	0.248424	0.1497	0.369777	3.085408
1590	-14505.83	-14526.74	20.908	0.129697	0.109989	0.122348	0.087785	0.100209	0.0675514	0.100215	0.068784	0.0811536	0.178593	0.0907473	0.0667554	0.10127	0.102302	0.126275	0.126099	0.120096	0.121839	0.109681	0.0852475	0.0817672	0.0953414	0.170914	0.0302046	0.0491463	0.0249613	0.0180153	0.042938	0.0319446	0.0118081	0.0215213	0.0299851	0.0386974	0.0810454	0.0208421	0.0382962	0.018478	0.0306852	0.0396261	0.0110242	0.0065834	0.0273402	0.0382303	0.226021	0.28919	0.0626214	0.0224647	0.385559	0.0141442	0.232098	0.248424	0.1497	0.369777	3.056034
1600	-14511.66	-14532.06	20.39978	0.143386	0.0718439	0.105707	0.0846783	0.109933	0.093875	0.135127	0.0752944	0.124733	0.178593	0.0714744	0.0765458	0.0982795	0.0874117	0.126282	0.124591	0.123922	0.104594	0.120684	0.0670726	0.0789225	0.0878495	0.170507	0.0232548	0.0432634	0.0149608	0.00806231	0.0468877	0.0355486	0.0149087	0.0279682	0.0274674	0.0227478	0.0749899	0.0332397	0.0446978	0.0144938	0.0297234	0.0486893	0.0227091	0.00940801	0.0507609	0.051768	0.19975	0.297751	0.0644752	0.0264897	0.396972	0.0145629	0.235565	0.2372	0.151936	0.3753	3.106855
1610	-14515.36	-14536.74	21.38568	0.120311	0.12102	0.0682788	0.0846783	0.0931196	0.0866862	0.124077	0.0828723	0.0879276	0.160447	0.0822365	0.0709097	0.0986731	0.100555	0.0984584	0.124591	0.124512	0.116958	0.134655	0.0899728	0.0775992	0.0897158	0.152657	0.0391275	0.0297753	0.0235563	0.0233629	0.0363825	0.0523505	0.0100557	0.0129366	0.033559	0.026378	0.085339	0.0311271	0.0262623	0.0189129	0.0234132	0.0482703	0.0253426	0.0112029	0.0316504	0.0283497	0.210665	0.266074	0.0669227	0.0274952	0.412041	0.0168015	0.248446	0.233203	0.149375	0.368975	3.008266
