Iteration	Posterior	Likelihood	Prior	bl[1]	bl[2]	bl[3]	bl[4]	bl[5]	bl[6]	bl[7]	bl[8]	bl[9]	bl[10]	bl[11]	bl[12]	bl[13]	bl[14]	bl[15]	bl[16]	bl[17]	bl[18]	bl[19]	bl[20]	bl[21]	bl[22]	bl[23]	bl[24]	bl[25]	bl[26]	bl[27]	bl[28]	bl[29]	bl[30]	bl[31]	bl[32]	bl[33]	bl[34]	bl[35]	bl[36]	bl[37]	bl[38]	bl[39]	bl[40]	bl[41]	bl[42]	bl[43]	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	pi[1]	pi[2]	pi[3]	pi[4]	TL
100	-14508.54	-14529.03	20.48629	0.111111	0.131008	0.0913121	0.0885218	0.0996779	0.0640856	0.0949361	0.0688015	0.0964977	0.200931	0.0603138	0.0931655	0.10303	0.0987617	0.115172	0.13326	0.122412	0.118501	0.120486	0.0851975	0.0970193	0.098918	0.169607	0.0288712	0.0435711	0.0191809	0.0177953	0.0527655	0.046163	0.0243754	0.0286883	0.0240367	0.0222026	0.0794301	0.0193841	0.0427222	0.0150955	0.0282205	0.0577765	0.0173722	0.0110561	0.0308624	0.0259087	0.226274	0.274529	0.058491	0.0346521	0.391842	0.0142114	0.226209	0.245556	0.146243	0.381991	3.098204
110	-14512.55	-14532.39	19.84764	0.129842	0.115678	0.110525	0.0896674	0.110895	0.0845785	0.11157	0.0794758	0.0963743	0.160102	0.100886	0.0733397	0.10303	0.106112	0.114765	0.115287	0.142102	0.11115	0.130712	0.0847085	0.0844119	0.106718	0.143166	0.0212688	0.0317621	0.0222842	0.0193704	0.0358767	0.0376766	0.0160367	0.0391743	0.0307491	0.0206611	0.106539	0.0277688	0.0363747	0.0163496	0.0432802	0.0437559	0.0253942	0.00833892	0.0332759	0.0410364	0.227066	0.275489	0.0568648	0.0331061	0.393213	0.0142612	0.226209	0.245556	0.146243	0.381991	3.162069
120	-14502.98	-14524.54	21.55409	0.126864	0.0887664	0.0943462	0.0863273	0.1005	0.0735079	0.119807	0.0653277	0.0828286	0.178291	0.0774299	0.0805888	0.0732637	0.0960729	0.0992949	0.127302	0.117821	0.11115	0.130712	0.0784398	0.0844119	0.0737759	0.180039	0.0200771	0.0486618	0.0214489	0.01305	0.0321054	0.0473234	0.0220756	0.0401537	0.031068	0.0326503	0.0860416	0.0181402	0.0384493	0.0150466	0.0421428	0.049144	0.0125704	0.0180567	0.0293367	0.0270137	0.228845	0.277649	0.0622266	0.0222314	0.396294	0.0127538	0.223974	0.243129	0.154681	0.378216	2.991424
130	-14508.87	-14529.3	20.43505	0.136184	0.143042	0.0981372	0.116498	0.1005	0.060619	0.121003	0.063124	0.088302	0.186104	0.0836809	0.0906838	0.0917443	0.0960729	0.116936	0.149596	0.118832	0.108365	0.138682	0.0738171	0.0744261	0.0818605	0.159064	0.0268047	0.0309116	0.020026	0.0143894	0.0482496	0.032588	0.00834571	0.0365312	0.0350146	0.0276828	0.0689826	0.013763	0.0386023	0.0144592	0.0349572	0.0378425	0.0157622	0.0156348	0.0512668	0.0342416	0.228516	0.277249	0.062137	0.0221994	0.395724	0.0141751	0.223964	0.244263	0.154674	0.377099	3.103329
140	-14513.06	-14533.7	20.64694	0.112776	0.0962972	0.089545	0.11497	0.0838953	0.0869702	0.121003	0.0771086	0.0981241	0.186104	0.0752831	0.0756808	0.0880848	0.0831518	0.153306	0.116104	0.13682	0.108365	0.127061	0.0858732	0.0893165	0.0859765	0.175831	0.0176871	0.0427407	0.0164099	0.0108083	0.0522707	0.0409733	0.0228273	0.0295524	0.0248664	0.0207972	0.0782574	0.0166574	0.0551538	0.0124704	0.0203099	0.0467662	0.0289428	0.00783892	0.0282847	0.0408773	0.227891	0.27649	0.0668486	0.0221386	0.392496	0.0141363	0.228003	0.242992	0.153869	0.375136	3.082139
150	-14508.43	-14528.84	20.41173	0.11945	0.097607	0.0971691	0.120192	0.106323	0.0738449	0.129745	0.0745744	0.0972365	0.173762	0.0706174	0.077464	0.100859	0.113519	0.139584	0.126293	0.113881	0.105967	0.0970213	0.0800812	0.0893976	0.0929115	0.142203	0.0314275	0.0510885	0.0223048	0.0167554	0.0346805	0.0532201	0.0253801	0.0311122	0.0333321	0.0213025	0.0781108	0.0262529	0.0406858	0.00812251	0.026295	0.0579847	0.0271216	0.0104728	0.0487937	0.021512	0.222615	0.27009	0.0653011	0.0260279	0.402156	0.0138091	0.228003	0.242992	0.153869	0.375136	3.10566
160	-14504.05	-14523.91	19.86248	0.120193	0.113142	0.0945628	0.0826662	0.108302	0.0689077	0.113769	0.0738163	0.0816935	0.194048	0.0794913	0.0923138	0.0906737	0.113675	0.122841	0.139759	0.121284	0.123345	0.122078	0.0591067	0.0835623	0.080048	0.16558	0.0237706	0.0380022	0.0314208	0.0204513	0.0411362	0.0399854	0.024575	0.031388	0.0271326	0.0300934	0.101342	0.0230931	0.0454964	0.0171898	0.0438703	0.0570935	0.0251017	0.0218551	0.0319634	0.040765	0.207549	0.286859	0.060552	0.0349585	0.398295	0.0117867	0.243352	0.234075	0.152422	0.37015	3.160585
170	-14511.29	-14531.38	20.09309	0.11307	0.123658	0.116505	0.0826662	0.111559	0.0902481	0.124526	0.085799	0.0740084	0.213252	0.088286	0.0663864	0.0926148	0.101514	0.13314	0.149695	0.123528	0.124208	0.124557	0.0706483	0.079194	0.076299	0.169387	0.0145982	0.037725	0.017851	0.0168935	0.0452542	0.0517597	0.0166961	0.0156463	0.0333304	0.0318371	0.0739763	0.0169974	0.028528	0.0188933	0.0422917	0.0549393	0.012334	0.0120452	0.0331172	0.02806	0.210955	0.2796	0.0615457	0.0310883	0.404831	0.0119801	0.243352	0.234075	0.152422	0.37015	3.137524
180	-14502.49	-14523.17	20.67815	0.136633	0.116217	0.110717	0.116026	0.106548	0.0750478	0.119671	0.0657178	0.0836222	0.150894	0.0826146	0.0676958	0.0943974	0.0969068	0.0841567	0.133394	0.12284	0.103971	0.124142	0.0835951	0.0731792	0.0917346	0.169387	0.0231249	0.0434959	0.0393131	0.0235859	0.0460728	0.0434745	0.0222025	0.0166709	0.0399591	0.0290727	0.0841294	0.0106658	0.0559455	0.0192907	0.0371701	0.045758	0.0198068	0.0131238	0.0328094	0.0242378	0.211319	0.280083	0.061652	0.0273397	0.40553	0.0140757	0.243352	0.234075	0.152422	0.37015	3.079018
190	-14522.67	-14543.76	21.08976	0.118093	0.125721	0.0841687	0.10558	0.0992843	0.0611874	0.103401	0.0675466	0.0960088	0.16103	0.0759592	0.0706702	0.104794	0.112964	0.101645	0.1189	0.14153	0.120212	0.0987325	0.076847	0.0827179	0.0792686	0.143882	0.0286722	0.0313063	0.0328842	0.0140059	0.0320906	0.0319604	0.0259051	0.0434765	0.0451372	0.025643	0.0985847	0.00546797	0.0467489	0.0123809	0.0388021	0.0580428	0.017089	0.0146061	0.0523885	0.0325218	0.212135	0.281164	0.0618901	0.0235836	0.407096	0.0141301	0.244255	0.233796	0.15224	0.369709	3.037857
200	-14505.85	-14526.33	20.4783	0.132377	0.111202	0.113879	0.10558	0.112408	0.0793915	0.111259	0.0642787	0.0892094	0.178252	0.096222	0.0797633	0.110256	0.10254	0.115743	0.134377	0.114859	0.101255	0.113724	0.0739331	0.0799285	0.0792686	0.16826	0.0143501	0.0372427	0.0282085	0.0214753	0.0405248	0.0390498	0.021985	0.0319556	0.0342092	0.0307757	0.0835242	0.00637312	0.0341078	0.0265639	0.0302594	0.0555571	0.0222986	0.00843469	0.0333877	0.0307539	0.214585	0.277968	0.0626047	0.0291107	0.398491	0.0172403	0.245012	0.239956	0.147209	0.367823	3.099003
210	-14512.68	-14533.01	20.32129	0.121324	0.10965	0.123122	0.0952118	0.106415	0.0762584	0.144105	0.0780421	0.0778101	0.176289	0.0794989	0.0758241	0.084809	0.108685	0.105293	0.134377	0.142884	0.110846	0.131219	0.0672559	0.0771707	0.0794923	0.128429	0.0342734	0.0318345	0.0152672	0.0390431	0.0324046	0.0467661	0.0229195	0.0200226	0.0472001	0.0311432	0.0989811	0.0150502	0.0336963	0.0154661	0.0413611	0.0555571	0.0153545	0.0245401	0.0418782	0.0179353	0.208275	0.269794	0.0554774	0.0316084	0.422685	0.0121608	0.245012	0.239956	0.147209	0.367823	3.114704
220	-14503.34	-14525.47	22.1379	0.133363	0.0927286	0.0935274	0.109482	0.100076	0.0797893	0.106284	0.0678182	0.0866751	0.156378	0.0775046	0.0880166	0.078816	0.108685	0.117295	0.121343	0.111585	0.110846	0.107944	0.0729987	0.0771707	0.073858	0.152474	0.0266048	0.0332461	0.025095	0.0159571	0.0415705	0.0342521	0.0178505	0.0314268	0.0335196	0.0153038	0.0722429	0.0193356	0.0374602	0.0118952	0.0359152	0.0410047	0.0284611	0.0117236	0.0369278	0.0385923	0.218883	0.283536	0.0583032	0.0313363	0.399539	0.00840285	0.233819	0.243513	0.149392	0.373276	2.933043
230	-14506.08	-14525.94	19.85532	0.132496	0.109239	0.0926915	0.11474	0.0983659	0.0752323	0.138224	0.0927838	0.0912765	0.202428	0.071862	0.0674207	0.106852	0.109037	0.0982943	0.128249	0.133936	0.099644	0.115363	0.0696489	0.0841932	0.0824577	0.159217	0.0358662	0.0483185	0.0275523	0.0168661	0.0362092	0.0504034	0.0262377	0.0389665	0.0312642	0.0215229	0.0854899	0.0207988	0.0391891	0.0118056	0.0426858	0.0345619	0.0185005	0.0062695	0.055311	0.0398313	0.222695	0.267395	0.0593185	0.031882	0.406496	0.0122132	0.242492	0.240757	0.147701	0.36905	3.161301
240	-14506.14	-14527.38	21.24626	0.109665	0.107727	0.101996	0.0902017	0.0983659	0.0571106	0.0943392	0.0884816	0.101174	0.159434	0.0788374	0.0723067	0.0993313	0.0920278	0.0945557	0.113746	0.126121	0.121954	0.116948	0.0874565	0.0987545	0.0922131	0.166324	0.0320939	0.0415265	0.0263377	0.0215142	0.0399562	0.0444005	0.019421	0.0333602	0.0278575	0.0170511	0.0807012	0.0310764	0.0382252	0.0129618	0.0342722	0.0445737	0.030394	0.0116456	0.0333938	0.0323743	0.222421	0.267066	0.0592456	0.0330724	0.405997	0.0121982	0.240454	0.238734	0.146459	0.374353	3.022207
250	-14513.61	-14534.91	21.30331	0.105746	0.101488	0.104144	0.0976899	0.0862333	0.0750126	0.0886591	0.0546144	0.0852902	0.165932	0.0712062	0.0859703	0.0962499	0.0802428	0.136752	0.123629	0.132156	0.101901	0.130194	0.0874565	0.0809803	0.0874924	0.16502	0.0203806	0.0471333	0.030045	0.0160716	0.0299398	0.0358749	0.0225822	0.0282228	0.0390027	0.0180345	0.0873845	0.0204177	0.0523468	0.0119637	0.0468728	0.0650879	0.0228656	0.0171889	0.0365953	0.0244326	0.215445	0.292711	0.0541409	0.0320351	0.393263	0.0124059	0.240454	0.238734	0.146459	0.374353	3.016502
