Iteration	Posterior	Likelihood	Prior	age_ursinae	alpha_cytb	branch_rates[1]	branch_rates[2]	branch_rates[3]	branch_rates[4]	branch_rates[5]	branch_rates[6]	branch_rates[7]	branch_rates[8]	branch_rates[9]	branch_rates[10]	branch_rates[11]	branch_rates[12]	branch_rates[13]	branch_rates[14]	branch_rates[15]	branch_rates[16]	branch_rates[17]	branch_rates[18]	branch_rates_mean	diversification	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	extant_mrca	extinction_rate	rates_cytb[1]	rates_cytb[2]	rates_cytb[3]	rates_cytb[4]	sf[1]	sf[2]	sf[3]	sf[4]	speciation_rate	turnover
0	-26.51087	0	-26.51087	15.84458	1	0.0410115	0.104702	0.0460015	0.120529	0.132754	0.0055396	0.0124052	0.017189	0.146427	0.177673	0.0806535	0.497694	0.294187	0.0380431	0.298665	0.10048	0.641598	0.0152426	0.1180594	0.06305385	0.209835	0.0470352	0.100279	0.385778	0.225901	0.0311714	17.50554	0.01076729	0.136954	0.476752	1	2.38629	0.0981004	0.341507	0.2655	0.294892	0.07382114	0.1458565
10	-20.81481	0	-20.81481	13.60179	0.6669937	0.082409	0.139936	0.101176	0.0639933	0.0332379	0.0734681	0.0108563	0.0189127	0.143683	0.184539	0.548201	0.0625593	0.00508152	0.124353	0.149784	0.0577485	0.174991	0.0902873	0.1031527	0.1218069	0.218188	0.0255492	0.0443631	0.117814	0.581332	0.0127539	44.17993	0.005486314	0.0671569	0.347531	0.911995	2.67332	0.0846306	0.620221	0.168825	0.126323	0.1272932	0.04309981
20	-8.853341	0	-8.853341	10.8558	1.40988	0.0441332	0.0400126	0.0382978	0.0258669	0.00914892	0.0454838	0.00718645	0.00375821	0.012987	0.0151221	0.17709	0.0612216	0.338647	0.1144	0.0416127	0.0331197	0.0158632	0.0857984	0.08847323	0.1373667	0.0651579	0.0525368	0.0803431	0.212992	0.570663	0.0183081	34.51793	0.007881184	0.211059	0.572835	1.04466	2.17145	0.0981429	0.555143	0.211982	0.134733	0.1452479	0.05426025
30	-14.94033	0	-14.94033	6.823814	0.8450898	0.0173217	0.147276	0.0179411	0.08803	0.105041	0.0504952	0.00955849	0.0926504	0.0290728	0.0711251	0.018661	0.00981982	0.126806	0.189688	0.19176	0.112747	0.120591	0.122632	0.05479074	0.05570734	0.0966506	0.0548068	0.0619439	0.182776	0.587959	0.0158638	42.95335	0.07268011	0.105111	0.424673	0.968706	2.50151	0.341118	0.119106	0.403554	0.136222	0.1283875	0.5660998
40	-23.4246	0	-23.4246	22.19229	0.8161775	0.0375633	0.0405683	0.0390369	0.0512287	0.32111	0.157919	0.0149014	0.0212302	0.146827	0.107799	0.0178503	0.163729	0.0349781	0.216486	0.158798	0.249085	0.107583	0.114464	0.1238102	-0.03318431	0.15535	0.0760816	0.0222171	0.160618	0.573753	0.0119805	25.574	0.2452088	0.0989962	0.413567	0.961339	2.5261	0.409776	0.0143923	0.31218	0.263652	0.2120244	1.156512
50	-28.30854	0	-28.30854	8.991961	1.526788	0.0304184	0.100408	0.0237298	0.0138147	0.333691	0.306994	0.010692	0.0252509	0.318371	0.250832	0.00966279	0.0370343	0.171538	0.141965	0.739538	0.30525	0.171577	0.0839595	0.2041163	-0.1396481	0.337303	0.0892154	0.0181095	0.248729	0.296241	0.0104022	23.53022	0.1924825	0.229431	0.592955	1.05196	2.12566	0.233634	0.0421485	0.404851	0.319367	0.05283447	3.643125
60	-23.81489	0	-23.81489	13.8617	2.784975	0.0743843	0.0431789	0.0586848	0.071777	0.530776	0.0901208	0.0101732	0.0128308	0.135205	0.149111	0.0275002	0.0878748	0.221133	0.194605	0.151799	0.126467	0.00310791	0.161602	0.1595385	-0.09030007	0.262064	0.0799807	0.0226186	0.278286	0.348283	0.00876788	33.69267	0.1399088	0.371911	0.718882	1.08123	1.82798	0.0573276	0.026268	0.580711	0.335694	0.04960875	2.820245
70	-19.9758	0	-19.9758	14.10432	1.405905	0.156431	0.0883139	0.10518	0.0629956	0.527461	0.121393	0.115727	0.0690706	0.156031	0.0788983	0.00667953	0.0679772	0.124805	0.0725876	0.125019	0.0130944	0.0348496	0.0324673	0.1420084	0.09598648	0.187032	0.096992	0.0265558	0.0786704	0.60112	0.00962909	41.52663	0.122706	0.210414	0.572106	1.04438	2.1731	0.0614149	0.145117	0.391999	0.401469	0.2186924	0.5610892
80	-22.15411	0	-22.15411	10.75384	1.090306	0.250252	0.0598628	0.453202	0.0875297	0.174546	0.0926778	0.25741	0.0803771	0.109154	0.17233	0.00817002	0.0865901	0.0884935	0.0579041	0.0345763	0.121466	0.21469	0.0941954	0.1874477	0.057178	0.309861	0.192895	0.0194284	0.0568417	0.410797	0.0101778	27.42279	0.2270588	0.154612	0.502309	1.01349	2.32959	0.105136	0.146542	0.272531	0.475791	0.2842368	0.7988368
90	-17.44676	0	-17.44676	26.31391	1.580845	0.177602	0.315142	0.0655584	0.00868033	0.0505543	0.140981	0.250355	0.0159696	0.043655	0.0653448	0.00674263	0.128386	0.0441878	0.0536046	0.0335284	0.0317299	0.164489	0.162068	0.08411818	-0.1156118	0.275111	0.313976	0.0139984	0.0284068	0.357137	0.0113708	38.54218	0.2074511	0.237545	0.601482	1.05484	2.10614	0.104683	0.202582	0.309034	0.3837	0.09183925	2.25885
