Iteration	Posterior	Likelihood	Prior	age_ursinae	alpha_cytb	branch_rates[1]	branch_rates[2]	branch_rates[3]	branch_rates[4]	branch_rates[5]	branch_rates[6]	branch_rates[7]	branch_rates[8]	branch_rates[9]	branch_rates[10]	branch_rates[11]	branch_rates[12]	branch_rates[13]	branch_rates[14]	branch_rates[15]	branch_rates[16]	branch_rates[17]	branch_rates[18]	branch_rates_mean	diversification	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	extinction_rate	rates_cytb[1]	rates_cytb[2]	rates_cytb[3]	rates_cytb[4]	sf[1]	sf[2]	sf[3]	sf[4]	speciation_rate	turnover
120	-3713.461	-3705.945	-7.516144	0.6362734	0.1911261	0.364684	0.106758	0.0612866	0.161452	0.864032	0.209769	0.640497	0.147495	0.0496035	0.489075	0.222896	0.0939733	0.045296	0.0447584	0.434406	0.0293975	0.195345	0.303254	0.1909996	-0.02471204	0.0132209	0.515103	0.010526	0.0030848	0.452208	0.00585776	0.0452008	0.000385491	0.0288181	0.360104	3.61069	0.291378	0.302648	0.120484	0.28549	0.02048876	2.206127
130	-3718.69	-3716.005	-2.685012	0.5978059	0.2062777	0.340417	0.118209	0.00993477	0.070332	0.297789	0.0948685	0.209834	0.227862	0.0641771	0.355064	0.106781	0.465306	0.402222	0.157249	0.117338	0.0602133	0.191093	0.289735	0.1768597	-0.02189526	0.0137881	0.511038	0.00851087	0.00314943	0.454717	0.00879595	0.03355485	0.000655403	0.0374738	0.399843	3.56203	0.295964	0.295102	0.120095	0.288839	0.01165959	2.877875
140	-3719.759	-3714.932	-4.82743	0.6096725	0.2161696	0.215478	0.0938451	0.176892	0.460499	0.358914	0.157307	0.199888	0.352568	0.0860031	0.332248	0.0677709	0.366932	0.08043	0.0417055	0.292534	0.0897442	0.191	0.408888	0.2028358	-0.02026334	0.0115943	0.493699	0.00986863	0.0133059	0.463678	0.00785416	0.03721706	0.000890247	0.0435933	0.424528	3.53099	0.316503	0.280219	0.152817	0.250461	0.01695372	2.195215
150	-3728.194	-3713.82	-14.37354	0.805883	0.1748911	0.656068	0.0992979	0.110303	0.736235	0.234062	0.153351	0.183559	0.63273	0.0335868	0.299239	0.0397989	0.0506881	0.083712	0.0492937	0.0886239	1.61463	0.188387	0.908784	0.3293579	-0.05443695	0.0126973	0.540663	0.00690121	0.0174143	0.416142	0.00618221	0.07449141	0.000197053	0.0206603	0.315048	3.66409	0.293674	0.307788	0.135879	0.262659	0.02005446	3.714456
160	-3722.853	-3712.013	-10.8402	0.7017517	0.2265013	0.271915	0.0999069	0.00796163	0.0426902	1.06736	0.642885	0.684959	0.227475	0.0469709	0.424337	0.120752	0.368481	0.0418639	0.112914	0.173334	0.203021	0.174189	0.388632	0.2905996	-0.03661552	0.00971409	0.512736	0.00654473	0.0265039	0.434418	0.010084	0.08133328	0.00119122	0.0503258	0.449245	3.49924	0.301918	0.288357	0.139693	0.270032	0.04471776	1.818814
170	-3720.87	-3709.723	-11.14646	0.348	0.2209458	0.331133	0.260161	0.0359999	0.214149	0.459067	0.260244	0.423467	0.169989	0.062686	0.88808	0.0267129	0.200033	0.192163	0.0987774	0.324207	0.0259857	0.573029	0.519349	0.3470186	-0.02465821	0.0085957	0.548386	0.00580889	0.0145766	0.419032	0.00360096	0.05409139	0.00102201	0.0466652	0.43609	3.51622	0.291902	0.323945	0.116222	0.267932	0.02943318	1.837769
180	-3720.345	-3708.8	-11.54493	0.6493459	0.1640443	0.0985438	0.356031	0.176041	0.371912	0.614984	0.488136	0.444484	0.086305	0.0717241	0.591741	0.218882	0.235847	0.144683	0.0697535	0.0350571	0.165472	0.517072	0.289827	0.3480712	0.06146185	0.0121982	0.544685	0.00509655	0.0100366	0.424994	0.00299039	0.04077179	0.000116854	0.0159369	0.283666	3.70028	0.310052	0.298794	0.125796	0.265359	0.1022336	0.3988099
190	-3721.196	-3707.736	-13.45981	0.2870514	0.1790595	0.443258	0.330972	0.029167	0.0745723	0.759726	0.367989	0.371158	0.145438	0.0457459	0.70773	0.699564	0.0814473	0.252954	0.249218	0.118704	0.0255304	0.120308	0.906334	0.3206838	0.08904219	0.0114682	0.546745	0.00375939	0.00825884	0.426601	0.00316844	0.03669456	0.000236846	0.0226351	0.326847	3.65028	0.314977	0.300766	0.124597	0.25966	0.1257368	0.2918364
200	-3729.172	-3710.831	-18.34088	0.4193399	0.1831347	0.20288	0.179279	0.0242187	0.0727736	0.388161	0.171926	0.36764	0.115748	0.0481898	0.444972	0.337733	0.315128	0.248998	0.276659	0.135886	0.261447	0.421547	0.425314	0.6130388	0.05319168	0.0113917	0.553883	0.00364419	0.00512079	0.423875	0.0020859	0.1010058	0.000281213	0.0246474	0.338232	3.63684	0.329443	0.286289	0.134527	0.249741	0.1541975	0.6550418
210	-3726.874	-3710.452	-16.42213	0.3234214	0.1587104	0.1694	0.240788	0.119335	0.125364	0.660689	0.350626	0.468848	0.22785	0.0622988	0.801505	0.239041	0.16483	0.217218	0.128367	0.322351	0.536312	0.206277	0.471724	0.1714521	0.1485943	0.0110287	0.554793	0.00398726	0.00514522	0.424571	0.000474817	0.08924811	8.80319e-05	0.0138435	0.267914	3.71815	0.299602	0.30628	0.136415	0.257703	0.2378424	0.3752405
220	-3718.085	-3709.173	-8.912306	0.4525438	0.1655369	0.133428	0.173221	0.0295347	0.0471363	0.681279	0.474553	0.210564	0.0980432	0.0324551	0.634403	0.0715903	0.0440797	0.208245	0.399397	0.0210526	0.615827	0.174192	0.358198	0.2748995	0.1040591	0.0113162	0.554427	0.00430568	0.00540878	0.424291	0.000250591	0.0501609	0.000126079	0.0165502	0.288039	3.69529	0.314091	0.310204	0.119739	0.255967	0.15422	0.3252556
230	-3721.882	-3715.051	-6.83107	0.4819016	0.1828595	0.423179	0.181966	0.0207905	0.114021	0.467765	0.190963	0.272525	0.618941	0.10485	0.393813	0.0249742	0.0822609	0.16198	0.257484	0.0746363	0.30973	0.175927	0.293819	0.1770885	0.09145637	0.0118158	0.513834	0.00783271	0.00670984	0.459501	0.000306259	0.02314747	0.000278039	0.0245091	0.337468	3.63774	0.288622	0.310951	0.132535	0.267892	0.1146038	0.2019781
240	-3721.404	-3709.057	-12.34706	0.5496325	0.1918948	0.666823	0.187617	0.140232	0.565965	0.449185	0.237774	0.387142	0.597908	0.0491225	0.592284	0.156338	0.0693598	0.0717851	0.0868291	0.0309868	0.0254956	0.288102	0.672628	0.2808302	0.0764039	0.0109736	0.474405	0.011538	0.00532338	0.497561	0.000199218	0.08234239	0.000396814	0.0292344	0.362175	3.60819	0.313505	0.296931	0.139675	0.24989	0.1587463	0.5187044
250	-3712.011	-3711.253	-0.7572069	0.5380727	0.2043027	0.110201	0.141222	0.0257038	0.112977	0.404786	0.182672	0.311908	0.135558	0.0350441	0.52753	0.0871206	0.00171553	0.246725	0.0925366	0.0546334	0.0661076	0.155232	0.347848	0.1618261	0.07927038	0.0128888	0.514086	0.00653431	0.00733625	0.458747	0.000407957	0.04934736	0.000614336	0.036294	0.394794	3.5683	0.328047	0.281903	0.136014	0.254036	0.1286177	0.3836746
260	-3720.674	-3710.768	-9.906525	0.3685602	0.1971961	0.116337	0.211955	0.0496184	0.128797	0.475229	0.138903	0.267861	0.172797	0.101812	0.577039	0.0316777	0.139768	0.789894	0.168038	0.268176	0.227369	0.301248	0.305364	0.2882335	0.08621151	0.0146628	0.622561	0.00847553	0.00834605	0.344618	0.00133625	0.090575	0.000481524	0.0321737	0.3763	3.59104	0.287848	0.297345	0.131334	0.283473	0.1767865	0.5123412
270	-3716.546	-3713.051	-3.494602	0.3910459	0.1788072	0.271547	0.169382	0.0283607	0.110696	0.480113	0.189123	0.347043	0.13976	0.0306008	0.27867	0.0992484	0.074184	0.200447	0.148269	0.151009	0.187044	0.219649	0.268345	0.2135919	0.05619756	0.0169281	0.536154	0.00984818	0.00556875	0.429622	0.00187854	0.07154779	0.00023428	0.0225131	0.326137	3.65112	0.27544	0.305023	0.145036	0.274501	0.1277453	0.5600814
280	-3721.262	-3709.026	-12.23625	0.2751957	0.1906859	0.252628	0.248363	0.0585326	0.142656	0.823086	0.27577	0.398761	0.0665519	0.073237	0.563939	0.0049425	0.554553	0.405847	0.26585	0.264689	0.0573116	0.626213	0.342296	0.3417166	0.03308844	0.0135641	0.493118	0.00830758	0.00378956	0.479715	0.00150523	0.03131497	0.000379112	0.0285809	0.358915	3.61213	0.291057	0.32513	0.119782	0.264031	0.06440341	0.4862316
290	-3714.75	-3708.165	-6.584937	0.5190701	0.1960024	0.215422	0.192572	0.164616	0.310127	0.342668	0.278945	0.30189	0.0801291	0.033982	0.454497	0.0232686	0.328654	0.208171	0.0419167	0.0999237	0.139873	0.339818	0.437905	0.2091931	0.0485576	0.0134078	0.50289	0.00522205	0.00366969	0.474188	0.00062226	0.08679099	0.000461417	0.0315015	0.373144	3.59489	0.302965	0.308682	0.124618	0.263735	0.1353486	0.6412405
300	-3715.092	-3707.03	-8.062015	0.4238153	0.1862633	0.251707	0.165663	0.181914	0.199441	0.402532	0.171272	0.157027	0.121498	0.0225179	0.500202	0.651891	0.137863	0.0864888	0.0622327	0.52395	0.0700095	0.200645	0.382928	0.2229654	0.003522996	0.0116481	0.542207	0.00525344	0.00337739	0.436418	0.00109611	0.1141264	0.000319202	0.0262456	0.346867	3.62657	0.294783	0.307223	0.128662	0.269332	0.1176494	0.9700551
310	-3717.359	-3709.973	-7.385714	0.4795092	0.1672251	0.258468	0.171393	0.0534952	0.297506	0.274159	0.180982	0.173303	0.241886	0.0160117	0.691549	0.127378	0.145091	0.137785	0.0629012	0.178809	0.118859	0.266374	0.428623	0.1942484	-0.1078201	0.0139274	0.522533	0.00598399	0.00335325	0.453093	0.00110963	0.2473874	0.000137168	0.0172582	0.292964	3.68964	0.286107	0.306732	0.1426	0.264561	0.1395672	1.772532
320	-3727.039	-3714.274	-12.76484	0.7645698	0.2082958	0.287845	0.130066	0.00981894	0.0891022	0.377458	0.137885	0.22539	0.0707992	0.0277407	0.448352	0.215051	0.111357	0.0625905	0.0807292	0.041825	0.622969	0.487227	0.702274	0.3354009	-0.3448119	0.0123342	0.575207	0.00529946	0.00532467	0.401262	0.000573056	0.4238207	0.000699312	0.0386942	0.40496	3.55565	0.291355	0.299799	0.139431	0.269414	0.07900878	5.364222
330	-3713.943	-3708.75	-5.193607	0.7448618	0.2092835	0.479047	0.103576	0.0633113	0.278581	0.429514	0.244307	0.330042	0.1462	0.0516071	0.331818	0.156054	0.156652	0.0339538	0.0286989	0.0500844	0.142795	0.101318	0.530596	0.1951144	-0.1203165	0.012699	0.558769	0.00829339	0.00626595	0.413129	0.000844307	0.1878168	0.000721533	0.0392969	0.40745	3.55253	0.301982	0.293044	0.127348	0.277627	0.06750032	2.782458
340	-3716.636	-3710.289	-6.346678	0.5695	0.1671743	0.167533	0.127975	0.0200097	0.0382808	0.279389	0.118241	0.11635	0.0514057	0.112313	0.596974	0.0944182	0.182665	0.447878	0.234724	0.273036	0.139127	0.353386	0.412048	0.182093	0.07118251	0.010122	0.457716	0.00783644	0.00427426	0.518832	0.00121944	0.1090962	0.000136824	0.0172367	0.292816	3.68981	0.319931	0.304461	0.124632	0.250976	0.1802787	0.6051531
350	-3720.857	-3707.736	-13.12123	0.5876863	0.1794007	0.246936	0.0961643	0.0474229	0.0613867	0.677036	0.134804	0.269481	0.0682257	0.0706465	0.643874	0.322829	0.115257	0.161773	0.0666202	0.785153	0.722027	0.135662	0.841866	0.2247236	0.05975627	0.00950214	0.587699	0.0100618	0.00434816	0.386245	0.00214442	0.07085881	0.000240347	0.0228005	0.327806	3.64915	0.316737	0.301178	0.123388	0.258697	0.1306151	0.542501
360	-3711.435	-3708.813	-2.622412	0.4330801	0.1797813	0.184004	0.170654	0.0471301	0.0625053	0.448982	0.177938	0.330656	0.10683	0.083474	0.519666	0.0350807	0.182142	0.197868	0.212576	0.109941	0.0391938	0.197089	0.296608	0.1511567	0.05492214	0.0128375	0.523734	0.00838924	0.00169469	0.451096	0.00224877	0.03465609	0.000244298	0.0229857	0.328875	3.6479	0.300967	0.287303	0.150272	0.261458	0.08957823	0.3868807
