Iteration	Replicate_ID	Posterior	Likelihood	Prior	age_ursinae	alpha_cytb	branch_rates[1]	branch_rates[2]	branch_rates[3]	branch_rates[4]	branch_rates[5]	branch_rates[6]	branch_rates[7]	branch_rates[8]	branch_rates[9]	branch_rates[10]	branch_rates[11]	branch_rates[12]	branch_rates[13]	branch_rates[14]	branch_rates[15]	branch_rates[16]	branch_rates[17]	branch_rates[18]	branch_rates[19]	branch_rates[20]	branch_rates[21]	branch_rates[22]	branch_rates[23]	branch_rates[24]	branch_rates[25]	branch_rates[26]	branch_rates[27]	branch_rates[28]	branch_rates[29]	branch_rates[30]	branch_rates[31]	branch_rates[32]	branch_rates[33]	branch_rates[34]	branch_rates[35]	branch_rates[36]	branch_rates[37]	branch_rates[38]	branch_rates[39]	branch_rates[40]	branch_rates[41]	branch_rates[42]	branch_rates_mean	diversification	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	extant_mrca	extinction_rate	num_samp_anc	origin_time	psi	rates_cytb[1]	rates_cytb[2]	rates_cytb[3]	rates_cytb[4]	sf[1]	sf[2]	sf[3]	sf[4]	speciation_rate	turnover
10	0	-3814.409	-3735.525	-78.88351	8.408072	0.206706	0.0260784	0.0323202	0.00878364	0.016257	0.0275562	0.00532272	0.0522171	0.00795796	0.0269797	0.0226866	0.00157226	0.00372562	0.000271711	0.00422705	0.0210978	0.0162539	0.0305026	0.0059786	0.0348146	0.0295572	0.0660464	0.0118063	0.0823796	0.00428331	0.000396239	0.0229205	0.0910818	0.00986607	0.00370883	0.0779353	0.096521	0.00465714	0.0175138	0.00432825	0.000443407	0.00160176	0.0201901	0.0525372	0.000445831	0.0589836	0.0525784	0.0385465	0.03245645	-0.04361499	0.0158764	0.603769	0.0155965	0.00509882	0.345155	0.0145047	13.88552	0.1323795	6	43.75634	0.258367	0.000664555	0.0377316	0.400932	3.56067	0.294425	0.293103	0.127551	0.284921	0.08876454	1.491356
11	1	-3802.71	-3754.903	-47.80658	2.865751	0.2002306	0.0729862	0.0075789	0.0133831	0.0652611	0.0076435	0.0214123	0.0368584	0.00696956	0.040022	0.00916841	0.0176236	0.0281492	0.0360575	0.0198449	0.0742279	0.0268255	0.0143192	0.00374683	0.023078	0.0384056	0.0290946	0.000343653	0.0225918	0.00504993	0.00545142	0.0479854	0.00172679	0.0369131	0.00362209	0.0457801	0.00856699	0.0691433	0.0145029	0.00819079	0.0104127	0.0421736	0.00902718	0.00616859	0.0207812	0.0120132	0.00514872	0.00138323	0.02269746	0.05235561	0.00609105	0.367682	0.00313595	0.0316221	0.530378	0.0610919	12.96995	0.1286785	6	40.32235	0.4295997	0.00053544	0.0339086	0.38426	3.5813	0.309618	0.311639	0.124327	0.254417	0.1810341	0.710797
12	0	-3790.09	-3722.581	-67.5094	10.34367	0.203417	0.0574598	0.0269371	0.0175478	0.00589868	0.0358404	0.0060578	0.0553248	0.00783627	0.0297869	0.0121642	0.00344962	0.00636024	0.0004475	0.0106073	0.0344852	0.0310751	0.0420695	0.00396388	0.0432694	0.024291	0.0492856	0.0250521	0.057958	0.00385761	0.000740663	0.0200139	0.00800598	0.0206178	0.00845813	0.0666436	0.00895055	0.00547071	0.00419651	0.00638309	0.00391755	0.00152487	0.0675779	0.0081588	0.00135055	0.0340868	0.0472687	0.0131588	0.02230253	0.06137688	0.0183505	0.569998	0.00575123	0.00498757	0.378748	0.0221641	11.85535	0.139261	5	44.4067	0.2340532	0.000596521	0.0357697	0.392517	3.57112	0.278234	0.309044	0.126182	0.28654	0.2006378	0.6940912
13	1	-3771.917	-3728.086	-43.83076	4.578631	0.2045261	0.0674286	0.00294704	0.0346271	0.0435235	0.00757367	0.0114613	0.0314264	0.00625403	0.035149	0.00678775	0.0091186	0.0181619	0.0164776	0.013542	0.0629771	0.0204867	0.0129359	0.0047324	0.0258163	0.02269	0.0163532	0.000298909	0.0231123	0.0531544	0.00334996	0.0497423	0.00651967	0.0232798	0.019922	0.00163495	0.0055824	0.0391905	0.0299218	0.0173092	0.00669964	0.0188431	0.000623162	0.00540694	0.0159158	0.012344	0.000449406	0.00226383	0.01967115	0.07080323	0.00513515	0.559365	0.00301594	0.0220803	0.370339	0.040065	12.66496	0.08162293	8	37.60774	0.4277317	0.000618888	0.0364267	0.395367	3.56759	0.324104	0.287981	0.127338	0.260578	0.1524262	0.5354916
14	0	-3788.713	-3726.941	-61.77159	6.838193	0.2099619	0.0625322	0.0188458	0.00212146	0.00499497	0.0059632	0.0075648	0.0163476	0.0109801	0.0202625	0.0103201	0.00724113	0.00509911	0.000358649	0.00434249	0.0336993	0.014029	0.0507014	0.00305688	0.0365243	0.0255893	0.0542228	0.0159509	0.039393	0.00857697	0.00166466	0.018817	0.00373486	0.00998344	0.00422337	0.0319294	0.0710448	0.00323474	0.00512487	0.0143354	0.00240718	0.000100002	0.0340648	0.0110292	0.00694156	0.0219831	0.0447979	0.00909956	0.02157566	0.0008523612	0.016999	0.466625	0.0072452	0.00577401	0.476228	0.0271289	12.59388	0.1920573	7	44.34344	0.2881457	0.000737078	0.039713	0.409154	3.5504	0.290402	0.316138	0.140878	0.252582	0.1929096	0.9955816
15	1	-3779.747	-3722.149	-57.59891	3.553966	0.157041	0.0637256	0.00175128	0.030939	0.0472308	0.00738641	0.0156697	0.0435044	0.00732118	0.0296951	0.0023987	0.00456293	0.0166337	0.0268236	0.0124933	0.052782	0.0374763	0.0467287	0.00909262	0.0237958	0.0202166	0.018312	0.000787637	0.0446809	0.00332989	0.0135831	0.0792704	0.0063072	0.0236651	0.00019475	0.0051625	0.00257752	0.154397	0.0173457	0.0131996	0.00751353	0.0048508	0.0177339	0.0377162	0.0405886	0.069316	0.0370064	0.000871913	0.02572657	0.03238643	0.00851666	0.567226	0.00167399	0.0131519	0.375543	0.0338893	12.81745	0.1711647	6	38.2458	0.2491905	8.02455e-05	0.0132203	0.262946	3.72375	0.287895	0.311962	0.113112	0.287031	0.2035512	0.8408929
16	0	-3778.783	-3727.572	-51.2107	7.141385	0.1925414	0.0267526	0.018363	0.00343738	0.00805192	0.00769012	0.00271255	0.0100812	0.0141087	0.0255952	0.0146661	0.00715358	0.00577833	0.000236985	0.00374143	0.0325044	0.0514691	0.0422705	0.00207088	0.0367528	0.0261797	0.0355787	0.0120948	0.044474	0.00146966	0.00100269	0.0217537	0.00555637	0.0237071	0.00219292	0.0499623	0.00890272	0.0456465	0.00897755	0.0120803	0.00226548	0.000124532	0.0299544	0.00569376	0.0284872	0.0456651	0.0305559	0.0175599	0.01997681	0.02001194	0.0174667	0.579304	0.00441656	0.00613931	0.365098	0.0275754	12.66565	0.1463751	8	45.33671	0.2276409	0.000406522	0.0295864	0.363913	3.60609	0.293795	0.30565	0.113861	0.286694	0.1663871	0.8797266
17	1	-3778.389	-3721.706	-56.68346	3.203971	0.1990327	0.0520507	0.00145746	0.0189831	0.0347728	0.00477996	0.0239592	0.0207346	0.0059131	0.0259058	0.000536603	0.0043411	0.0179614	0.0295672	0.0119284	0.0286195	0.0612432	0.0213078	0.0108229	0.0240667	0.046206	0.0426472	0.000932087	0.0154082	0.000389542	0.023071	0.0682434	0.016719	0.0231826	0.00273158	0.00626939	0.0555554	0.0773512	0.106296	0.0124473	0.0121094	0.00469658	0.0042208	0.0784506	0.0593663	0.0100218	0.00936635	0.00121728	0.02166333	0.03869287	0.00833929	0.632327	0.00283931	0.00629058	0.321617	0.0285871	13.96344	0.1019998	7	39.52747	0.3967321	0.00051367	0.0332193	0.381129	3.58514	0.300017	0.313115	0.111418	0.275451	0.1406926	0.724983
18	0	-3782.374	-3728.51	-53.8638	8.137146	0.1937472	0.0232352	0.0346195	0.00184419	0.0188651	0.00911234	0.00456437	0.0168455	0.0084415	0.0283062	0.0172868	0.00716628	0.00702998	0.000149894	0.00230915	0.0269188	0.0711009	0.0228214	0.00309829	0.055544	0.0325154	0.0478818	0.0120115	0.0424849	0.0069063	0.00166435	0.0252582	0.00902865	0.00372819	0.00562864	0.04355	0.00988218	0.00963759	0.0050965	0.0132692	0.0019788	8.7225e-06	0.0277918	0.00847093	0.0107921	0.0430064	0.0340364	0.0140003	0.01591201	0.03079961	0.0124644	0.661024	0.00840196	0.00453642	0.291553	0.0220206	13.41306	0.1138947	8	43.55368	0.2301502	0.000425083	0.0302479	0.367142	3.60218	0.290588	0.303003	0.120822	0.285586	0.1446943	0.7871402
19	1	-3759.397	-3718.146	-41.25066	3.461568	0.1791554	0.0239912	0.0011118	0.00932917	0.055181	0.00786035	0.0181184	0.0309677	0.00921894	0.0361474	0.000671823	0.00348586	0.03491	0.0200516	0.0076763	0.0398706	0.0392594	0.0322545	0.00669665	0.00820333	0.0373141	0.0201468	0.00101373	0.00721724	0.0254012	0.0140766	0.0779567	0.0047426	0.0218466	0.0229852	0.0176425	0.00867743	0.0326626	0.0108918	0.00803854	0.0108355	0.021531	0.00119084	0.0322674	0.0349457	0.00686988	0.00443008	0.00129065	0.02359316	0.03139254	0.00887282	0.574427	0.00656102	0.0047836	0.377001	0.0283551	12.94209	0.1153281	6	37.35304	0.5750704	0.000237826	0.0226815	0.327117	3.64996	0.286645	0.31309	0.124836	0.275429	0.1467206	0.7860386
