Iteration	Posterior	Likelihood	Prior	age_ursinae	alpha_cytb	branch_rates[1]	branch_rates[2]	branch_rates[3]	branch_rates[4]	branch_rates[5]	branch_rates[6]	branch_rates[7]	branch_rates[8]	branch_rates[9]	branch_rates[10]	branch_rates[11]	branch_rates[12]	branch_rates[13]	branch_rates[14]	branch_rates[15]	branch_rates[16]	branch_rates[17]	branch_rates[18]	branch_rates_mean	diversification	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	extant_mrca	extinction_rate	rates_cytb[1]	rates_cytb[2]	rates_cytb[3]	rates_cytb[4]	sf[1]	sf[2]	sf[3]	sf[4]	speciation_rate	turnover
0	-6544.651	-6563.755	19.10329	36.43741	1	0.00517775	0.00590088	0.00674929	0.00349394	0.0240523	0.00789468	0.00131429	0.00206749	0.028088	0.00337633	0.00644334	0.00401185	0.0058697	0.012324	0.0149293	0.0111093	0.00512764	0.00785022	0.008583334	-0.1163585	0.0365097	0.469404	0.104172	0.107992	0.0506942	0.231227	38.95941	0.1209055	0.136954	0.476752	1	2.38629	0.584579	0.120498	0.00870975	0.286213	0.004546943	26.59049
10	-4156.235	-4187.101	30.8661	12.77928	0.4424807	0.0038052	0.00462522	0.0163046	0.00596597	0.00378393	0.0065006	0.00222526	0.00158519	0.00565161	0.00171079	0.00582746	0.0030869	0.00259284	0.0102173	0.00733918	0.0138801	0.00528774	0.00104897	0.004996918	-0.0620493	0.02712	0.571455	0.0618593	0.0751891	0.113949	0.150427	44.01309	0.06550462	0.0232894	0.212719	0.773443	2.99055	0.373448	0.296801	0.0343553	0.295395	0.003455311	18.95766
20	-3857.96	-3886.471	28.51177	15.38599	0.2217735	0.00755494	0.0199589	0.0092368	0.0116248	0.0109866	0.00373563	0.0105886	0.00270238	0.00922699	0.00136167	0.00328145	0.00794983	0.000548207	0.00274221	0.0022533	0.00191688	0.00189916	0.000738055	0.008692046	-0.03960476	0.031175	0.541052	0.0711084	0.0493965	0.212672	0.0945963	46.06806	0.04487294	0.00104612	0.0472048	0.43807	3.51368	0.244232	0.322286	0.130949	0.302533	0.005268172	8.517744
30	-3729.401	-3759.778	30.3778	10.72721	0.2183623	0.00753734	0.00310984	0.013368	0.00803346	0.00201728	0.00598633	0.0114081	0.00304592	0.00485795	0.000653372	0.00270424	0.0106373	0.00162536	0.00192354	0.00572488	0.00974996	0.000719057	0.00486317	0.006189721	-0.04102413	0.0120602	0.536321	0.0434999	0.0207112	0.345498	0.0419105	48.52882	0.04245698	0.000949199	0.0449947	0.429865	3.52419	0.289237	0.301997	0.12222	0.286546	0.001432857	29.63099
40	-3692.272	-3718.632	26.35927	10.3544	0.1977074	0.00658886	0.00621171	0.0194722	0.0118188	0.00350759	0.0109869	0.0136661	0.0111064	0.00257062	0.00248521	0.00468078	0.000862272	0.00571055	0.00473885	0.00463306	0.00720696	0.0108886	0.00342404	0.008434339	-0.03439199	0.00552024	0.534899	0.012627	0.0116275	0.423214	0.0121125	48.28614	0.03579092	0.000490325	0.0324634	0.377648	3.5894	0.301918	0.302828	0.131086	0.264168	0.001398933	25.58444
50	-3694.655	-3716.308	21.65301	10.36972	0.1630818	0.00814505	0.00983527	0.0245094	0.0150632	0.00352178	0.00742119	0.0116579	0.0150331	0.00350352	0.00141081	0.00300498	5.35048e-05	0.0013666	0.0361236	0.00218696	0.00620056	0.00128243	0.0203259	0.01016265	-0.0433596	0.00709412	0.502931	0.0113969	0.00561585	0.467182	0.00578015	44.89458	0.0447144	0.000111185	0.0155477	0.280838	3.7035	0.298216	0.303765	0.141326	0.256693	0.001354803	33.00436
60	-3692.039	-3718.663	26.62465	10.23511	0.1770886	0.00898674	0.00361371	0.012543	0.00732224	0.00297115	0.00687812	0.0120724	0.0182943	0.00435456	0.00188911	0.0059849	8.77837e-05	0.00214105	0.0296866	0.00335795	0.0102417	0.00528142	0.00767692	0.007601621	-0.01366495	0.00672218	0.47419	0.0163353	0.00307668	0.484929	0.014747	29.7054	0.01592186	0.000217353	0.0216906	0.321287	3.6568	0.295112	0.317158	0.123106	0.264624	0.00225691	7.054715
70	-3695.326	-3722.286	26.9596	12.22234	0.2012708	0.00954816	0.00165807	0.0106435	0.00594832	0.00104475	0.00674051	0.00955451	0.0123144	0.00197847	0.000966043	0.00264809	0.00129773	0.0105957	0.0141127	0.0036325	0.00402817	0.00283548	0.00893374	0.004644427	-0.0841692	0.00587828	0.519881	0.0142846	0.00235175	0.441226	0.016378	46.82102	0.08960674	0.000554868	0.0345118	0.386967	3.57797	0.302035	0.302536	0.125994	0.269435	0.005437547	16.47926
80	-3713.336	-3732.288	18.95203	18.5241	0.1852286	0.012297	0.00190461	0.038306	0.0101332	0.00150126	0.00368552	0.0276051	0.0343881	0.00240537	0.000964132	0.0261351	0.00387012	0.00260173	0.00499668	0.00197532	0.00192005	0.0060769	0.00786165	0.01682395	-0.01141071	0.00647069	0.472839	0.00846731	0.00385464	0.485692	0.0226764	34.9393	0.01886725	0.000306248	0.0257121	0.344022	3.62996	0.311133	0.316069	0.123205	0.249592	0.007456542	2.530295
