Iteration	Posterior	Likelihood	Prior	age_ursinae	alpha_cytb	branch_rates[1]	branch_rates[2]	branch_rates[3]	branch_rates[4]	branch_rates[5]	branch_rates[6]	branch_rates[7]	branch_rates[8]	branch_rates[9]	branch_rates[10]	branch_rates[11]	branch_rates[12]	branch_rates[13]	branch_rates[14]	branch_rates[15]	branch_rates[16]	branch_rates[17]	branch_rates[18]	branch_rates_mean	diversification	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	extant_mrca	extinction_rate	rates_cytb[1]	rates_cytb[2]	rates_cytb[3]	rates_cytb[4]	sf[1]	sf[2]	sf[3]	sf[4]	speciation_rate	turnover
0	-5923.325	-5909.086	-14.23924	3.081369	1	0.0103855	0.125108	0.166295	0.1782	0.0892744	0.331914	0.0349192	0.343897	0.0803472	0.189299	0.0590462	0.00979445	0.114332	0.054792	0.0633654	0.475789	0.048008	0.0306651	0.1688772	0.3719309	0.481984	0.352203	0.024617	0.121322	0.0111554	0.00871796	3.315924	0.02447076	0.136954	0.476752	1	2.38629	0.202049	0.294423	0.22833	0.275198	0.3964017	0.06173223
10	-4548.361	-4537.734	-10.627	2.122957	0.1699525	0.0258533	0.306557	0.201175	0.133693	0.104881	0.10613	0.0155127	0.0547332	0.191552	0.144227	0.000228499	0.0156409	0.0585858	0.00919557	0.000807703	0.123096	0.265131	0.0088544	0.08227416	0.3483602	0.26966	0.576334	0.0401382	0.0785541	0.0248757	0.0104384	23.79385	0.02630784	0.000156624	0.0184338	0.300876	3.68053	0.154051	0.303697	0.0920641	0.450188	0.3746681	0.0702164
20	-4371.772	-4377.958	6.186543	2.779986	0.1800906	0.0244523	0.129015	0.032318	0.036587	0.0534603	0.0417621	0.0117821	0.0151577	0.108255	0.0211063	0.000164083	0.010839	0.0258035	0.00257404	0.0179428	0.0573042	0.0375535	0.00804863	0.04093583	0.1882902	0.19167	0.697139	0.0285295	0.0485679	0.0249071	0.00918728	24.4678	0.00789151	0.000247545	0.0231367	0.329742	3.64687	0.150829	0.297344	0.111057	0.44077	0.1961817	0.04022551
30	-4072.017	-4082.769	10.75245	3.598282	0.2302252	0.0507768	0.0523998	0.0338967	0.0304995	0.0254729	0.0446111	0.00527424	0.0103395	0.0465007	0.0095517	9.81151e-05	0.00802296	0.0293947	0.0178626	0.0138842	0.00766684	0.00205029	0.034788	0.02782363	0.2050574	0.114428	0.778461	0.0190842	0.0298492	0.0508011	0.0073768	27.37696	0.007769122	0.00131459	0.0528287	0.457888	3.48797	0.150023	0.307078	0.11587	0.42703	0.2128265	0.03650449
40	-3953.086	-3963.774	10.68718	2.620345	0.1701224	0.0427071	0.0562381	0.0326908	0.045537	0.0380278	0.0171661	0.013517	0.00620209	0.0257551	0.0100803	0.00031791	0.00792686	0.0413787	0.0395149	0.0173092	0.0255657	0.0118634	0.0100284	0.02569701	0.1729724	0.0668271	0.83104	0.0150173	0.0228394	0.0593366	0.0049393	31.44443	0.01262596	0.000157901	0.0185083	0.301367	3.67997	0.205727	0.345141	0.129583	0.319549	0.1855983	0.0680284
50	-3894.905	-3906.066	11.1607	4.031931	0.2156588	0.0167605	0.0941949	0.016337	0.0383497	0.0584439	0.00673372	0.00786826	0.0099286	0.0357945	0.0123361	0.000152911	0.00473623	0.0294581	0.0452584	0.0106843	0.000373009	0.0286259	0.0163533	0.02259726	0.2836063	0.0919747	0.731429	0.0165964	0.0437307	0.113888	0.00238205	24.38987	0.03715485	0.000876886	0.0432692	0.423278	3.53258	0.25784	0.273899	0.118044	0.350216	0.3207611	0.1158334
60	-3762.83	-3776.807	13.97753	3.50005	0.2543477	0.00542568	0.0593862	0.0182528	0.02143	0.0323824	0.00301492	0.00843963	0.0115834	0.0241635	0.00824942	0.000160866	0.0033667	0.0108024	0.0291049	0.0320823	0.0190526	0.0406365	0.0119902	0.02634067	0.1079994	0.0447765	0.699309	0.00897807	0.0411847	0.203395	0.00235606	37.94711	0.05765773	0.0023206	0.0698472	0.510565	3.41727	0.273079	0.300218	0.122115	0.304587	0.1656571	0.3480547
70	-3717.879	-3733.968	16.08858	5.06416	0.235918	0.0301864	0.0313219	0.0188453	0.0193149	0.041378	0.018563	0.00544599	0.00880922	0.0166138	0.0107059	0.000264611	0.00403926	0.0444838	0.0053546	0.00673653	0.00636154	0.00710373	0.00902261	0.01251379	0.1593063	0.0265691	0.590072	0.00494676	0.03384	0.343247	0.00132481	30.95586	0.0635809	0.00151914	0.0567258	0.470833	3.47092	0.285859	0.29919	0.125575	0.289377	0.2228872	0.2852604
80	-3708.968	-3721.736	12.76821	7.112464	0.2168876	0.034381	0.0860944	0.0242883	0.0147517	0.0529329	0.0101399	0.00237318	0.0246062	0.0116615	0.0220014	0.00067272	0.011264	0.00323114	0.00299693	0.00808381	0.00737916	0.00640233	0.00516864	0.01827055	0.0544696	0.0120704	0.53152	0.0075992	0.0304821	0.415965	0.00236292	39.17885	0.05073526	0.000909268	0.0440505	0.426281	3.52876	0.294321	0.308046	0.132275	0.265358	0.1052049	0.482252
