Iteration	Posterior	Likelihood	Prior	age_ursinae	alpha_cytb	branch_rates[1]	branch_rates[2]	branch_rates[3]	branch_rates[4]	branch_rates[5]	branch_rates[6]	branch_rates[7]	branch_rates[8]	branch_rates[9]	branch_rates[10]	branch_rates[11]	branch_rates[12]	branch_rates[13]	branch_rates[14]	branch_rates[15]	branch_rates[16]	branch_rates[17]	branch_rates[18]	branch_rates[19]	branch_rates[20]	branch_rates[21]	branch_rates[22]	branch_rates[23]	branch_rates[24]	branch_rates[25]	branch_rates[26]	branch_rates[27]	branch_rates[28]	branch_rates[29]	branch_rates[30]	branch_rates[31]	branch_rates[32]	branch_rates[33]	branch_rates[34]	branch_rates[35]	branch_rates[36]	branch_rates[37]	branch_rates[38]	branch_rates[39]	branch_rates[40]	branch_rates[41]	branch_rates[42]	branch_rates_mean	diversification	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	extant_mrca	extinction_rate	num_samp_anc	origin_time	psi	rates_cytb[1]	rates_cytb[2]	rates_cytb[3]	rates_cytb[4]	sf[1]	sf[2]	sf[3]	sf[4]	speciation_rate	turnover
100	-3777.855	-3724.21	-53.64423	8.882623	0.1712982	0.0705363	0.0138924	0.00188387	0.00386219	0.00498918	0.0056409	0.0128165	0.0100431	0.0312695	0.0120759	0.0106221	0.00314216	0.000247245	0.00140338	0.0128809	0.0296133	0.0319753	0.00394579	0.0742751	0.0764529	0.0187202	0.00984982	0.0560393	0.0200227	0.000134727	0.0244172	0.00846703	0.00229082	0.00705891	0.026682	0.0114635	0.0104649	0.00550907	0.00227909	0.00165099	0.000214083	0.00845396	0.00679313	0.0165087	0.0369428	0.0453465	0.0102732	0.01712732	-0.02531387	0.00962716	0.608443	0.0117762	0.00367913	0.348513	0.0179621	13.13408	0.1473313	7	42.89962	0.2976552	0.000166956	0.0190281	0.304757	3.67605	0.287466	0.31539	0.125692	0.271452	0.1220174	1.207461
110	-3771.988	-3728.475	-43.51313	8.803604	0.1899452	0.0611911	0.00463318	0.00193865	0.00840255	0.0046922	0.00447703	0.0114257	0.00722326	0.0256873	0.00909387	0.00782824	0.00142492	0.000130084	0.00182635	0.012057	0.0157336	0.0448816	0.0054341	0.0133864	0.0218524	0.0122813	0.0106016	0.0631424	0.00409966	0.000157958	0.0149036	0.0155306	0.00725125	0.0124023	0.0837995	0.00286741	0.00967582	0.00433093	0.00334391	0.00146721	8.46862e-05	0.0014053	0.00699195	0.000375768	0.0264747	0.0416887	0.00698277	0.01255363	0.008106518	0.0118583	0.609393	0.0099704	0.00704885	0.34783	0.0138998	13.70614	0.1140566	8	44.2454	0.1969625	0.000368552	0.0281837	0.35691	3.61454	0.309441	0.303986	0.114359	0.272214	0.1221631	0.9336418
120	-3765.339	-3718.174	-47.16488	9.293888	0.18948	0.0532291	0.00684084	0.00286606	0.0124429	0.00146095	0.00400481	0.0163803	0.00732709	0.0198409	0.0118702	0.00562076	0.00222343	0.00017754	0.00110446	0.00611877	0.0451563	0.0654064	0.00647934	0.036362	0.0222873	0.0158879	0.00668335	0.0245491	0.00368171	0.0197546	0.0115787	0.0405209	0.0231814	0.0205638	0.0323824	0.00736051	0.0116228	0.00418623	0.00517234	0.00723578	0.00449543	0.000536641	0.0135661	0.000352596	0.0171881	0.0178268	0.0370913	0.01451259	0.03275957	0.012119	0.589871	0.0103106	0.00461927	0.370164	0.0129164	15.04518	0.1315714	8	44.6081	0.3178939	0.000362031	0.0279355	0.355649	3.61605	0.29171	0.307632	0.12441	0.276248	0.164331	0.8006488
130	-3764.776	-3714.886	-49.89005	6.61707	0.2345103	0.0507713	0.00861112	0.00198768	0.0152516	0.00193043	0.00361865	0.0119986	0.00962879	0.0225701	0.013327	0.00756382	0.00304178	0.000169447	0.000683529	0.00333363	0.0407815	0.060211	0.00300372	0.0382301	0.0140963	0.0153064	0.00818318	0.0213507	0.00538904	0.0426353	0.00792492	0.0404817	0.00269054	0.0192471	0.0276998	0.00413688	0.0154901	0.00944562	0.0277057	0.044772	0.00723262	0.00199244	0.00264963	0.000317424	0.0220031	0.0172785	0.0344523	0.0129568	0.03786411	0.00927004	0.473929	0.00682062	0.00590065	0.491078	0.0130011	18.20851	0.09732825	8	43.63164	0.26679	0.00146673	0.0557546	0.467662	3.47512	0.31689	0.321427	0.119546	0.242137	0.1351924	0.7199242
140	-3763.81	-3711.364	-52.44607	7.05569	0.2153243	0.059103	0.00558603	0.00233195	0.014284	0.00163881	0.00595753	0.0604022	0.0118981	0.0211161	0.0127734	0.00524575	0.00136798	0.000446793	0.00120558	0.00538345	0.0475339	0.0834495	0.00260102	0.0316358	0.0196166	0.0118472	0.0129442	0.0209112	0.0101464	0.0337222	0.00218259	0.0273549	0.00260479	0.0295153	0.0292678	0.0173552	0.0248772	0.0156842	0.0101667	0.0381415	0.00692727	0.00043417	0.0158653	0.000426096	0.00625972	0.0143308	0.039131	0.01404998	0.02949443	0.0172208	0.47757	0.0100674	0.00962436	0.472417	0.0131006	14.20854	0.1113895	8	42.60127	0.2865446	0.000868209	0.0430573	0.422458	3.53362	0.272555	0.323637	0.14131	0.262498	0.1408839	0.7906473
150	-3760.464	-3711.388	-49.07623	6.319091	0.1962824	0.0426685	0.00542061	0.00107745	0.0126479	0.00173731	0.00654204	0.0406711	0.0115994	0.028399	0.015927	0.00456525	0.00179787	0.00070636	0.00137257	0.00315502	0.0878832	0.0540027	0.00425864	0.0255761	0.0298616	0.00749103	0.00661387	0.0107954	0.0148814	0.0330192	0.00430006	0.024575	0.000714469	0.0278841	0.0342529	0.0188886	0.00646046	0.00975374	0.0395198	0.0101371	0.00484994	0.000225664	0.0235726	0.000468406	0.010794	0.00359118	0.0203452	0.01584658	0.0434411	0.019816	0.51397	0.00877737	0.00512857	0.438526	0.013782	18.78004	0.1256135	7	40.73617	0.2886594	0.000466078	0.0316587	0.373886	3.59399	0.294168	0.276471	0.149354	0.280008	0.1690546	0.743035
160	-3759.461	-3714.208	-45.253	7.281111	0.1794887	0.0375947	0.00540959	0.00106284	0.0291951	0.00337953	0.00711644	0.0208472	0.00934689	0.0233507	0.0124231	0.00662205	0.00806965	0.00106294	0.000884306	0.00436374	0.0381913	0.0499715	0.00884619	0.0195433	0.0244314	0.00723873	0.0166723	0.0138006	0.00856753	0.0150254	0.0100294	0.0261795	0.0147283	0.0111513	0.0327308	0.0433087	0.00268503	0.00413306	0.0314476	0.0117759	0.00441504	0.000309487	0.0166352	0.000586833	0.00607699	0.00808554	0.0217908	0.01324384	0.1384947	0.0222811	0.534751	0.00358672	0.0021475	0.428577	0.00865661	16.2435	0.1041082	7	39.96572	0.1987211	0.000241257	0.0228432	0.328054	3.64886	0.291655	0.296287	0.137538	0.274521	0.2426029	0.4291299
170	-3749.477	-3712.592	-36.8849	6.427474	0.2011695	0.0364671	0.00516961	0.000819251	0.0217911	0.00231537	0.0166268	0.0221066	0.00978831	0.0317656	0.0142121	0.00512445	0.00843209	0.00196145	0.000895322	0.00542813	0.0226357	0.062179	0.00592705	0.0221227	0.0222871	0.0270158	0.00753909	0.00437778	0.00719533	0.0237305	0.00589832	0.0127829	0.0154198	0.0144258	0.0261672	0.0136373	0.011127	0.0064537	0.0120649	0.00597049	0.00457043	0.000524408	0.00784265	0.000566376	0.00869641	0.00441923	0.0221801	0.0150812	0.1104599	0.022905	0.546705	0.00581969	0.00192199	0.416046	0.00660261	23.1815	0.1019558	8	37.37471	0.3086401	0.000552956	0.0344529	0.386704	3.57829	0.293057	0.295598	0.119079	0.292266	0.2124157	0.4799824
180	-3765.38	-3711.89	-53.48931	7.448942	0.1970157	0.0410249	0.0072443	0.000787969	0.0281192	0.00563936	0.0157366	0.0235717	0.0120732	0.0347806	0.0183331	0.00292494	0.00790564	0.003765	0.00247145	0.00500439	0.0380194	0.0725762	0.00626728	0.0237723	0.0253395	0.0486645	0.00584011	0.00630729	0.00218607	0.0233887	0.00645266	0.00660276	0.0461175	0.0130459	0.0243515	0.043796	0.0113386	0.0084518	0.00246236	0.00497929	0.00968683	0.00136275	0.0032251	0.0006404	0.0152136	0.00795364	0.0459935	0.01566098	0.07892612	0.0204892	0.596802	0.0028492	0.00178703	0.372166	0.00590624	23.0162	0.1438133	7	38.8031	0.3098143	0.000478446	0.0320718	0.375824	3.59163	0.293416	0.308273	0.127652	0.270658	0.2227395	0.6456572
190	-3744.093	-3711.563	-32.53039	6.518016	0.2025746	0.0257967	0.00530211	0.000401412	0.0116512	0.002901	0.00631359	0.0160767	0.010613	0.0283996	0.00998658	0.00250825	0.00620422	0.00169208	0.0025372	0.00321177	0.0215994	0.046234	0.00396511	0.0283262	0.0313931	0.0148096	0.0105085	0.000388332	0.00231002	0.0110089	0.00342507	0.00130746	0.0206783	0.00712753	0.0304449	0.0106463	0.00593394	0.00843442	0.0304194	0.000208378	0.00743084	0.00188836	0.00839417	0.0369818	0.0129291	0.00667597	0.00729056	0.01172729	-0.01127571	0.0213791	0.55171	0.013872	0.00186464	0.405011	0.00616276	16.55108	0.1886691	9	41.6516	0.2640935	0.000579917	0.0352738	0.390344	3.5738	0.294492	0.309404	0.124453	0.271651	0.1773934	1.063563
